1 1:221.44 2:5.7312493 3:11.904902 4:0.13371925 5:6.2288938 6:0.015822025 7:4.8822355 8:0.49549302 9:0.9554116 10:-4.1234393 11:4.37422 12:-4.083262 13:4.192449 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:218.90523 2:4.2244844 3:9.090449 4:-1.4647741 5:6.648483 6:2.1448886 7:3.7845194 8:0.20485987 9:4.9772 10:-1.3069476 11:5.109467 12:-1.8157792 13:4.771947 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:216.2151 2:1.9119129 3:8.001756 4:-0.46764472 5:6.878061 6:2.6640673 7:6.7229414 8:0.4922556 9:4.661532 10:-1.129776 11:5.2047157 12:-1.0183189 13:5.357824 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:217.21342 2:5.3088064 3:11.291277 4:-2.8121958 5:2.3531256 6:1.3098087 7:4.8377633 8:-2.1860373 9:0.097864695 10:-2.0917866 11:6.0919094 12:-3.1691544 13:5.30593 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:215.3294 2:4.8798933 3:12.584047 4:-1.5730019 5:3.4802053 6:1.6338017 7:1.3582122 8:-2.8432472 9:1.1997961 10:-2.1892812 11:6.459377 12:-3.2885063 13:3.7409008 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:222.12842 2:5.2647467 3:8.255121 4:-1.2756294 5:2.8090022 6:1.1739297 7:4.5495543 8:-0.4226198 9:2.450723 10:-4.2620955 11:1.9634616 12:-4.994094 13:3.7095165 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:220.80153 2:5.550122 3:8.946588 4:-0.54238784 5:3.20343 6:0.7660334 7:3.1664395 8:-1.7256314 9:2.218005 10:-3.4018805 11:3.0843773 12:-4.7611465 13:3.5221152 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:220.06378 2:4.660591 3:11.379299 4:0.0812875 5:1.9445759 6:-1.0838038 7:3.8175228 8:-2.8951707 9:0.6842092 10:-3.2297683 11:2.745937 12:-2.4622242 13:4.5177617 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:221.16739 2:5.0768943 3:13.4732685 4:-0.6241387 5:2.9433386 6:0.7559527 7:2.8126478 8:-2.4705837 9:1.9213861 10:-2.887314 11:5.6509385 12:-2.6760912 13:4.016548 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:219.70409 2:7.8028994 3:13.292235 4:-1.6646833 5:5.907177 6:1.0027648 7:3.0719213 8:-1.9978532 9:3.8322496 10:-2.9046073 11:5.8570566 12:-4.0153236 13:3.003771 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:219.33406 2:4.208214 3:9.33785 4:-2.0975819 5:3.9884005 6:-0.14689508 7:2.8275776 8:-1.3693666 9:1.2982426 10:-2.9386084 11:6.7789283 12:-2.4634178 13:4.0677347 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:233.994 2:7.652906 3:8.59548 4:0.5271566 5:3.5228362 6:-2.4393823 7:2.9132268 8:-2.0416331 9:4.382611 10:-3.098706 11:4.842517 12:-1.0014046 13:6.180421 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:230.80624 2:7.057471 3:8.534982 4:0.97306937 5:4.2915506 6:-1.6079965 7:3.1678238 8:-1.9332513 9:4.751368 10:-2.843307 11:4.767851 12:-1.425807 13:5.227829 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
