1 1:216.12405 2:6.1675816 3:9.31764 4:-1.0733545 5:4.1383414 6:-1.284081 7:1.3551097 8:-1.3968459 9:2.8323085 10:-4.000111 11:4.597767 12:-0.99383265 13:5.217876 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:216.30112 2:4.0166135 3:8.079988 4:-3.0233386 5:2.9645092 6:-2.3646045 7:3.2835665 8:-0.593308 9:2.74494 10:-3.8573093 11:4.7483263 12:-1.8497459 13:2.9310417 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:215.41847 2:4.2123637 3:11.46311 4:-0.023247749 5:3.2641745 6:-1.4147305 7:5.4243617 8:-0.7669853 9:2.472171 10:-3.750935 11:2.5059795 12:-3.5037522 13:2.9202504 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:221.58923 2:6.0678844 3:11.1382475 4:-0.57036364 5:4.3106017 6:-0.01311235 7:3.05083 8:-1.3417578 9:2.6793833 10:-3.7686188 11:3.8621993 12:-4.0407248 13:4.3177843 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:222.64182 2:5.3374805 3:10.069796 4:-0.14654614 5:5.740945 6:-0.7275058 7:2.6947954 8:-1.6328131 9:3.0652952 10:-1.9193723 11:4.7492614 12:-3.1862576 13:4.203688 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:221.89122 2:6.501822 3:10.770601 4:-0.33040783 5:6.1076818 6:0.048192866 7:2.9967275 8:-3.6556294 9:0.7771475 10:-4.124181 11:3.8444705 12:-4.0066233 13:4.50235 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:222.38857 2:7.2857075 3:11.284983 4:0.5125563 5:7.0306644 6:0.73474044 7:0.8274951 8:-1.7133263 9:2.1724348 10:-4.5164485 11:5.174302 12:-3.7311754 13:4.719915 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:254.58072 2:-21.291706 3:19.764158 4:-2.6711018 5:4.130937 6:-3.2746954 7:0.57658637 8:0.41440618 9:-1.3682039 10:3.2381117 11:-0.4074445 12:1.800207 13:1.1046389 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:249.9628 2:-17.208876 3:20.708977 4:-4.334572 5:3.693027 6:-3.2695408 7:1.1458131 8:-0.21540938 9:-1.5645045 10:3.9943497 11:1.1500849 12:3.1049538 13:1.4944402 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:225.82138 2:3.8914862 3:9.641915 4:-3.6759038 5:6.4989476 6:0.7324406 7:5.058882 8:-0.73616195 9:6.282492 10:0.6422704 11:3.822098 12:-1.080632 13:3.4777036 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:228.39151 2:3.539281 3:9.836304 4:-4.86079 5:7.416505 6:1.4690349 7:2.9807823 8:-4.504953 9:4.941913 10:1.6114485 11:3.4673033 12:-1.7754573 13:2.0401692 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:243.19614 2:1.2359121 3:7.2748966 4:-0.44354445 5:3.9097896 6:0.36082125 7:-0.27121043 8:-5.0117807 9:3.9668975 10:-2.717365 11:1.75679 12:-4.2152157 13:0.42847854 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:235.36798 2:4.922305 3:10.193601 4:-1.0199647 5:3.429798 6:-0.49898353 7:0.4385996 8:-4.142043 9:3.7865627 10:-2.6553938 11:1.5767403 12:-5.093414 13:2.155076 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
