1 1:237.10487 2:-0.53342485 3:7.591672 4:-2.4641838 5:4.0638747 6:2.996431 7:-1.9982004 8:-2.681898 9:3.5033455 10:-0.21502967 11:1.5906187 12:-4.332234 13:5.6695676 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:241.43074 2:1.44947 3:8.164876 4:-1.5707926 5:5.169659 6:2.216697 7:-2.1454217 8:-1.6620779 9:4.2611995 10:-0.75763667 11:2.2154245 12:-5.262723 13:6.2347264 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:236.78194 2:3.1274846 3:8.782363 4:-1.9624873 5:6.5703664 6:1.7344466 7:-0.39063045 8:-1.8980218 9:4.9117103 10:-0.077899255 11:2.25197 12:-3.765727 13:5.1566014 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:234.8649 2:3.1872902 3:6.179716 4:-2.2526586 5:5.603996 6:1.18792 7:-2.2148242 8:-3.0179079 9:5.7942805 10:-0.13464034 11:1.676742 12:-3.4557185 13:6.135752 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:236.82173 2:3.1803663 3:6.4649744 4:-3.127558 5:4.103092 6:0.98692775 7:-1.9564419 8:-5.5887003 9:4.204531 10:-0.277588 11:2.3635464 12:-3.4368021 13:6.0821185 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:235.71167 2:5.031119 3:7.298042 4:-2.560196 5:7.467938 6:0.3923393 7:-0.15576218 8:-2.7341177 9:6.316442 10:1.0057856 11:3.4030974 12:-4.5901904 13:4.999049 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:234.58568 2:5.626137 3:8.038904 4:-4.0736814 5:5.261008 6:1.0843993 7:0.60926306 8:-3.0436714 9:5.524746 10:1.1304979 11:3.1142461 12:-4.0657563 13:5.3545427 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:232.71814 2:3.9380028 3:6.6478467 4:-1.9931941 5:7.3479376 6:2.1118476 7:-1.5332565 8:-5.202496 9:5.574113 10:1.9596232 11:3.1854033 12:-7.2343936 13:4.969694 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:232.94946 2:4.424295 3:10.781561 4:-2.2019475 5:5.1909738 6:0.5123397 7:-1.6404229 8:-4.6063867 9:4.21231 10:1.3285254 11:3.0801039 12:-4.808085 13:4.8215203 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:229.90933 2:2.0458894 3:7.0213184 4:-0.9600465 5:5.968626 6:0.88897246 7:0.57609814 8:-4.0922594 9:4.459272 10:-2.248806 11:0.74574167 12:-3.4238212 13:5.5849223 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
