1 1:234.22647 2:4.4417014 3:4.536094 4:-1.5066549 5:4.350875 6:4.155646 7:5.8112617 8:-4.2139764 9:1.5801516 10:-5.562907 11:4.1117063 12:-2.135855 13:2.6479366 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:231.68916 2:1.8784196 3:4.4064717 4:-1.3325948 5:5.150454 6:-0.4906737 7:5.812903 8:-0.9404405 9:0.68248224 10:-1.4898988 11:3.1785028 12:-2.899926 13:4.0608277 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:232.84695 2:5.383698 3:6.9108295 4:-2.2868726 5:4.5286145 6:-1.3201663 7:6.0958633 8:-0.79770213 9:1.7221044 10:-1.4938762 11:2.820123 12:-1.9649733 13:5.2508864 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:229.12013 2:6.437474 3:9.856551 4:0.33517247 5:4.0517063 6:-0.6419729 7:5.692916 8:-1.3130499 9:2.3484674 10:-0.6981539 11:5.086739 12:-2.0358834 13:4.8567863 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:226.0429 2:3.81207 3:7.5146303 4:-2.493033 5:4.454198 6:1.7008455 7:5.469985 8:-2.7252235 9:1.4153742 10:-0.913906 11:4.934691 12:-0.58840823 13:5.4468503 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:228.25058 2:5.972339 3:9.5118475 4:-1.0651966 5:2.3676438 6:-1.4547056 7:6.804494 8:1.5377543 9:6.085647 10:-1.6015562 11:6.235231 12:-0.72564226 13:2.5236487 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:227.75706 2:5.6988716 3:8.802974 4:-1.5443217 5:3.2159138 6:-1.54897 7:5.3586435 8:-1.5668614 9:5.6838493 10:-0.73406476 11:4.651408 12:-0.6596839 13:3.8561156 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:226.63666 2:7.217208 3:9.970162 4:-0.9823627 5:4.134119 6:-2.0200074 7:2.7708151 8:-1.5818167 9:4.5584035 10:-1.9095227 11:5.706843 12:-1.4826466 13:4.987744 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:225.1576 2:8.647837 3:10.879283 4:-0.88076514 5:1.2430772 6:-4.1262064 7:3.4515088 8:-1.1380335 9:1.6803102 10:-2.9437506 11:6.8908367 12:-0.08353381 13:4.6929297 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:223.8454 2:6.009252 3:8.079262 4:-2.0446892 5:4.9000163 6:-0.16944799 7:5.435221 8:-2.4358916 9:5.776807 10:1.2667755 11:4.926462 12:0.15986232 13:4.1691103 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:228.2557 2:6.5011206 3:8.176622 4:-0.9255345 5:4.3103714 6:-2.261852 7:3.5816252 8:-2.7244682 9:6.5029926 10:-0.5582736 11:5.652962 12:0.39355132 13:4.6537256 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:231.11963 2:5.1507206 3:10.49083 4:-0.5049888 5:3.2280657 6:1.0776379 7:1.870596 8:-2.6930807 9:3.5423849 10:-3.3062742 11:5.0666385 12:-1.0059209 13:2.3324897 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:233.1107 2:3.4620075 3:8.600158 4:0.009656757 5:0.8981017 6:-2.432251 7:0.8242247 8:-3.665346 9:2.9075894 10:-1.4727399 11:4.470173 12:-0.9491876 13:3.3120587 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:230.63518 2:3.142191 3:5.9330425 4:-1.761205 5:1.6639097 6:-2.3969035 7:2.8770468 8:-3.1345594 9:2.8869107 10:-1.7706743 11:3.8051808 12:-1.1406808 13:2.598459 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:227.73277 2:4.745616 3:7.4172044 4:-2.4699266 5:1.4619051 6:-3.810073 7:1.7669059 8:-5.044759 9:1.7305661 10:-2.609857 11:3.6215146 12:-0.9511137 13:3.234282 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:224.97691 2:6.6822906 3:10.13347 4:-0.28565526 5:4.474924 6:0.36918846 7:6.444648 8:0.35481387 9:4.9851117 10:-2.8127599 11:4.8479414 12:-0.9643378 13:3.3893535 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:227.29398 2:8.161513 3:10.211766 4:-1.3362955 5:5.7352314 6:0.72853565 7:6.4738083 8:-1.7133322 9:3.865282 10:-2.6364768 11:5.2014117 12:-0.87783796 13:3.0578454 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:227.66513 2:8.230974 3:9.685209 4:-5.207279 5:3.4223392 6:-0.29356992 7:5.53334 8:-1.8561804 9:3.6000314 10:-3.5713937 11:3.2315555 12:-1.2185463 13:3.0102684 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
