1 1:240.26343 2:10.037683 3:13.131245 4:0.95736396 5:6.433756 6:-0.5878411 7:3.5664759 8:-2.6921902 9:4.630172 10:-3.9898155 11:4.819153 12:-3.2017848 13:3.980522 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:238.1882 2:10.4712515 3:10.743242 4:-0.65236306 5:6.7018747 6:-0.043949023 7:3.2041466 8:-3.1561065 9:2.581039 10:-2.9329903 11:6.1176634 12:-3.7048333 13:3.7956603 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:241.48529 2:11.018362 3:10.815172 4:-0.006276282 5:8.642349 6:0.5394723 7:4.356749 8:-2.2369971 9:3.5924346 10:-3.33443 11:5.052641 12:-3.993603 13:4.1854033 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:240.47327 2:12.31098 3:11.505191 4:1.1247413 5:6.988633 6:-1.9931152 7:4.1957464 8:-1.5878069 9:4.596773 10:-3.1401222 11:6.438564 12:-3.8521345 13:3.560849 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:242.18373 2:13.357627 3:14.259927 4:2.8279088 5:8.490534 6:-1.7836689 7:2.8381796 8:-1.7942445 9:5.1680975 10:-4.903094 11:5.6622224 12:-2.9038231 13:4.006642 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:238.20024 2:11.114907 3:11.370782 4:2.9646175 5:6.5451274 6:-1.7327867 7:4.5200543 8:-4.9553 9:1.8518145 10:-3.4565344 11:6.103014 12:-2.438087 13:4.154695 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:238.83081 2:10.182084 3:8.228576 4:-0.17827167 5:8.411642 6:-1.9122674 7:5.293967 8:-1.8759046 9:4.381944 10:-1.4727026 11:5.340484 12:-2.8155622 13:3.1522524 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:238.3203 2:10.09299 3:10.855566 4:-0.29940814 5:6.0548472 6:-0.12956679 7:6.4298077 8:-1.5904346 9:2.8411095 10:-2.3968968 11:5.921343 12:-3.4664903 13:4.2247686 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:234.4824 2:9.166709 3:11.469696 4:0.5623802 5:4.961966 6:-1.3494287 7:3.4408906 8:-3.5893505 9:2.861757 10:-2.3441012 11:4.810677 12:-3.8131232 13:3.6625257 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:241.98563 2:9.704593 3:9.477919 4:-1.8539461 5:3.898427 6:-2.8081498 7:1.7685487 8:-4.8167787 9:2.8319957 10:-2.0268688 11:3.681934 12:-3.707449 13:1.5239924 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
