1 1:232.80818 2:3.376181 3:4.7961507 4:-3.707565 5:5.49677 6:-0.10575976 7:4.662267 8:-1.8102111 9:3.9305425 10:-0.96489644 11:5.92761 12:-0.62353736 13:3.1490753 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:230.52516 2:5.0054493 3:9.496159 4:-0.054950085 5:5.746712 6:1.7254109 7:4.369324 8:-1.3088214 9:3.8002546 10:-1.9019984 11:6.5181413 12:-2.0351827 13:3.2514005 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:238.07643 2:4.517449 3:7.9613776 4:-2.1761293 5:3.3118176 6:-0.13982691 7:3.424727 8:-1.6486933 9:2.6324027 10:-1.9097366 11:6.1747093 12:-1.2648597 13:4.735761 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:232.30469 2:2.829253 3:7.533144 4:-0.55407983 5:4.171671 6:-0.5792527 7:0.9494538 8:-2.6208189 9:1.6144696 10:-1.8611937 11:6.441669 12:0.29819152 13:5.078299 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:242.86467 2:7.318141 3:7.846033 4:-0.802472 5:3.4030898 6:1.0478177 7:3.5176516 8:-1.719188 9:2.833536 10:-2.2705228 11:4.662854 12:-3.2231007 13:3.0329807 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:241.21643 2:5.7166934 3:6.826411 4:-1.0942748 5:2.917174 6:0.45695215 7:2.6983712 8:-1.5518539 9:4.497228 10:-1.5519699 11:6.3784676 12:-1.7086501 13:2.489314 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:234.44469 2:3.1728203 3:9.079357 4:0.33688346 5:3.5638971 6:-0.9975442 7:2.0226061 8:-1.8100803 9:4.968011 10:-2.4905128 11:5.057388 12:-1.1185359 13:3.9702146 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:231.19156 2:2.43369 3:5.86452 4:-1.1461036 5:2.773977 6:-2.0806205 7:4.029838 8:-1.2902344 9:5.950709 10:0.47358984 11:7.554502 12:-0.4185801 13:3.6803143 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:234.0202 2:2.892744 3:8.406908 4:2.37075 5:8.165002 6:2.136643 7:2.040331 8:-4.513627 9:3.5269945 10:0.48877054 11:4.878068 12:-3.5996456 13:4.766741 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:236.49156 2:4.0010157 3:8.906549 4:1.4931381 5:7.5899844 6:2.0307376 7:5.079846 8:-1.6425561 9:3.6224413 10:0.13819979 11:6.1398635 12:-3.1392074 13:4.798189 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
