2 1:229.6604 2:5.04473 3:3.2706366 4:-4.5688486 5:2.26259 6:-2.1451087 7:3.4556048 8:-2.6751606 9:2.4914026 10:-0.4359055 11:8.088108 12:0.5178137 13:4.565014 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:228.00375 2:5.491041 3:3.1284378 4:-3.623717 5:3.4609814 6:-3.5019138 7:3.8128319 8:-1.5252305 9:3.8872237 10:-1.614894 11:5.399998 12:-2.385389 13:2.774111 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:228.49933 2:4.380629 3:4.122474 4:-2.3512256 5:4.2111087 6:-3.0195289 7:3.8006117 8:0.11253361 9:2.4681797 10:-2.3156729 11:3.536763 12:-3.8309667 13:2.8961365 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:227.03882 2:3.0293565 3:4.4597187 4:-3.3412 5:3.0164306 6:-1.7567185 7:3.938189 8:-0.96434927 9:3.4205189 10:1.1030525 11:5.985578 12:-2.077547 13:2.4398575 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:230.70935 2:3.8595064 3:5.7077246 4:-2.5333376 5:1.6591965 6:-4.1491976 7:3.1510012 8:-2.1828084 9:2.4964514 10:-3.7362185 11:2.864906 12:-1.7687665 13:3.5661926 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:233.11728 2:5.1373663 3:5.9945602 4:-3.3484445 5:2.3901906 6:-2.9565294 7:3.350374 8:-1.5769169 9:4.162801 10:-4.442219 11:1.3201637 12:-3.4547815 13:1.6099198 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:228.41376 2:4.8192167 3:6.4168468 4:-2.8048375 5:1.9242114 6:-1.8728831 7:5.324033 8:-0.3264675 9:3.8093748 10:-5.2175856 11:1.4597298 12:-3.3964694 13:0.45211378 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:228.94322 2:4.7518516 3:6.703662 4:-4.025022 5:1.0957241 6:-2.3628733 7:4.0908794 8:-0.3543113 9:3.3390048 10:-3.6403403 11:2.973645 12:-2.4990811 13:1.2472177 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:228.95547 2:5.9096017 3:2.8225458 4:-5.8362265 5:2.8692145 6:-2.0789006 7:1.222977 8:-4.68511 9:2.3641298 10:-0.75565434 11:3.1987083 12:-4.121212 13:3.2695055 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:226.51219 2:6.6024404 3:2.2916615 4:-6.276863 5:3.3401074 6:-2.801893 7:2.3466532 8:-4.0586095 9:2.8314028 10:-0.21801683 11:3.5630527 12:-3.3050597 13:1.3574339 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
