1 1:242.97179 2:3.076216 3:4.964205 4:-0.9516362 5:2.6206849 6:-3.495755 7:6.752707 8:-0.6693538 9:2.751586 10:-0.6549479 11:3.3847408 12:-2.8445547 13:3.7106142 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:240.90866 2:2.7054896 3:2.2244146 4:-1.4972472 5:3.5069263 6:-2.7243187 7:2.5258882 8:-1.1838092 9:2.32771 10:-3.2783525 11:4.0543265 12:-0.8666012 13:4.1203237 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:241.06366 2:3.2570202 3:3.020684 4:-0.5867056 5:3.2166762 6:-3.6791954 7:1.7339082 8:-1.7127129 9:1.8864449 10:-3.8023973 11:3.9250515 12:-2.0822492 13:4.438089 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:239.90652 2:0.018078942 3:1.5757283 4:-1.0545193 5:3.7056925 6:-0.04522834 7:4.4034376 8:-0.19592565 9:3.696909 10:-4.2422805 11:2.0355575 12:0.20965461 13:4.419552 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:239.9698 2:1.5968753 3:4.5596623 4:-0.33458203 5:4.0381603 6:-1.1340528 7:5.4143295 8:-1.7040898 9:1.6285268 10:-3.4165194 11:1.9594133 12:-1.3678424 13:4.7562566 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:232.98845 2:-0.67137927 3:3.920875 4:-0.54835474 5:2.1679058 6:-2.3588014 7:1.3106741 8:-1.958791 9:2.435105 10:-4.014532 11:2.7375474 12:-2.5678298 13:3.0652933 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:234.69196 2:0.010637533 3:3.1811569 4:-2.8701155 5:0.3381095 6:-4.2193356 7:1.3309276 8:-0.8646313 9:3.2695339 10:-3.2217352 11:4.991163 12:-0.61838585 13:4.0629663 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:238.76666 2:1.5268219 3:0.23310989 4:-1.8313539 5:3.0313103 6:-2.3255882 7:4.10522 8:0.05727723 9:4.9541483 10:-0.5595383 11:6.2204556 12:-0.30053765 13:4.050991 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:241.11308 2:3.7252393 3:3.678532 4:-1.3890177 5:2.9822104 6:-3.2277207 7:3.5862863 8:-1.3859202 9:2.6992528 10:-0.6929139 11:6.5601144 12:-0.637469 13:4.2445836 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:240.3602 2:3.18701 3:3.816676 4:-1.2520648 5:2.3590372 6:-0.5404266 7:6.089243 8:1.445115 9:3.949376 10:-2.4042716 11:4.1969 12:-1.157307 13:7.549077 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
