2 1:233.66159 2:4.591599 3:4.2282867 4:-2.6833484 5:0.6244516 6:-3.4824646 7:2.9001505 8:-1.5031334 9:4.816245 10:-1.5144771 11:3.6581168 12:-3.1117802 13:2.1194465 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:234.45149 2:3.8232164 3:4.2457094 4:-3.1379933 5:2.6315343 6:-2.323074 7:4.2304816 8:0.3791962 9:4.9014482 10:0.077557534 11:3.8015337 12:-4.450767 13:0.824176 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:229.71361 2:4.037902 3:4.097455 4:-3.8032575 5:0.4505205 6:-2.8551877 7:4.712066 8:-1.9392635 9:3.5155544 10:-2.7595623 11:3.5253348 12:-1.6025059 13:2.393422 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:230.67139 2:4.874348 3:4.7833595 4:-3.304623 5:-0.6809623 6:-2.3413384 7:5.44392 8:-2.6737766 9:3.3055978 10:-3.0084643 11:2.1785347 12:-2.7589226 13:2.9003265 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:231.29193 2:3.27781 3:1.4509051 4:-4.725678 5:1.9020722 6:-2.0247061 7:3.0116727 8:-2.4366143 9:4.399391 10:-0.57263184 11:5.890273 12:-1.8574922 13:3.990362 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:231.19046 2:3.5006032 3:2.7925665 4:-1.875142 5:1.6702431 6:-2.182526 7:4.7922893 8:-0.28762776 9:3.6278703 10:-3.4701195 11:4.134454 12:-3.901553 13:3.112396 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:235.90024 2:4.4858994 3:2.4724226 4:-4.376785 5:0.9539312 6:-1.9012516 7:3.6687782 8:-1.4439716 9:3.59018 10:-3.1914403 11:3.72595 12:-2.4733858 13:4.6237574 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:238.49437 2:6.0521936 3:3.8615913 4:-4.040756 5:-0.8971233 6:-1.1891378 7:4.6035485 8:-1.0750108 9:3.3040414 10:-2.9627023 11:3.8948357 12:-3.0664437 13:4.9142065 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:234.40486 2:1.5181423 3:4.0768604 4:-0.096425705 5:1.3871846 6:-3.1797247 7:4.2307825 8:1.340234 9:6.3692713 10:-0.2128775 11:2.9001803 12:-2.835479 13:3.116393 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:231.4931 2:1.3834074 3:3.9928248 4:-0.7547103 5:-0.42731062 6:-4.979539 7:3.5789857 8:-0.017027495 9:5.214349 10:-0.5557542 11:2.8497915 12:-2.2966106 13:3.4606361 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
