1 1:143.92061 2:0.030798381 3:2.904524 4:0.13749285 5:0.93436253 6:-5.9333515 7:4.380153 8:-1.3587413 9:4.193596 10:-2.0922554 11:3.0765028 12:-2.5100894 13:3.6676128 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:134.6761 2:1.4740052 3:7.182244 4:-1.7215785 5:3.750909 6:-1.1413412 7:3.4661407 8:-1.9557754 9:1.9727602 10:-3.1730306 11:2.447844 12:-0.96053135 13:1.6097763 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:134.6761 2:1.4740052 3:7.182244 4:-1.7215785 5:3.750909 6:-1.1413412 7:3.4661407 8:-1.9557754 9:1.9727602 10:-3.1730306 11:2.447844 12:-0.96053135 13:1.6097763 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:122.66775 2:-0.6819617 3:2.5170712 4:-2.7305756 5:3.9066548 6:-2.3088682 7:2.1581697 8:1.0748379 9:3.6840312 10:-2.6255083 11:2.78346 12:-4.8254414 13:1.4264776 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:122.66775 2:-0.6819617 3:2.5170712 4:-2.7305756 5:3.9066548 6:-2.3088682 7:2.1581697 8:1.0748379 9:3.6840312 10:-2.6255083 11:2.78346 12:-4.8254414 13:1.4264776 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:115.28481 2:1.0570217 3:2.450669 4:-2.9450257 5:3.8951638 6:-0.46631995 7:4.9604692 8:-0.14588626 9:1.6557693 10:-1.6043594 11:2.3524199 12:-2.459081 13:3.0882657 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:115.28481 2:1.0570217 3:2.450669 4:-2.9450257 5:3.8951638 6:-0.46631995 7:4.9604692 8:-0.14588626 9:1.6557693 10:-1.6043594 11:2.3524199 12:-2.459081 13:3.0882657 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:107.90045 2:-1.252374 3:7.1420283 4:-3.158604 5:-0.59248513 6:-0.31497368 7:1.4501089 8:-4.1210537 9:3.9726186 10:-0.28565022 11:2.8620262 12:-4.1131053 13:3.885458 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:107.90045 2:-1.252374 3:7.1420283 4:-3.158604 5:-0.59248513 6:-0.31497368 7:1.4501089 8:-4.1210537 9:3.9726186 10:-0.28565022 11:2.8620262 12:-4.1131053 13:3.885458 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:102.93281 2:-1.5803165 3:6.257683 4:-2.8060272 5:1.0970373 6:-0.25944507 7:3.4627094 8:-5.9122605 9:1.6880889 10:-0.74564976 11:2.4972467 12:-3.7512884 13:3.0786688 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:102.93281 2:-1.5803165 3:6.257683 4:-2.8060272 5:1.0970373 6:-0.25944507 7:3.4627094 8:-5.9122605 9:1.6880889 10:-0.74564976 11:2.4972467 12:-3.7512884 13:3.0786688 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
