2 1:259.4805 2:-1.9384185 3:11.371438 4:1.0505853 5:4.9873066 6:-1.3871218 7:1.3478462 8:-2.4202242 9:1.3469181 10:-2.7792447 11:2.1945245 12:-0.94079036 13:2.58304 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.86218 2:-3.7936187 3:9.160746 4:-0.7844339 5:2.3762715 6:-1.7338455 7:1.2942394 8:-3.6386232 9:1.9971046 10:-1.4516597 11:1.6280736 12:-2.492996 13:2.2414823 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:255.57399 2:-4.727491 3:8.280983 4:-1.7029934 5:2.5239773 6:-2.2155867 7:0.5432697 8:-2.3395371 9:1.6609691 10:-1.0994767 11:1.5366104 12:-1.8093188 13:2.2905154 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.2377 2:-5.461531 3:7.815684 4:-2.9566815 5:0.75514835 6:-3.0869114 7:0.8729673 8:-2.1577284 9:1.7867151 10:-1.0838444 11:1.4441788 12:-0.95109195 13:2.6221488 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.3663 2:-5.115094 3:8.335031 4:-3.0149336 5:2.6105442 6:-1.606595 7:1.4688725 8:-2.173957 9:2.018831 10:-0.8411716 11:2.3999896 12:0.31354535 13:3.338419 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:269.30103 2:-0.1642166 3:9.9141445 4:-2.1985807 5:2.889484 6:-2.690389 7:1.2997882 8:-2.5351303 9:1.8886336 10:-2.230319 11:2.0591176 12:-1.1997478 13:1.9967843 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:261.21307 2:-3.4828188 3:9.810213 4:-0.34815162 5:3.1507378 6:-1.3118101 7:2.427394 8:-2.810232 9:2.0999196 10:-1.6918175 11:1.6131989 12:-2.9609208 13:1.8234835 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.10526 2:-6.2522798 3:8.448654 4:-1.8729773 5:1.8636836 6:-2.8958423 7:0.6365366 8:-0.771608 9:3.1000102 10:-0.6759581 11:2.2248 12:-0.007885079 13:2.9202015 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:259.87067 2:-5.1313963 3:8.290986 4:-2.621729 5:1.3284358 6:-1.9229625 7:1.3536016 8:-2.2025082 9:1.9014379 10:-2.2579498 11:1.7063395 12:-0.54533386 13:3.4758053 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:259.9772 2:-4.0958066 3:10.149115 4:-1.3296902 5:2.2839062 6:-0.52510256 7:2.6701775 8:-0.3389095 9:2.7598522 10:-2.2030866 11:0.77304804 12:-0.9170626 13:2.3678396 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.68597 2:-6.659951 3:5.809519 4:-3.9125187 5:1.862658 6:-1.7790645 7:0.7764952 8:-0.6609633 9:3.8139944 10:-0.77303463 11:2.411656 12:-2.4923842 13:2.716541 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:259.99197 2:-4.1804767 3:10.521553 4:-1.3456901 5:1.1025559 6:-2.7931323 7:1.7033168 8:-1.6538984 9:2.6090698 10:-0.811281 11:3.1000242 12:-0.6534424 13:2.5287724 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:260.43253 2:-5.019183 3:8.538807 4:-3.8872104 5:0.8565287 6:-1.0483534 7:2.761225 8:-1.2757661 9:3.0850422 10:0.23448475 11:3.6445203 12:-0.14646327 13:3.2862384 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:262.69247 2:-4.8683524 3:8.703154 4:-3.368889 5:1.876028 6:-1.2383202 7:2.1305296 8:-1.3388714 9:2.9026618 10:-0.7777667 11:2.0678356 12:-0.23897746 13:2.347992 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:262.5944 2:-3.5203676 3:10.334163 4:-2.0719416 5:4.4395757 6:0.31361997 7:3.3874729 8:-0.839326 9:1.2743055 10:-1.5188756 11:2.3413315 12:-0.70025635 13:3.5305336 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:263.72653 2:-3.8645995 3:9.092915 4:-4.321459 5:0.02405907 6:-2.9252684 7:1.0591527 8:-2.1349 9:0.8364593 10:-2.1113064 11:1.6806955 12:-0.7350516 13:2.9174073 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:258.6204 2:-6.3918586 3:7.4258704 4:-3.147208 5:0.44265127 6:-3.4594865 7:0.47542557 8:-1.2616097 9:1.3747817 10:-1.1829937 11:2.0588906 12:0.67952955 13:3.9964106 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:261.15073 2:-5.6630316 3:6.93342 4:-5.3811603 5:0.8802097 6:-2.8048372 7:1.3916745 8:-0.9274397 9:2.6782115 10:-0.38194185 11:1.3773401 12:-0.79503596 13:3.2611268 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:260.12656 2:-5.383476 3:6.9445696 4:-4.2250824 5:2.2270846 6:-1.323803 7:2.1152375 8:-0.94789696 9:1.3460916 10:-1.0068735 11:3.764222 12:0.40284812 13:3.1385078 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:263.10535 2:-5.10812 3:8.175268 4:-3.925941 5:1.8556358 6:0.112240456 7:3.750004 8:-0.76531476 9:2.6761808 10:0.09566535 11:2.3736873 12:0.60986054 13:2.7044 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:260.54272 2:-5.2121053 3:9.044164 4:-3.1163304 5:1.4611809 6:-0.4564944 7:3.992991 8:-1.4523313 9:0.8653959 10:-1.6033701 11:0.8533583 12:-0.41377267 13:2.6120582 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:262.55783 2:-2.8539984 3:10.683629 4:-1.8135413 5:1.4894065 6:-2.2263708 7:1.6622399 8:-1.6008344 9:1.6793289 10:-2.2018692 11:1.0253137 12:-1.8358858 13:3.142903 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:261.32132 2:-2.4752605 3:11.159846 4:-1.6516838 5:3.1931105 6:-1.6939359 7:2.8265643 8:-0.94936603 9:2.7646449 10:-0.5012765 11:3.7110157 12:-0.69980127 13:3.4699543 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:272.77075 2:2.5569215 3:14.051082 4:-0.9352274 5:4.0276003 6:-1.1561266 7:3.9644122 8:-1.5129806 9:4.631641 10:0.2278328 11:3.9616816 12:-0.4039285 13:4.1651096 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:275.28714 2:3.5771923 3:14.129668 4:-2.7971725 5:5.2294264 6:-0.027919995 7:5.1629605 8:-1.0332252 9:3.7337673 10:0.85662794 11:5.312533 12:-0.2644283 13:4.166073 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
