2 1:303.09204 2:19.847446 3:18.831388 4:-5.0529833 5:3.2782044 6:-2.328397 7:1.2535628 8:-8.714304 9:3.6752582 10:-4.04275 11:4.7809625 12:-3.628374 13:4.395181 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:311.1432 2:21.234453 3:17.846924 4:-4.20173 5:1.8949115 6:-3.248118 7:0.4615127 8:-9.628184 9:4.8531117 10:-4.8636155 11:6.362325 12:-3.9144123 13:4.689908 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:314.41476 2:21.589987 3:19.471998 4:-6.9003267 5:0.9536326 6:-2.347568 7:-0.35374963 8:-9.69295 9:5.003098 10:-4.7382827 11:7.15048 12:-3.52084 13:3.0927308 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:314.98688 2:22.68567 3:17.2887 4:-7.865812 5:-0.50699604 6:-2.909539 7:2.2426043 8:-9.986126 9:6.3264427 10:-4.231293 11:7.5718102 12:-3.7447755 13:2.1831217 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:316.4431 2:22.572433 3:15.959416 4:-9.808403 5:-1.7609267 6:-1.256601 7:2.6962829 8:-8.604151 9:5.754456 10:-5.249406 11:7.32069 12:-3.6070764 13:1.9873619 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:318.61377 2:23.51554 3:14.949149 4:-12.562318 5:-3.0169055 6:-1.7639778 7:3.3999336 8:-8.123719 9:5.63129 10:-6.528518 11:5.7400956 12:-3.8033288 13:2.4734223 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:322.31656 2:22.004135 3:13.506247 4:-12.764315 5:-3.166534 6:-1.0945036 7:4.5859585 8:-6.048985 9:4.9111605 10:-7.7352505 11:5.676795 12:-4.777889 13:2.584623 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:323.87057 2:24.060131 3:14.366204 4:-15.847087 5:-3.7806818 6:0.82188165 7:3.859382 8:-6.6060605 9:6.1751595 10:-7.9897447 11:5.126992 12:-4.4581614 13:4.3845644 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:323.08368 2:23.798283 3:12.23753 4:-15.763313 5:-0.68835527 6:0.55460936 7:5.9297833 8:-5.9521413 9:4.01651 10:-8.727204 11:3.109085 12:-5.292743 13:4.8617043 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:321.9435 2:23.589767 3:12.577925 4:-15.375792 5:0.09974806 6:1.7099736 7:6.7012715 8:-5.6421456 9:3.2017035 10:-9.216928 11:2.1158848 12:-5.6720676 13:4.652558 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
