2 1:258.28888 2:-2.1008813 3:11.232973 4:-0.91464216 5:3.084022 6:0.109113395 7:2.2740526 8:-2.5990148 9:2.4189055 10:-1.03337 11:2.7782907 12:-2.208331 13:-0.121863484 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:271.5116 2:-0.43573597 3:9.473458 4:-2.1753225 5:2.597664 6:-1.3020664 7:3.2441545 8:-1.638284 9:3.798382 10:-1.5665 11:1.7262472 12:-1.8356684 13:1.8272377 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:261.21603 2:-2.1095212 3:13.108671 4:-0.26667908 5:3.096144 6:-0.93029296 7:2.1884446 8:-0.88681257 9:3.4186277 10:-0.3722984 11:2.0953038 12:-2.1410575 13:2.4198143 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:260.06177 2:-3.432028 3:12.208455 4:0.30405775 5:4.524157 6:0.20024893 7:2.9334013 8:-1.75611 9:2.4575417 10:-2.4519744 11:0.7937642 12:-1.6410391 13:2.55218 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:260.93686 2:-2.2246256 3:12.140022 4:-1.656568 5:2.5631132 6:0.7947021 7:2.917512 8:-3.296506 9:2.9840453 10:-1.7553586 11:1.1801202 12:-1.0824134 13:1.2216548 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.2942 2:-4.289073 3:9.952102 4:-2.8085952 5:1.5677497 6:-1.3039043 7:0.51190615 8:-2.1930654 9:2.8040729 10:-1.1327393 11:3.1914482 12:-0.24647227 13:2.0811567 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:259.56067 2:-4.154371 3:9.620604 4:-1.8454909 5:2.43701 6:-2.1028485 7:1.8494987 8:-2.091955 9:1.7616059 10:-1.8794411 11:1.6324079 12:-0.5939043 13:1.9232312 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:260.88028 2:-2.8084295 3:9.911276 4:-1.4037611 5:2.5263326 6:-1.9826251 7:1.2094029 8:-3.4418766 9:1.0693392 10:-2.3995383 11:1.0244335 12:-1.8101046 13:1.689842 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.62317 2:-4.286015 3:10.176231 4:-2.2271469 5:1.8683608 6:-1.531427 7:1.308323 8:-1.6590055 9:2.5193002 10:-1.178431 11:1.5022806 12:-1.7971363 13:1.6036764 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:260.92218 2:-4.044415 3:10.894403 4:-1.2722579 5:3.2000906 6:-0.68243885 7:0.5965794 8:-2.0988784 9:1.3199722 10:-1.2380004 11:1.2356591 12:-2.0209832 13:2.2193005 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:263.78687 2:-3.9258115 3:12.054644 4:-2.1437023 5:0.022055171 6:-3.1121259 7:0.66237086 8:-1.7729987 9:1.0141319 10:-0.40206957 11:0.86768174 12:-2.6380439 13:2.384641 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.1142 2:-5.4856834 3:7.8426332 4:-3.2089682 5:1.434867 6:-1.9539258 7:1.2248775 8:-1.6227256 9:2.0041368 10:-2.0526311 11:1.8414043 12:-1.682684 13:1.8584777 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.63428 2:-2.9617312 3:8.175258 4:-2.6079142 5:1.9453353 6:-2.9162176 7:-0.24194802 8:-3.6236236 9:1.3130203 10:-2.0558 11:2.2466612 12:-0.86937547 13:3.1667101 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:260.30124 2:-3.9096887 3:9.12157 4:-0.6507183 5:3.1515884 6:-0.9080979 7:1.8045582 8:-1.7605491 9:3.2300434 10:-2.09454 11:1.3817929 12:-2.5803726 13:1.4209245 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:260.03958 2:-2.7427268 3:8.21508 4:-2.0764625 5:1.2703853 6:-3.1584773 7:0.13289289 8:-1.8828247 9:2.2975485 10:-2.840738 11:1.2634565 12:-2.2572048 13:1.9284452 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.61267 2:-4.955616 3:10.537649 4:-3.2501886 5:0.9786261 6:-3.035175 7:1.1937644 8:-0.37246192 9:1.6365614 10:0.20971708 11:2.814736 12:-0.9023606 13:1.970326 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.3681 2:-5.3678646 3:8.120246 4:-3.8208458 5:-0.0060925917 6:-3.1982725 7:-0.09105622 8:-2.244696 9:2.423474 10:0.9730379 11:3.6232889 12:-1.8856983 13:2.4495435 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.08304 2:-3.8408384 3:9.345444 4:-1.1098664 5:3.6093898 6:-1.2526786 7:0.96644413 8:-1.7446824 9:3.0350418 10:-0.6969647 11:2.079867 12:-1.2503985 13:1.9161905 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:260.72064 2:-2.3208878 3:9.715619 4:-2.37207 5:1.8907722 6:-3.5882077 7:-0.2145591 8:-2.3318787 9:2.4171267 10:-0.36546275 11:3.6438816 12:-0.86526126 13:2.6492422 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:259.25287 2:-4.4365788 3:8.339954 4:-1.7110425 5:2.159759 6:-3.973904 7:-1.0295763 8:-1.9976318 9:3.1656106 10:-1.6548094 11:1.8715056 12:-1.4819937 13:2.538935 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.1446 2:-5.0617127 3:8.707385 4:-2.0000348 5:1.4743917 6:-1.0665519 7:1.8111346 8:-1.2260028 9:3.1403773 10:-1.0525886 11:3.2891557 12:-1.1707721 13:2.0278802 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:269.65652 2:1.2641917 3:11.4124975 4:-1.7015222 5:4.890661 6:-1.2778628 7:2.2112904 8:-1.8017169 9:6.576691 10:0.8034748 11:4.584333 12:-0.6124935 13:4.050986 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:279.45667 2:7.4766316 3:11.990964 4:-3.6190362 5:5.858492 6:-0.5244685 7:2.6152847 8:-3.1355524 9:7.9966183 10:3.235579 11:5.605012 12:-2.5017817 13:4.310472 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:282.81458 2:9.335899 3:13.000376 4:-4.2560167 5:6.2903037 6:0.158057 7:2.4814684 8:-3.4134114 9:7.52571 10:1.2410268 11:5.293948 12:-0.82734436 13:5.5646467 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
