2 1:259.5251 2:-3.1585653 3:10.238195 4:-3.7382863 5:1.2173718 6:-2.4137564 7:1.0027306 8:-1.2516606 9:0.9509405 10:-1.9847159 11:1.0965081 12:-1.5521144 13:2.3962648 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:257.98935 2:-3.1712604 3:7.725404 4:-3.6099706 5:0.70891625 6:-2.270957 7:1.0159314 8:-2.0869007 9:1.1055547 10:-2.1599479 11:1.7530339 12:-2.8019218 13:3.0585501 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:259.18353 2:-2.6006804 3:8.594215 4:-3.0550587 5:0.007024751 6:-3.9282632 7:-0.23997398 8:-2.9010422 9:1.3536406 10:-0.83881056 11:2.2493386 12:-1.1169684 13:2.6491547 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:267.8385 2:-1.5435389 3:8.248498 4:-1.0561485 5:2.3140812 6:-2.7220368 7:1.7998189 8:-3.103725 9:1.6950096 10:-2.516531 11:3.2360067 12:-2.08341 13:2.0054533 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:264.83102 2:-1.6215224 3:9.641243 4:-1.4099785 5:2.602267 6:-1.8982496 7:1.8705477 8:-3.2485158 9:1.5530089 10:-1.7108982 11:2.529652 12:-0.9637936 13:3.835777 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:260.61075 2:-3.8168988 3:7.346651 4:-4.6092362 5:0.36428046 6:-4.1622033 7:1.0371428 8:-3.3496993 9:1.2239319 10:-0.68770427 11:2.481324 12:-0.2492308 13:2.2398207 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:263.49054 2:0.07489253 3:9.8617 4:-3.332844 5:0.5043242 6:-3.4538295 7:1.4945451 8:-3.3400416 9:2.2208567 10:-2.0042298 11:2.312877 12:-1.1131717 13:3.0209 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:263.11746 2:-0.96078324 3:9.491779 4:-3.437405 5:1.3966364 6:-1.6338263 7:2.515859 8:-3.2242167 9:1.5629139 10:-1.4297857 11:2.0130687 12:-1.8597054 13:0.9841173 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:262.19424 2:-1.3105161 3:11.365569 4:-1.0782495 5:1.8145146 6:-2.4347882 7:1.8231179 8:-3.5431118 9:0.98894787 10:-0.6381144 11:3.5026467 12:-1.8433167 13:2.5581543 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:260.5233 2:-4.867222 3:9.5266075 4:-4.5469933 5:0.21580626 6:-3.6673198 7:-0.26510584 8:-1.6923274 9:2.37318 10:0.63517195 11:3.0889273 12:-0.7693124 13:2.3292696 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
