2 1:261.04227 2:-3.792746 3:9.440749 4:-1.3824449 5:1.3701693 6:-3.2773545 7:1.7588863 8:-2.1260452 9:2.674695 10:-0.036154054 11:1.9460279 12:-1.6358695 13:1.0682793 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:262.3382 2:-2.2434742 3:9.97159 4:-1.0851392 5:3.9266942 6:-1.3814642 7:1.0307872 8:-1.9769479 9:1.8648988 10:-3.0447917 11:1.0852791 12:-2.4453864 13:1.9630291 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:260.4018 2:-4.911546 3:9.601613 4:-0.74073493 5:3.3994892 6:-1.3639853 7:1.4488333 8:-3.1008265 9:0.93073314 10:-1.1998819 11:2.2354233 12:-0.32148167 13:2.2413762 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:259.161 2:-5.7261686 3:10.5282955 4:-0.7693817 5:2.9903243 6:-1.0018135 7:0.77964556 8:-2.5161338 9:0.58058745 10:-1.1206845 11:1.4709086 12:-2.2879658 13:0.2123531 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:264.91068 2:-2.7758005 3:12.989749 4:-0.26425517 5:2.8269837 6:-0.80570936 7:2.2293437 8:-1.2540568 9:2.505664 10:-1.5153552 11:2.001012 12:-0.823975 13:2.7332027 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:274.49088 2:4.3234706 3:14.409931 4:-2.5295465 5:4.2309957 6:-1.0557364 7:3.5064263 8:-1.1299937 9:4.005788 10:0.06583311 11:4.753771 12:-0.813822 13:4.2564282 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:282.72336 2:7.7388783 3:14.24577 4:-5.6162033 5:4.481055 6:0.80503684 7:4.769651 8:-2.8135438 9:4.2862077 10:1.0506561 11:5.9190364 12:-1.1747745 13:4.796447 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:285.2067 2:8.188137 3:12.168528 4:-6.83411 5:5.337667 6:1.6955019 7:3.1413112 8:-2.7963767 9:4.677803 10:-0.016152333 11:6.212515 12:0.49950886 13:4.079077 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:287.6254 2:8.891814 3:12.271559 4:-6.128081 5:4.251383 6:2.2329643 7:4.712866 8:-3.008388 9:4.7536497 10:0.042725638 11:4.6840467 12:-0.92887515 13:4.671026 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:289.67908 2:11.2273445 3:12.070922 4:-7.968655 5:4.642481 6:2.382784 7:6.6174364 8:-3.4686508 9:4.9887037 10:-0.7258454 11:5.9589405 12:-1.5222534 13:4.675237 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
