2 1:265.8086 2:0.1396465 3:7.2421722 4:-4.6695 5:2.1609724 6:-2.7665412 7:2.0438943 8:-4.018268 9:1.1316042 10:-2.9587228 11:1.9190732 12:-2.2436848 13:2.4866893 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:264.4651 2:-0.56053644 3:9.776926 4:-1.760113 5:2.625893 6:-2.7910037 7:1.5184712 8:-3.3764875 9:1.1438749 10:-1.7153112 11:2.8733573 12:-1.559458 13:2.154628 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:263.6943 2:-0.8781313 3:9.607114 4:-1.5974237 5:3.1026962 6:-0.7841799 7:1.7321312 8:-1.6021861 9:3.2360613 10:-0.6095855 11:2.5174527 12:-2.3212633 13:2.0509586 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:262.84412 2:-1.9065443 3:8.640123 4:-2.5556808 5:1.4975668 6:-3.2285736 7:2.5660958 8:-1.9186239 9:2.4772146 10:-1.6710607 11:2.576553 12:-1.8557314 13:2.5189235 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:266.41556 2:-0.8892518 3:8.104642 4:-1.9270549 5:2.0661633 6:-2.9278471 7:1.8355994 8:-1.491129 9:2.8745515 10:-3.390883 11:1.1506507 12:-2.4634335 13:2.2867522 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:266.19873 2:-0.568158 3:10.198386 4:-0.8806253 5:2.5552444 6:-3.4274235 7:1.0567771 8:-1.5923108 9:3.9503145 10:-1.5281212 11:1.2213823 12:-3.392096 13:1.0661865 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:266.92194 2:0.065120675 3:9.185842 4:-2.868172 5:1.8824866 6:-3.0471969 7:1.215249 8:-2.7233388 9:2.7277513 10:-1.4730135 11:2.2050834 12:-2.425705 13:1.4445035 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:264.3489 2:-0.6727728 3:9.247772 4:-3.5820036 5:2.143908 6:-1.8416015 7:1.347776 8:-2.0887766 9:3.977583 10:-1.6123717 11:1.7791821 12:-2.6006513 13:2.3046396 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:264.9974 2:-0.09441419 3:11.4690695 4:-1.1591138 5:4.3603597 6:-1.2182077 7:1.9179937 8:-0.7149406 9:5.710051 10:-0.56655556 11:2.3943279 12:-2.7278883 13:1.7921853 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:262.9653 2:-1.4046359 3:10.259203 4:-0.9586994 5:2.9510007 6:-1.2560211 7:1.6107204 8:-3.6036048 9:1.7734787 10:-0.409688 11:2.5370972 12:-3.877003 13:1.1707318 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
