2 1:252.31218 2:-6.3563514 3:10.201545 4:-0.4235846 5:1.25734 6:-1.3662013 7:1.3035573 8:-0.9769495 9:1.2356211 10:-3.0701745 11:0.6323808 12:-3.1052547 13:1.255559 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:252.63533 2:-4.965021 3:11.925334 4:-0.06824981 5:1.3432397 6:-2.609839 7:1.5064738 8:-1.4599084 9:2.0228667 10:-1.2169228 11:2.334658 12:-0.8263561 13:3.2217445 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:249.25153 2:-7.3257504 3:9.06001 4:-0.7478329 5:2.298669 6:-1.5632412 7:0.9193095 8:-3.5176003 9:-0.023520375 10:-1.9508084 11:2.5262077 12:-1.210848 13:2.9055424 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:254.8815 2:-6.2472153 3:10.385391 4:-0.01975586 5:2.491865 6:-1.3649038 7:2.6956103 8:-1.9727192 9:0.5407061 10:-1.5863159 11:2.4618478 12:-0.339354 13:2.8907204 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:255.34297 2:-4.3012505 3:11.582136 4:-0.22344129 5:1.7339872 6:-3.392829 7:0.23187764 8:-3.250232 9:1.049558 10:-2.8630786 11:1.3341299 12:-0.64781433 13:2.838405 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:251.05965 2:-5.9264193 3:10.248981 4:-0.1989604 5:1.9355143 6:-2.4137225 7:0.40813833 8:-3.179633 9:1.8443139 10:-1.7858477 11:1.4890711 12:0.28358346 13:3.5498831 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:251.72414 2:-6.065689 3:10.535546 4:-0.93684125 5:1.7067231 6:-2.3588562 7:-0.28579035 8:-2.1493526 9:1.13244 10:-3.4614954 11:1.4647428 12:-1.0266919 13:2.7205105 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:252.06662 2:-6.9265466 3:10.660009 4:-1.1129526 5:2.1913385 6:-0.9299248 7:1.772328 8:-1.6400286 9:0.7176365 10:-1.2891332 11:1.7765996 12:-0.39407265 13:1.8509185 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:250.63884 2:-7.2327557 3:9.309354 4:-1.2115809 5:1.1169535 6:-2.2358818 7:1.3700867 8:-0.75962603 9:1.8473094 10:-2.4810383 11:2.8068476 12:-1.1564162 13:2.4808602 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:251.21204 2:-7.3174148 3:9.513806 4:-1.7226466 5:2.0100062 6:0.0524873 7:2.5593612 8:-1.0193182 9:2.2420368 10:-0.9783971 11:2.1387074 12:-0.97360635 13:2.1111507 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
