2 1:257.437 2:-5.1385536 3:6.9668746 4:-4.073765 5:1.3043605 6:-3.255262 7:0.7828662 8:-1.9148047 9:2.7467725 10:-0.96711266 11:2.408333 12:0.21421216 13:3.0539508 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:259.98886 2:-2.3197825 3:9.515786 4:-2.1445918 5:2.1091077 6:-1.7113281 7:2.777448 8:-1.6426281 9:1.8791853 10:-0.6347438 11:2.5644693 12:-2.7136526 13:1.2059312 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:263.1818 2:-2.798389 3:9.288379 4:-2.1148887 5:0.76782197 6:-4.0126324 7:1.3235583 8:-2.1329236 9:1.233305 10:-1.530459 11:1.6385665 12:-2.8061693 13:-0.19298677 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:256.79633 2:-4.568767 3:6.7965217 4:-3.9400287 5:1.6284297 6:-1.9538963 7:1.7089899 8:-1.4868969 9:2.876435 10:-1.4888151 11:2.012591 12:-2.8907433 13:0.44665867 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:257.68622 2:-3.4335566 3:10.397665 4:-0.71837217 5:2.7104938 6:-2.402586 7:0.8754059 8:-1.6092954 9:1.8612474 10:-1.9383283 11:0.2589987 12:-2.1668398 13:1.9245014 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:267.1271 2:-3.0762527 3:6.620495 4:-2.1423628 5:2.223435 6:-0.9282657 7:3.5011706 8:-2.4447088 9:2.8339376 10:-0.7178005 11:3.9105487 12:-1.1664413 13:2.2741401 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:270.4282 2:-5.8447647 3:7.974625 4:2.847482 5:0.6551889 6:-2.2023263 7:3.6638181 8:-3.4198813 9:1.9762586 10:-0.3776968 11:1.5857587 12:-3.4832768 13:2.9132926 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:260.7201 2:-5.9699106 3:7.8126507 4:0.21965897 5:2.7187846 6:-2.088621 7:1.6715847 8:-4.32251 9:2.6856017 10:0.6474614 11:1.2955378 12:-1.008238 13:1.9702811 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:259.51047 2:-5.319994 3:8.619012 4:-1.9896078 5:0.69197315 6:-4.3258424 7:0.9007607 8:-2.64263 9:1.1897365 10:-1.7043495 11:1.8244888 12:0.010930168 13:2.0805821 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:260.66083 2:-5.019834 3:8.688347 4:-0.51346344 5:2.5319958 6:-1.5110846 7:2.4828908 8:-1.1178342 9:2.7893536 10:-0.043852787 11:2.09871 12:-1.4511186 13:2.7185209 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:260.8131 2:-2.1034424 3:10.84537 4:-0.38541433 5:2.68254 6:-2.0609262 7:1.8122476 8:-1.762494 9:1.1019189 10:-1.4681368 11:2.7081583 12:-1.2978532 13:1.6008668 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
