2 1:271.74277 2:-1.1833395 3:6.5782948 4:-3.4864907 5:1.1873453 6:-3.6825743 7:0.76883477 8:-2.982375 9:2.4190946 10:-2.172794 11:2.275631 12:-0.9154701 13:3.9888763 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:269.36313 2:0.11330939 3:8.375754 4:-2.5926495 5:2.4003563 6:-2.7108245 7:0.3063178 8:-4.2487283 9:2.5814397 10:-2.2694619 11:2.4673274 12:-1.2625823 13:4.0072765 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:268.84613 2:-0.57266104 3:7.146358 4:-2.4273596 5:3.4507976 6:-2.5561042 7:0.4604658 8:-3.801358 9:2.2001166 10:-2.2989733 11:2.8122897 12:-1.5011053 13:1.8176256 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:272.4102 2:1.7232559 3:8.817835 4:-1.3464891 5:3.438792 6:-3.8149953 7:-0.22019763 8:-4.717514 9:2.2356384 10:-1.6190722 11:2.0805013 12:-2.2239559 13:2.1797407 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:269.4302 2:-0.8747832 3:6.8270574 4:-3.1035116 5:2.0463274 6:-3.1665711 7:1.0267302 8:-2.7508848 9:1.2801387 10:-1.9547216 11:1.8666542 12:-0.5804384 13:4.155642 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:267.67902 2:0.6602185 3:7.253283 4:-2.9479775 5:1.7799559 6:-3.4633787 7:0.60555804 8:-3.5299447 9:2.429967 10:-2.4547532 11:1.7023826 12:-2.2672787 13:3.2742186 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:273.4839 2:1.4575229 3:9.381096 4:-0.3363328 5:3.9966102 6:-3.6169684 7:1.0848037 8:-4.0264106 9:1.0395105 10:-3.2424402 11:1.0190939 12:-1.3554486 13:2.367476 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:269.89084 2:0.8923622 3:8.840528 4:-3.0830262 5:1.030415 6:-5.085423 7:-0.6713037 8:-4.946259 9:2.156404 10:-1.6988052 11:3.3746161 12:-1.0460843 13:1.7285646 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:269.182 2:-0.71630883 3:8.790221 4:-1.534139 5:2.6210012 6:-5.000741 7:-0.38607398 8:-2.8299375 9:3.1829631 10:-1.8969717 11:2.4045749 12:-1.5036168 13:3.2741075 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:273.1507 2:0.91369486 3:8.198395 4:-1.8699603 5:1.7459955 6:-2.3018975 7:2.2970846 8:-2.768787 9:1.2564532 10:-2.573865 11:3.689359 12:-0.5306724 13:2.6079075 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:270.76303 2:0.051179565 3:8.38407 4:-4.4034367 5:-0.31855446 6:-3.6553926 7:0.13932647 8:-2.6656947 9:2.829452 10:-1.8243266 11:4.132158 12:-0.9822862 13:2.656861 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
