1 1:227.5415 2:5.9178863 3:14.043605 4:-0.118879564 5:5.049103 6:4.1580896 7:2.565992 8:-2.6339393 9:3.8073173 10:-3.5509622 11:5.929956 12:-1.530351 13:4.93894 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:227.39575 2:5.251451 3:12.460828 4:1.1534317 5:6.0400057 6:2.406149 7:2.2716856 8:-1.6048284 9:4.578228 10:-3.7065048 11:6.598807 12:-2.062785 13:3.4322839 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:228.73796 2:5.3219223 3:14.88564 4:1.3457936 5:2.7557218 6:0.69169736 7:3.118331 8:-3.4364047 9:2.8628268 10:-3.1532693 11:7.5602093 12:-1.5084885 13:5.460479 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:230.93611 2:5.728653 3:12.470116 4:0.03375435 5:3.0399628 6:1.2822604 7:2.8110645 8:-4.017872 9:2.950565 10:-2.822583 11:7.8373446 12:-1.3242522 13:4.8021173 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:228.61531 2:5.707235 3:9.876352 4:-1.5058465 5:5.9921036 6:2.9476569 7:3.1632931 8:-1.7804632 9:3.4309666 10:-2.6790695 11:5.13665 12:-3.3627286 13:5.4414926 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:226.1554 2:4.7080717 3:9.158966 4:-2.1050403 5:4.2857547 6:1.4803977 7:2.73187 8:0.19924858 9:3.468472 10:-2.5169747 11:2.9391706 12:-3.5424452 13:5.608051 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:230.21564 2:7.212066 3:10.304003 4:-1.5156506 5:4.266871 6:1.5986747 7:1.4123998 8:-3.6806602 9:3.81759 10:-2.4935734 11:5.301088 12:-5.424244 13:3.4476576 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:228.875 2:7.1212735 3:10.796266 4:-0.042700116 5:6.766 6:1.5610985 7:3.56471 8:-2.7086098 9:4.659871 10:-0.55650866 11:6.7966003 12:-4.86078 13:3.5430195 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:225.65855 2:3.5820482 3:12.758415 4:1.2408885 5:5.3915005 6:0.62388086 7:3.2693892 8:-2.1207309 9:4.5255165 10:-2.081032 11:5.035472 12:-4.789837 13:5.0194044 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:223.1426 2:3.5695446 3:11.462763 4:0.25328583 5:5.6624417 6:1.6844292 7:3.5245252 8:-1.2003453 9:1.9188958 10:-0.9178524 11:6.196295 12:-4.781553 13:4.498937 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:224.55383 2:4.4606447 3:13.461615 4:1.3162688 5:5.3097553 6:-1.3462744 7:5.3569145 8:1.1099999 9:3.599973 10:-0.754019 11:8.354878 12:-3.0230057 13:2.7343998 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
