1 1:226.83058 2:7.6345453 3:11.916413 4:-2.713395 5:3.2035723 6:1.404199 7:4.675743 8:-2.0657315 9:5.931942 10:-1.4004903 11:6.0132966 12:-2.5726473 13:5.054119 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:224.93163 2:4.501869 3:9.438641 4:-1.807753 5:1.1845491 6:0.7330269 7:1.8866835 8:-1.7352635 9:5.299189 10:-3.170226 11:5.3733735 12:-1.0216074 13:3.568954 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:224.1475 2:5.297496 3:11.758303 4:-0.17225751 5:4.1111264 6:0.5725116 7:1.1003624 8:-1.9929067 9:6.5623655 10:-1.7852212 11:6.407147 12:-2.4101264 13:2.8017483 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:231.00446 2:10.086704 3:13.404119 4:-1.4258609 5:4.681867 6:-0.48395994 7:3.5195148 8:-4.9991536 9:3.2896535 10:-3.3494806 11:4.7604766 12:-3.5143123 13:2.6016397 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:228.86949 2:7.92982 3:12.41254 4:-0.542223 5:4.7250514 6:-0.264663 7:1.7456385 8:-3.656358 9:4.465662 10:-2.0896747 11:6.4318433 12:-3.8447332 13:2.8163931 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:225.43999 2:4.7103252 3:8.1101675 4:-1.2223268 5:3.9041407 6:-2.0306559 7:2.956582 8:-0.9135559 9:4.9781327 10:-2.7759125 11:4.6439857 12:-2.2393503 13:4.5681334 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:227.72769 2:5.394827 3:10.517702 4:-0.888564 5:2.582073 6:-1.8115456 7:3.4310086 8:-1.7239418 9:4.517488 10:-3.0905304 11:4.9571314 12:-2.11577 13:4.600816 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:229.93108 2:5.200839 3:11.4118185 4:-0.13909627 5:6.865062 6:1.1906984 7:3.5723763 8:-4.221593 9:4.103345 10:-2.8774333 11:5.6229095 12:-2.8525684 13:3.18558 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:240.45503 2:9.2510805 3:13.305479 4:1.8594415 5:11.231764 6:1.4585892 7:4.92141 8:-3.4656916 9:6.524104 10:-3.3010085 11:4.2578106 12:-3.6967843 13:3.8031313 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:264.1514 2:15.565825 3:7.9427605 4:4.8893266 5:15.876107 6:-0.5209607 7:4.895434 8:-6.2494755 9:7.641189 10:-3.1589253 11:4.512283 12:-4.5593605 13:6.936536 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:267.23026 2:15.030055 3:4.9069424 4:4.5612817 5:15.814146 6:-1.0137742 7:5.2914524 8:-6.682931 9:6.4794216 10:-3.3014698 11:2.8393943 12:-4.428958 13:6.5693245 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:267.26883 2:15.751852 3:5.557266 4:4.0940375 5:14.602943 6:-1.9674166 7:3.5253503 8:-5.8095016 9:5.899801 10:-2.5263276 11:3.0020218 12:-5.634608 13:5.434706 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
