1 1:225.09912 2:6.354544 3:11.568961 4:-0.6475678 5:1.6954463 6:-3.843303 7:2.5779066 8:-2.3225665 9:2.8160882 10:-2.885549 11:3.2398603 12:-1.2860053 13:4.989533 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:221.8202 2:5.1642394 3:10.2966 4:-1.8227962 5:2.335563 6:-1.3753018 7:3.718398 8:-1.6272823 9:5.6194844 10:-1.0090393 11:4.3564653 12:-2.182911 13:3.209839 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:224.99365 2:8.324263 3:12.2098875 4:-2.0162344 5:0.1732954 6:-4.3316393 7:1.972564 8:-1.1417731 9:4.8460717 10:-3.4167242 11:4.981967 12:-3.4220808 13:2.7209375 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:223.2893 2:4.1135163 3:10.82561 4:-1.3116469 5:3.384408 6:2.0983784 7:5.340286 8:-0.88302565 9:3.536144 10:-3.3150394 11:4.0074463 12:-4.467515 13:3.6157236 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:222.80235 2:3.5537765 3:10.134398 4:-1.2786363 5:1.4926116 6:0.6990935 7:4.487371 8:0.87307286 9:4.870168 10:-2.1904984 11:4.3538294 12:-4.01836 13:4.0736904 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:235.5208 2:7.039437 3:8.299097 4:-0.44950062 5:2.4616265 6:-2.6336482 7:0.8799117 8:-2.9318774 9:3.6052747 10:-4.153896 11:4.4838667 12:-5.123007 13:3.1498418 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:225.67735 2:5.553518 3:11.885586 4:-0.80437064 5:0.5140749 6:-1.5445625 7:3.5535638 8:0.26362208 9:5.43672 10:-4.437302 11:4.979636 12:-4.4392385 13:3.1632423 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:223.71657 2:6.7768497 3:14.413514 4:-1.0221955 5:2.3649533 6:0.2828878 7:2.6967547 8:-0.7617221 9:2.8165839 10:-3.3743093 11:8.6114235 12:-1.9658135 13:4.0743027 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:226.42104 2:7.945414 3:13.986369 4:-1.4723257 5:3.1891248 6:0.8002553 7:2.6168952 8:-0.8739204 9:5.9251575 10:-2.2439837 11:7.369685 12:-1.2923442 13:4.384983 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:225.50385 2:7.1536713 3:16.328201 4:0.44807824 5:-0.07374792 6:-3.2657154 7:2.3205278 8:0.86276364 9:6.0204463 10:-3.9449883 11:6.236788 12:-3.2076004 13:3.6605701 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
