1 1:221.93233 2:2.6462169 3:8.046546 4:-4.40346 5:1.7754512 6:0.8338972 7:2.6651661 8:-3.3657522 9:4.2221847 10:-1.838017 11:3.1570618 12:-1.9033383 13:3.2321045 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:222.9012 2:2.5900989 3:10.061029 4:-0.36137953 5:-0.62983686 6:-1.0455791 7:3.4074748 8:-3.556219 9:-0.3632187 10:-3.6943192 11:4.930897 12:-2.9092553 13:5.5487514 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:226.66905 2:3.8668885 3:10.637208 4:1.5460092 5:0.9548978 6:-3.0880284 7:4.5622296 8:-1.809231 9:1.1424458 10:-1.4772192 11:2.9718044 12:-4.2395253 13:5.8927426 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:222.42435 2:4.528346 3:9.473133 4:-1.275093 5:0.652384 6:-0.580104 7:7.490938 8:1.2698145 9:2.983038 10:-5.1185246 11:3.4825118 12:-1.4378431 13:7.2022142 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:223.85187 2:4.778524 3:8.893385 4:-1.2876822 5:1.9232109 6:0.9631174 7:6.6893783 8:0.02665763 9:3.1645412 10:-3.9691448 11:4.938989 12:-1.9100221 13:4.9944057 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:226.31836 2:3.8879948 3:7.368101 4:-2.2412138 5:2.3961878 6:-0.45740467 7:3.0422225 8:-0.82471883 9:2.9127572 10:-4.8103523 11:4.622241 12:-1.7982903 13:4.382284 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:225.29279 2:4.4555726 3:8.081576 4:-2.993725 5:2.021411 6:-0.06751177 7:4.8161554 8:-1.2367206 9:3.707066 10:-4.123668 11:3.4706933 12:-1.3572227 13:4.296679 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:224.04172 2:5.4297075 3:10.239694 4:-1.9385785 5:0.72315896 6:2.6464648 7:4.7598987 8:-2.77134 9:3.5744822 10:-3.3790102 11:4.7960033 12:-0.84599257 13:5.523771 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:224.35594 2:4.8800197 3:7.826814 4:-1.923142 5:2.0443664 6:1.4561484 7:5.6507254 8:-2.1631155 9:1.5326153 10:-4.3088236 11:5.059356 12:-2.570648 13:3.9256039 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:233.02281 2:9.877177 3:13.188313 4:2.796834 5:7.1381617 6:0.18442258 7:6.503992 8:-3.6577165 9:2.2592964 10:-4.890797 11:3.3569043 12:-3.6492205 13:5.5733285 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
