1 1:228.7236 2:4.9492755 3:9.960121 4:-0.4195082 5:5.8866653 6:-3.229759 7:1.6563281 8:-1.6427252 9:2.1961997 10:-2.7380807 11:3.2358587 12:-2.1469593 13:2.3208432 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:225.51878 2:5.188648 3:10.702802 4:0.05575877 5:3.0883448 6:-0.92266244 7:1.1238459 8:-3.118039 9:2.241008 10:-1.6780077 11:4.375913 12:-3.3505507 13:4.16811 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:223.61963 2:6.3340025 3:9.787372 4:1.0215825 5:1.6525369 6:-1.4639708 7:1.9860362 8:-2.8613307 9:2.578164 10:-3.521343 11:2.957374 12:-5.618287 13:3.9660497 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:225.28705 2:7.3822665 3:10.4470625 4:-1.7630659 5:3.6699731 6:-1.5185953 7:2.5641136 8:0.18799971 9:4.577721 10:-3.6881588 11:2.6470497 12:-3.2714937 13:4.6697774 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:223.27794 2:5.7955775 3:11.338142 4:-1.2922134 5:3.2274666 6:-2.3104808 7:0.90379125 8:-1.6411859 9:4.5472817 10:-2.0014086 11:5.1991534 12:-2.6374705 13:4.6323333 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:226.17282 2:7.542795 3:9.654781 4:-1.7885308 5:1.4380939 6:-1.4175649 7:4.0257883 8:-2.4387224 9:3.6927772 10:-2.4048283 11:4.128413 12:-3.831475 13:3.720744 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:225.38193 2:7.325491 3:11.424445 4:-1.3648887 5:3.087531 6:0.033732474 7:2.3658211 8:-1.6037719 9:4.2898374 10:-2.0881941 11:4.7788987 12:-3.6802773 13:4.289118 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:221.80338 2:5.6559224 3:12.507772 4:0.062696435 5:4.898563 6:-2.3336437 7:-0.6980445 8:-3.0990484 9:1.7987512 10:-2.7854831 11:5.923799 12:-3.4488366 13:3.9847565 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:223.90659 2:7.6806173 3:13.373612 4:-0.7725613 5:2.7800279 6:-2.7823896 7:-0.29299802 8:-1.8519776 9:5.5317593 10:-1.1267438 11:5.3778605 12:-3.5062742 13:6.446209 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:222.32216 2:6.6984367 3:10.081643 4:-1.1040359 5:4.110607 6:-0.07377845 7:2.9352007 8:-0.51121306 9:3.3623073 10:-2.5209212 11:5.030745 12:-5.016211 13:2.7332919 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:223.46649 2:6.0743413 3:9.37319 4:-1.6472224 5:4.278308 6:0.2203994 7:3.1081805 8:-0.02981028 9:4.7735753 10:-1.975148 11:6.156785 12:-3.237504 13:3.146423 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:226.46474 2:6.5796432 3:9.182026 4:-0.2630912 5:3.7360122 6:-1.3521104 7:4.6794596 8:0.20525081 9:4.588106 10:-2.4480722 11:5.9347525 12:-3.5823956 13:4.287915 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
