1 1:225.97256 2:4.4640584 3:13.960293 4:-1.0767585 5:-0.6906544 6:-2.621606 7:1.977912 8:1.9659855 9:5.909833 10:-4.0396075 11:4.1838136 12:-2.111604 13:1.279251 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:227.71031 2:6.1818705 3:9.744959 4:-2.6955185 5:0.10238336 6:-2.0990574 7:1.8614411 8:0.055188313 9:5.285097 10:-3.3417833 11:5.9750366 12:-1.9096802 13:2.7271984 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:229.05539 2:6.916102 3:10.830487 4:-1.722642 5:-0.16201113 6:-2.2320457 7:3.0458248 8:-0.5042112 9:3.6059062 10:-3.2224627 11:5.6011167 12:-2.0750923 13:2.0151548 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:228.76213 2:7.1124573 3:13.521586 4:-0.82948196 5:3.3069406 6:-1.2479851 7:2.6251986 8:0.27496755 9:4.6090617 10:-3.9195123 11:5.061352 12:-1.5771619 13:4.0057282 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:228.29251 2:5.757685 3:11.36018 4:-0.88299185 5:1.4961332 6:-1.2970188 7:3.5994196 8:1.7683716 9:6.5703244 10:-1.5444764 11:6.6338153 12:-0.20598258 13:4.4210215 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:227.42432 2:4.880606 3:11.639898 4:-1.1370922 5:2.7056541 6:-1.0675269 7:4.1315722 8:0.9065704 9:3.2305715 10:-4.126359 11:4.9898224 12:-0.41216144 13:3.5774114 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:229.11853 2:6.4859123 3:13.9579735 4:-0.2223144 5:1.8678689 6:-2.2450323 7:3.469984 8:-0.274914 9:3.6725059 10:-4.3537345 11:3.8702826 12:-0.7339208 13:2.5460982 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:228.54045 2:5.464625 3:9.417859 4:-2.8856244 5:4.012854 6:-1.1089826 7:2.9895103 8:0.005902238 9:6.2907505 10:-1.2726542 11:3.4489763 12:-2.8235319 13:1.2124053 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:228.3415 2:6.47538 3:9.13537 4:-3.7945378 5:2.1529286 6:-0.43932152 7:4.7085805 8:-1.552506 9:4.819663 10:-0.68341017 11:3.7409048 12:-1.8721498 13:2.782636 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:228.20601 2:7.308122 3:13.032533 4:-1.8618743 5:2.3799965 6:-2.208516 7:1.1176152 8:-0.6184142 9:3.6760776 10:-1.9903693 11:6.4647326 12:-0.78287673 13:1.3305899 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
