1 1:227.77754 2:9.615897 3:11.294621 4:-3.262592 5:2.1234233 6:-3.403769 7:1.1887646 8:-4.1221123 9:2.5646305 10:-1.8629476 11:5.821177 12:-3.033452 13:2.5591807 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:226.50409 2:9.681519 3:11.351111 4:-2.4806256 5:0.9382929 6:-2.975226 7:3.3212352 8:-0.67244536 9:3.9922788 10:-3.1083202 11:6.646156 12:-1.1922367 13:4.329619 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:226.48647 2:8.615567 3:11.194074 4:-1.2347707 5:5.2802157 6:0.3468052 7:4.5773053 8:-1.7072414 9:5.0638943 10:-3.3906696 11:5.037745 12:-1.9866289 13:4.0652018 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:223.78447 2:6.12536 3:11.070961 4:-0.9288136 5:4.3129025 6:0.35638252 7:4.8208156 8:-1.9828476 9:2.7639532 10:-2.4366748 11:4.878429 12:-2.2169995 13:4.832896 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:223.5549 2:7.225993 3:9.828444 4:-2.3267834 5:4.22606 6:-0.6299933 7:0.98963124 8:-2.792423 9:3.1757689 10:-1.9659727 11:4.622839 12:-3.9053543 13:3.2881985 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:225.82445 2:8.891427 3:9.108613 4:-3.6475024 5:3.9032133 6:-1.0323611 7:4.003394 8:-0.921826 9:4.211902 10:-2.760317 11:4.4420576 12:-2.8648732 13:3.3151941 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:229.4679 2:8.88895 3:9.1088085 4:-4.5804524 5:1.5029848 6:0.4323966 7:4.234501 8:-1.2916769 9:4.4323683 10:-3.5717866 11:5.6700673 12:-1.2156656 13:6.2576623 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:223.74338 2:6.66247 3:6.3570685 4:-6.0786357 5:1.2172961 6:1.24374 7:6.3984666 8:0.044505604 9:3.2670126 10:-2.0169647 11:6.629952 12:-3.6552436 13:3.9992616 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:224.48347 2:7.583976 3:8.411728 4:-3.048567 5:4.1995754 6:0.8874024 7:2.7837315 8:-1.2794545 9:2.9140005 10:-2.723654 11:7.044228 12:-1.7568911 13:4.9238396 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:226.7713 2:6.9277678 3:8.5198345 4:-2.384813 5:4.9365854 6:0.5111924 7:4.0219355 8:-1.6249762 9:3.7953937 10:-2.7860894 11:6.239987 12:-1.4415416 13:5.542068 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:236.32703 2:6.5170164 3:8.286412 4:-1.3270994 5:4.140245 6:1.1152917 7:2.6615732 8:-1.8568486 9:2.96508 10:-4.0160675 11:3.8328638 12:-0.41292256 13:3.7220128 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:230.0631 2:8.147576 3:7.1161537 4:-5.078138 5:2.0442932 6:-1.0631888 7:3.6664712 8:-2.217617 9:4.284505 10:-2.239283 11:4.0816 12:-1.9761628 13:3.482607 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:230.13197 2:8.68805 3:10.75876 4:-5.5356913 5:1.7511334 6:-0.31079522 7:3.2596734 8:-2.1626215 9:2.2617252 10:-3.0774674 11:6.7504773 12:-0.11077657 13:5.0926547 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:230.48355 2:11.085036 3:9.588423 4:-7.0529394 5:2.9320157 6:-0.37424177 7:2.5102878 8:-1.9235389 9:3.9260097 10:-2.8268387 11:7.246944 12:-0.9872912 13:5.9740553 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:236.90825 2:11.607513 3:9.730605 4:-3.9805288 5:3.8452613 6:0.06924941 7:4.4160233 8:-1.9850038 9:5.1161637 10:0.0072137862 11:8.932463 12:-3.3407357 13:5.5677843 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:233.00133 2:12.1965 3:8.392514 4:-3.9678197 5:2.7144296 6:-1.7084336 7:1.9057478 8:-1.9779966 9:4.6835837 10:-1.4077044 11:7.3617887 12:-4.1620517 13:5.8852377 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:234.67215 2:8.916027 3:7.8904743 4:-5.4468946 5:3.0411668 6:-2.5329258 7:2.097664 8:-3.6386871 9:1.8902102 10:-3.7182317 11:6.7008796 12:-1.7559428 13:2.8632374 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:231.74017 2:10.117829 3:10.942989 4:-5.073013 5:2.6022449 6:-2.2378178 7:2.456407 8:-2.8116682 9:3.3698394 10:-1.5037636 11:8.022809 12:-1.1960613 13:4.4513936 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:230.56046 2:9.265688 3:9.317887 4:-1.981809 5:6.142603 6:-1.1418636 7:0.63793534 8:-3.8875165 9:5.0059786 10:-0.54924476 11:9.099797 12:-0.83992344 13:4.128424 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:231.26968 2:8.717832 3:8.9527855 4:-5.394626 5:4.9173284 6:-0.6603072 7:1.015873 8:-4.898897 9:2.7795744 10:0.16897969 11:8.6733675 12:-1.9385179 13:3.7841632 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:231.6001 2:6.509113 3:7.7003407 4:-4.015674 5:6.1737556 6:-0.24832189 7:1.8703201 8:-2.7474954 9:2.3660772 10:-0.64381206 11:6.6891937 12:-2.5967684 13:3.5779824 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:231.2665 2:7.5480385 3:8.999836 4:-2.144283 5:4.7425003 6:-0.8575135 7:2.6957343 8:-2.826066 9:1.9380164 10:-3.2262182 11:3.2942276 12:-5.159777 13:2.7053986 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:234.29962 2:7.9628515 3:11.109239 4:-0.68685085 5:5.387359 6:0.010592402 7:2.4105284 8:-2.0972636 9:4.287476 10:-0.9394885 11:6.7599554 12:-4.0233006 13:2.0527024 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:234.61446 2:7.5697074 3:11.117417 4:0.23511206 5:5.270053 6:-0.52509505 7:1.5323585 8:-3.4269516 9:4.150786 10:-0.902761 11:7.531812 12:-3.5323937 13:1.8614063 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:225.73439 2:6.9158654 3:8.970117 4:0.6668512 5:6.9355903 6:0.40080917 7:5.3282094 8:-1.5004222 9:4.59278 10:-1.4428722 11:9.093079 12:-2.029003 13:1.9116172 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
