1 1:313.81827 2:25.430351 3:-5.0007296 4:-7.876837 5:12.96668 6:-6.7818975 7:4.6071763 8:-5.0270863 9:3.5571535 10:-4.0816264 11:9.1217375 12:-3.3292043 13:4.581465 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:322.41373 2:22.296524 3:-6.197336 4:-3.4603243 5:12.213463 6:-5.8387966 7:2.803379 8:-6.1486516 9:4.4472833 10:-3.7300313 11:8.637774 12:-3.4954474 13:4.3554125 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:320.635 2:21.14523 3:-5.935452 4:-3.320357 5:13.776339 6:-6.711059 7:2.4375849 8:-5.362165 9:4.1088457 10:-3.0942688 11:9.010543 12:-3.0893571 13:4.2218156 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:322.26187 2:20.504461 3:-5.2910495 4:-0.031108255 5:15.380563 6:-8.991546 7:1.6822062 8:-5.5747924 9:4.967634 10:-4.2774463 11:7.422508 12:-3.905975 13:4.53373 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:321.88504 2:18.168304 3:-4.4356427 4:2.2862422 5:14.677323 6:-7.1420026 7:0.10874053 8:-6.185111 9:5.895158 10:-5.793839 11:7.927036 12:-3.4682844 13:4.8266716 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:321.76846 2:16.475742 3:-4.129644 4:6.1371465 5:14.943973 6:-5.560894 7:2.2636783 8:-6.7560425 9:4.984395 10:-6.259854 11:5.982583 12:-3.3381865 13:5.3527718 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:319.00354 2:17.058912 3:-4.1046453 4:6.8572845 5:17.3168 6:-5.546681 7:2.1806493 8:-7.2372932 9:4.976472 10:-6.56109 11:6.322059 12:-4.030743 13:5.159341 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:318.19666 2:13.596722 3:-3.5446715 4:7.78124 5:14.258359 6:0.29340285 7:4.615326 8:-8.926324 9:8.03235 10:-5.730985 11:4.962443 12:-3.362434 13:3.2945006 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:315.1217 2:14.466786 3:-2.0354166 4:5.465046 5:14.624363 6:0.36768818 7:5.283576 8:-7.817473 9:8.208302 10:-3.8081021 11:4.97064 12:-3.751052 13:3.2065508 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:301.11334 2:15.64831 3:4.138004 4:0.2712084 5:8.613112 6:1.3971698 7:5.858634 8:-5.6748056 9:7.508985 10:-3.346824 11:7.1940484 12:-1.6104966 13:4.518193 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:294.30093 2:16.22101 3:6.011892 4:-1.2563922 5:7.162056 6:0.6409649 7:5.3189893 8:-4.4499755 9:8.317382 10:-5.579319 11:6.485189 12:-0.12810093 13:4.737973 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:286.39474 2:15.750795 3:7.073994 4:-0.31860006 5:8.426194 6:-0.60446167 7:3.1062315 8:-4.9491825 9:4.442444 10:-5.8003817 11:6.837224 12:-0.84041643 13:6.617967 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:281.91873 2:15.090021 3:7.3217306 4:-0.2026669 5:8.386715 6:-0.9483997 7:2.5432096 8:-6.7436886 9:4.271462 10:-6.04295 11:5.994636 12:-1.7187392 13:4.491258 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:277.19196 2:12.090551 3:6.008766 4:-2.5854673 5:8.4636 6:-1.5668111 7:0.9111117 8:-5.848546 9:4.3941784 10:-4.6614537 11:4.3739886 12:-1.1788269 13:2.3369946 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:277.4821 2:11.764991 3:7.252769 4:-3.734316 5:9.243998 6:-1.734647 7:1.2717986 8:-5.204897 9:3.6600277 10:-2.9323747 11:3.2417512 12:-1.0462133 13:3.3006456 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:276.7103 2:12.350569 3:8.735644 4:-3.4062412 5:6.5883336 6:-0.69602567 7:5.2869277 8:-2.991549 9:4.45188 10:-2.8864238 11:4.2732143 12:-1.0234233 13:2.8887968 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
