1 1:226.88516 2:8.699615 3:10.583371 4:-2.106946 5:4.5824475 6:-0.8317667 7:-0.11258561 8:-2.0587673 9:3.7335746 10:-4.2336736 11:6.0465665 12:-4.007595 13:3.8666325 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:225.5168 2:5.5720997 3:11.958093 4:-0.16569412 5:1.205368 6:-1.0865612 7:2.9101257 8:-2.671321 9:3.3101628 10:-3.3815353 11:5.125659 12:-2.2764516 13:3.646671 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:223.53273 2:5.0481205 3:10.73502 4:-1.0985976 5:3.1331153 6:-0.25328457 7:1.9385458 8:-2.3594441 9:1.8048615 10:-2.9528723 11:8.010428 12:-1.1340384 13:3.8778524 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:231.71521 2:5.7932324 3:8.6293545 4:0.048547685 5:3.5432906 6:-1.5376413 7:2.0157385 8:-2.4352088 9:1.6258826 10:-4.7498956 11:4.833064 12:-0.55574876 13:4.574938 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:232.77641 2:7.53002 3:9.800457 4:0.15906256 5:5.2266645 6:-0.3792881 7:4.1001735 8:-2.1523254 9:1.5664617 10:-4.59445 11:4.06726 12:-1.4539952 13:5.0576887 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:221.26562 2:6.2521577 3:10.332866 4:-1.2829396 5:6.438396 6:2.170325 7:4.392364 8:-1.5004815 9:1.9554785 10:-3.3418648 11:6.738165 12:-1.0868428 13:5.930651 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:221.23717 2:6.1915393 3:8.999886 4:-1.8923812 5:3.3348403 6:0.6860861 7:5.8460083 8:-0.76248425 9:2.5625255 10:-2.4964948 11:6.9477115 12:-0.5504512 13:4.274964 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:223.69252 2:7.361811 3:9.428266 4:-0.9599551 5:2.6142194 6:-2.1024032 7:5.817318 8:-1.7923764 9:1.9857838 10:-2.505193 11:4.7477045 12:-2.5660326 13:3.8184514 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:224.88136 2:5.7425346 3:7.577103 4:-3.5150335 5:2.3180377 6:-1.0059067 7:5.5820036 8:-1.1621555 9:1.8697195 10:-1.5430492 11:3.7708895 12:-3.8294034 13:2.39605 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:224.6529 2:4.9818597 3:10.040492 4:-0.39199904 5:3.652145 6:3.6410084 7:6.5908265 8:-3.5046465 9:1.7350568 10:-3.0873172 11:3.6627457 12:-3.643108 13:4.4888587 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:223.44519 2:3.469606 3:7.8923965 4:0.022505531 5:3.1192563 6:3.2519407 7:6.4959455 8:-1.0375478 9:3.60368 10:-1.0960082 11:5.4520707 12:-3.8506622 13:4.2605333 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:224.38188 2:4.0452204 3:8.8806925 4:1.1052276 5:6.310617 6:2.8327827 7:3.523159 8:-2.4609084 9:5.0561085 10:-1.0591754 11:5.254566 12:-2.8857744 13:5.125425 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:225.81737 2:4.2902865 3:8.857323 4:-0.17480706 5:3.3475592 6:0.8389583 7:2.9228547 8:-2.1311786 9:3.4911165 10:-3.0145025 11:4.112272 12:-1.686107 13:7.138391 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:225.60147 2:5.7162704 3:11.987829 4:0.33449924 5:4.097568 6:0.78572744 7:6.917957 8:-0.0069250646 9:3.5757651 10:-4.734285 11:3.8701384 12:-3.6005232 13:3.1200569 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:228.81953 2:5.075101 3:10.948379 4:1.0601568 5:3.493605 6:1.9972682 7:7.61263 8:0.16718362 9:3.6946158 10:-3.6229243 11:4.618458 12:-3.139661 13:4.491411 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:226.37674 2:0.83802533 3:8.965183 4:-0.91098326 5:2.5031223 6:3.007648 7:6.469064 8:-0.16458887 9:2.7633677 10:-4.312124 11:6.3013954 12:-2.1541522 13:5.041406 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:227.27057 2:1.8200055 3:8.043293 4:1.670688 5:3.564815 6:0.20006695 7:6.6385336 8:-0.40596434 9:2.7385507 10:-3.629906 11:6.8682075 12:-3.023757 13:4.6440525 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:244.7402 2:8.476367 3:11.44961 4:6.1227636 5:10.767855 6:0.048757218 7:8.276826 8:-2.1015031 9:1.9696558 10:-5.5348616 11:5.3683157 12:-5.6518946 13:5.270268 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:256.8325 2:14.77242 3:14.538068 4:2.9465165 5:9.672934 6:-1.3576065 7:6.584698 8:-1.2946595 9:3.3030617 10:-5.8384953 11:6.2226152 12:-5.84829 13:6.227789 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:262.07355 2:23.076256 3:18.470259 4:-2.1024303 5:2.7531047 6:-3.256775 7:6.713184 8:-5.1721873 9:4.8466406 10:-5.261262 11:5.218633 12:-5.242281 13:6.798981 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:266.8077 2:26.111536 3:16.281603 4:-3.8206222 5:1.794286 6:-2.2406511 7:6.711292 8:-5.972991 9:4.4142594 10:-5.481001 11:6.4243464 12:-6.0961003 13:6.910294 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:277.674 2:27.092796 3:12.242532 4:-8.823881 5:0.7484293 6:-0.33056465 7:7.8617864 8:-5.769953 9:4.759279 10:-5.046126 11:5.665238 12:-6.6607695 13:9.047019 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:281.1347 2:26.56018 3:11.438265 4:-10.209467 5:0.8730759 6:-1.2322804 7:8.401542 8:-6.0189805 9:4.1062846 10:-4.745628 11:4.9859476 12:-5.802405 13:8.606727 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:285.18997 2:27.140795 3:7.6721764 4:-10.180097 5:2.958251 6:-0.33914253 7:7.700546 8:-6.2130237 9:3.8473577 10:-4.772739 11:5.9365835 12:-4.3142076 13:7.308663 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:290.53748 2:26.456615 3:5.955629 4:-7.9918776 5:4.6920195 6:-1.7063764 7:7.707273 8:-7.9036665 9:4.173546 10:-3.9962842 11:6.427665 12:-3.932689 13:6.851955 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:293.4912 2:25.439808 3:2.9573865 4:-8.046973 5:9.329533 6:-1.9941708 7:4.911013 8:-8.994458 9:5.7208533 10:-2.829577 11:7.198604 12:-2.7597098 13:4.391317 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:297.38953 2:25.533655 3:2.298779 4:-8.515162 5:11.224474 6:-2.3410714 7:3.0433967 8:-8.492124 9:5.646467 10:-2.4751182 11:7.258303 12:-2.58068 13:3.896139 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:299.63757 2:23.113602 3:2.2817433 4:-5.219063 5:12.542684 6:-3.142344 7:0.8742304 8:-7.8809185 9:6.174971 10:-3.035028 11:6.04553 12:-3.2245343 13:4.422216 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:302.17395 2:23.298847 3:0.47321135 4:-2.9406965 5:14.603973 6:-4.4541507 7:0.28474262 8:-8.406848 9:5.798212 10:-3.2735212 11:5.9580936 12:-3.4651506 13:3.8864968 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:304.88083 2:22.056356 3:-0.78098315 4:0.68655026 5:16.518372 6:-6.584278 7:1.7062192 8:-8.548084 9:6.8880825 10:-3.8990004 11:4.7711825 12:-4.011961 13:3.61874 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:306.49786 2:20.465868 3:-0.017758152 4:1.5679082 5:15.719661 6:-5.3087087 7:0.8033815 8:-6.9354672 9:6.6077003 10:-3.531617 11:4.560678 12:-5.0569296 13:4.1172605 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:300.38727 2:22.24331 3:-1.0254073 4:2.2304215 5:19.045135 6:-4.775527 7:2.8043206 8:-8.551587 9:6.8844113 10:-3.106988 11:4.8830004 12:-5.3212075 13:4.1434894 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:302.59705 2:21.135445 3:-2.6918952 4:2.7525764 5:18.526466 6:-4.69139 7:5.0611935 8:-8.583752 9:6.0216827 10:-1.900987 11:4.2828054 12:-5.575886 13:4.6733923 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
