1 1:237.00032 2:4.4296417 3:7.8771462 4:4.4389367 5:2.5682168 6:-1.0412791 7:8.855542 8:-2.1594331 9:0.9261034 10:-1.9121956 11:3.6104858 12:-3.630725 13:4.8969493 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:238.4656 2:2.9387548 3:3.6473203 4:1.1167216 5:2.3852284 6:-1.2615306 7:5.730482 8:-1.6516393 9:0.8107755 10:-2.1015992 11:5.327182 12:-4.159545 13:4.0038095 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:239.09795 2:3.3491821 3:4.7849894 4:0.45425892 5:1.4581045 6:-5.468068 7:6.9752946 8:-1.4953995 9:0.13664117 10:-0.08930515 11:4.435366 12:-2.666523 13:4.9336586 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:237.56482 2:1.9450849 3:4.875398 4:0.85896313 5:2.4870548 6:-2.1621528 7:7.1307178 8:-2.6632774 9:0.1789531 10:0.38478997 11:7.514393 12:-1.8372756 13:5.2809916 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:236.1866 2:0.70783335 3:3.3542042 4:0.094560035 5:2.462124 6:-1.6854914 7:5.3546586 8:-4.3839707 9:0.46006832 10:-0.90510726 11:6.9979014 12:-1.7325454 13:4.6450405 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:237.44717 2:0.9375391 3:6.976197 4:2.6689358 5:1.8000517 6:-4.200019 7:4.7339945 8:-1.8913134 9:0.7716753 10:-0.35129252 11:6.3322306 12:-2.258159 13:4.864801 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:238.04852 2:0.08744493 3:5.6371775 4:1.6537791 5:0.24046072 6:-6.096299 7:1.0093532 8:-3.3848832 9:0.4188009 10:-0.3649176 11:7.735143 12:-2.3660233 13:4.9783373 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:246.06041 2:3.5945845 3:6.706203 4:0.16291709 5:2.3122478 6:-4.152124 7:5.809033 8:-2.107042 9:2.6470401 10:0.17270051 11:6.4302106 12:-1.749086 13:5.908093 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:246.63933 2:4.5416484 3:9.521117 4:-0.2799752 5:0.45684293 6:-3.3848362 7:5.80796 8:-1.5465242 9:3.285246 10:-0.7166076 11:5.0725164 12:-1.5937865 13:5.3757463 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:241.12486 2:3.4668167 3:3.5399792 4:-0.5544602 5:1.1197515 6:-3.439138 7:6.068974 8:-1.9258251 9:1.4476725 10:-3.0925214 11:3.008875 12:-1.6380305 13:7.9118195 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
