1 1:223.62201 2:1.8598224 3:13.5563345 4:-0.25526306 5:5.353165 6:1.5154312 7:2.3397915 8:-2.7106638 9:2.4599442 10:-4.5402017 11:3.1905067 12:-0.009447544 13:1.2965974 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:218.03104 2:4.043695 3:11.021208 4:-0.31628403 5:4.6723943 6:0.2700484 7:2.9210308 8:-3.4053771 9:3.5590308 10:-4.0574665 11:3.9104497 12:-1.1662914 13:3.0860164 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:219.75421 2:4.326251 3:9.991797 4:-0.68890244 5:2.665195 6:-1.1284845 7:3.0812922 8:-3.0703573 9:1.7588841 10:-3.7331862 11:4.334066 12:-2.6029768 13:4.371004 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:220.42271 2:7.1119504 3:13.536885 4:0.44186008 5:2.8766682 6:-0.90311533 7:2.2357287 8:-3.4868925 9:2.902426 10:-2.8902497 11:5.376638 12:-3.247791 13:4.8412294 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:221.66449 2:6.5056076 3:12.3725 4:0.8207895 5:3.6313195 6:1.4029962 7:2.2786021 8:-5.084155 9:4.8995867 10:-2.4864023 11:5.059089 12:-2.5371022 13:5.7378674 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:221.22351 2:7.6234207 3:13.723857 4:1.7228171 5:4.9464545 6:2.4010255 7:2.8832982 8:-5.477516 9:4.7088184 10:-4.2741017 11:6.128108 12:-1.7776984 13:3.6080253 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:220.66826 2:4.965351 3:11.362187 4:0.0073555754 5:3.6766515 6:2.156023 7:1.5456345 8:-2.4925508 9:5.9368873 10:-2.5156364 11:6.6136417 12:-1.6605855 13:3.3043306 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:224.42706 2:3.9694092 3:9.887608 4:-0.48537162 5:5.5056224 6:1.3321847 7:-1.6231747 8:-3.07299 9:6.6857347 10:-3.3395789 11:5.217776 12:-1.4800854 13:3.9019332 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:222.21579 2:3.6600192 3:11.026409 4:0.6009373 5:4.428401 6:0.08054121 7:-1.4703758 8:-2.189178 9:6.5955734 10:-5.003337 11:5.5724955 12:-1.78843 13:4.0525327 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:224.37239 2:5.124389 3:11.313323 4:1.9635953 5:5.444441 6:1.3024557 7:0.7518979 8:-0.48604694 9:5.5581427 10:-4.5101023 11:5.576518 12:-3.8095355 13:4.219921 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:229.29483 2:5.8043575 3:13.103579 4:1.1158086 5:4.166553 6:1.4573407 7:0.14504702 8:-1.8975363 9:4.574475 10:-4.8325925 11:3.99407 12:-2.8655372 13:4.5122595 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:231.44533 2:2.4431996 3:8.970181 4:-1.1004987 5:0.007883287 6:-1.5988091 7:0.2984385 8:-0.26619238 9:4.1656075 10:-4.40437 11:6.0526485 12:-1.433507 13:3.6964824 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:232.21794 2:4.1963744 3:9.879224 4:-1.9960939 5:0.93224007 6:-0.653921 7:1.2429546 8:-0.6810749 9:3.7452233 10:-5.416021 11:5.2133393 12:-2.423293 13:1.8381506 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:232.0392 2:8.118661 3:13.320303 4:1.4807079 5:4.8331923 6:1.5869639 7:2.0344353 8:-1.5852392 9:7.905759 10:-2.9469492 11:7.8138685 12:-1.7759956 13:4.7610245 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:260.1855 2:12.919889 3:7.191928 4:3.3932357 5:13.220459 6:1.0866853 7:2.2524827 8:-4.2676487 9:7.372973 10:-4.892898 11:5.358424 12:-3.4820213 13:5.212047 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:282.7772 2:16.579313 3:2.1152833 4:6.175749 5:15.961579 6:-1.1876926 7:4.6462197 8:-7.3673177 9:7.414854 10:-4.200139 11:3.771345 12:-4.028573 13:4.92026 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:286.00674 2:15.558003 3:0.71395975 4:6.0122094 5:14.639202 6:-1.8704444 7:4.2586007 8:-6.4490285 9:6.852097 10:-4.7523317 11:2.0262854 12:-4.488034 13:4.4915853 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:290.97345 2:16.738268 3:-0.18323155 4:5.5054703 5:13.638674 6:-3.3171594 7:5.099983 8:-5.7154727 9:7.2438807 10:-3.7622864 11:1.8144891 12:-4.7687516 13:4.1544347 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:291.908 2:18.050455 3:0.28485158 4:4.8312907 5:13.913276 6:-4.502704 7:5.8808784 8:-5.2822795 9:7.2018404 10:-3.1488736 11:2.0049856 12:-5.08145 13:3.8136675 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:295.33517 2:18.881294 3:-0.75391585 4:5.816621 5:13.3307 6:-5.0440683 7:6.251189 8:-5.0996623 9:7.592991 10:-2.6260414 11:2.2715678 12:-5.0914755 13:3.3735166 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:298.5645 2:20.228352 3:0.9974458 4:5.3694906 5:11.38581 6:-6.2360554 7:4.1247215 8:-6.2550235 9:7.723721 10:-2.386318 11:4.321489 12:-4.558332 13:5.0761633 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:311.5881 2:24.158867 3:3.3340518 4:2.44799 5:4.836403 6:-10.586412 7:2.2214932 8:-8.207215 9:7.3525124 10:-1.2252294 11:2.6183429 12:-7.3625307 13:5.771022 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:315.6136 2:25.048853 3:3.429249 4:1.7683142 5:3.2220032 6:-10.350933 7:4.025473 8:-8.181167 9:6.9287925 10:-0.18055016 11:2.1660693 12:-7.548597 13:7.4813766 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:320.45926 2:23.379229 3:1.5520413 4:0.5223425 5:3.6251621 6:-9.6744585 7:6.9136057 8:-7.09257 9:3.1638758 10:1.4181292 11:4.1264153 12:-7.3139524 13:9.731375 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:323.42468 2:22.864765 3:0.46451658 4:0.5628002 5:3.740035 6:-9.917348 7:8.246502 8:-7.3071365 9:2.8104246 10:2.1145847 11:4.37993 12:-6.6853757 13:10.095174 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:328.72745 2:21.768814 3:-1.7198476 4:0.9690335 5:4.61627 6:-10.889049 7:10.134666 8:-8.542593 9:1.186324 10:2.2419064 11:5.3418894 12:-5.8102775 13:9.943597 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:332.19742 2:19.215023 3:-1.2141747 4:0.3552499 5:4.936675 6:-10.094214 7:10.083852 8:-7.945039 9:0.70991737 10:2.1357358 11:5.176039 12:-4.9631963 13:9.628246 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:333.0096 2:18.077648 3:-0.8141029 4:0.4530831 5:6.508808 6:-11.186672 7:10.758086 8:-8.704039 9:-0.6635707 10:2.8752086 11:5.094578 12:-4.0020137 13:8.875088 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:331.64093 2:17.620205 3:-1.4642754 4:1.3840973 5:7.3655157 6:-10.55867 7:10.2112465 8:-8.740186 9:-0.40216896 10:2.6370153 11:5.285347 12:-3.826013 13:8.4109125 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:332.09525 2:16.075506 3:-0.78623533 4:3.3996587 5:7.813733 6:-9.395065 7:8.64885 8:-8.661516 9:-1.8230389 10:2.560122 11:6.1584444 12:-3.980864 13:7.8847775 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:332.23935 2:14.887773 3:-0.34061438 4:5.2157273 5:6.4666505 6:-8.9702835 7:8.308035 8:-8.049334 9:-1.9703535 10:0.894096 11:6.7308693 12:-4.668825 13:7.7743697 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:325.88525 2:14.556602 3:0.68089616 4:9.691073 5:8.661189 6:-11.710949 7:7.9812503 8:-7.6598907 9:-2.8074553 10:1.1658063 11:5.5605574 12:-3.248118 13:7.5398183 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:327.1482 2:13.31944 3:0.90998286 4:11.426664 5:9.683418 6:-11.861288 7:7.067029 8:-7.764185 9:-2.8444545 10:0.6799718 11:5.107167 12:-2.795468 13:7.0579314 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
