1 1:234.96875 2:3.9808729 3:10.805744 4:1.0559689 5:3.933216 6:-3.3815424 7:3.5533495 8:-1.4891498 9:1.5658032 10:-1.5049764 11:2.7743857 12:-1.1446217 13:4.3461733 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:240.4119 2:5.220458 3:9.395938 4:-1.888435 5:4.9122663 6:-4.795925 7:1.9596218 8:0.6531106 9:4.1597657 10:-0.3652145 11:1.4502653 12:-3.067444 13:2.9391215 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:232.83945 2:2.5910244 3:9.5961685 4:0.42504907 5:3.208154 6:-1.5975583 7:1.5916702 8:-0.61371535 9:3.238052 10:-3.8237169 11:3.643613 12:-0.26626748 13:3.5668776 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:237.79553 2:2.8348365 3:7.419427 4:-0.33071995 5:3.9067175 6:-1.4875684 7:3.8111858 8:-0.36671865 9:3.0576918 10:-2.7051334 11:2.2219753 12:-1.4595785 13:2.5021775 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:235.80035 2:1.0321631 3:8.121174 4:-1.2356141 5:5.2259192 6:-0.37063238 7:4.351378 8:-1.4286648 9:2.2752762 10:-1.1460333 11:2.4800043 12:-2.9560592 13:1.0154921 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:235.37619 2:0.3853488 3:6.9980917 4:-1.2382307 5:4.7720466 6:-1.5559667 7:3.634076 8:-1.3575162 9:1.4259069 10:-1.6698346 11:3.1824546 12:-1.2329555 13:1.4644349 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:237.65044 2:4.606611 3:8.325867 4:-0.37834188 5:4.753287 6:-2.7806768 7:3.195212 8:-3.6909914 9:1.2580069 10:-3.415907 11:2.868876 12:-1.9906526 13:3.14808 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:233.1853 2:1.831281 3:8.150755 4:-0.32524744 5:1.3303897 6:-3.0509026 7:4.3313327 8:-3.013509 9:2.1519516 10:-4.1263027 11:2.4247954 12:-2.0157208 13:4.89606 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:232.26996 2:1.8448589 3:9.495014 4:0.37277102 5:2.5601723 6:-2.8890224 7:3.399976 8:0.012084518 9:5.085382 10:-0.9354717 11:3.0955474 12:-1.2563312 13:2.854775 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:235.1657 2:1.2043543 3:9.909112 4:1.8694772 5:4.3643923 6:0.2019138 7:3.976969 8:-0.946624 9:2.8450992 10:-1.6189214 11:3.1708455 12:-1.674784 13:2.6945536 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:235.45369 2:2.1710837 3:7.165252 4:-0.47325197 5:3.1856234 6:-2.9725099 7:1.6235031 8:-1.0417957 9:3.0921972 10:0.20716207 11:4.005941 12:-1.2783049 13:4.1345773 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:234.75912 2:1.3850099 3:6.5756984 4:-0.9717701 5:2.1336381 6:-4.231005 7:0.08526836 8:-3.3959398 9:2.2367399 10:-1.4742783 11:3.7391028 12:-1.7293074 13:3.5719109 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:234.5135 2:4.272678 3:11.98545 4:1.1113322 5:4.3749347 6:-0.7620934 7:3.0006635 8:-1.1387473 9:3.177195 10:-1.85689 11:5.4587936 12:-1.6118865 13:3.3494954 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:236.83372 2:0.49942023 3:6.6212173 4:-0.4316553 5:3.0048308 6:-0.9620061 7:5.2432904 8:0.16711235 9:3.3552587 10:-0.78345037 11:5.975943 12:-0.6900762 13:1.9774449 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:228.19063 2:2.3469098 3:7.952216 4:1.2749323 5:4.3543954 6:-1.1817944 7:3.2317674 8:-1.5093272 9:3.6933427 10:-1.8587071 11:3.7492452 12:-2.6672723 13:3.4898238 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:232.01529 2:3.076381 3:10.287469 4:1.6920056 5:4.0790815 6:0.53795564 7:5.8464136 8:-2.9771895 9:3.8530936 10:-1.3711303 11:3.075088 12:-2.7236536 13:5.577085 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:231.18944 2:5.680464 3:12.019822 4:2.1251867 5:3.2826138 6:-0.76604146 7:4.4869695 8:-1.7497838 9:4.745607 10:-3.5142663 11:2.9665353 12:-3.0061998 13:2.5452378 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:229.47595 2:5.5557876 3:12.186286 4:3.339516 5:5.0168304 6:0.15527909 7:5.7946315 8:-1.5814458 9:2.4319546 10:-4.8049774 11:2.8864477 12:-4.2549124 13:1.5036966 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:228.36658 2:5.2714586 3:11.249557 4:-1.5753961 5:2.5241463 6:-0.08342902 7:3.952487 8:-0.042192172 9:4.931473 10:-2.5437183 11:2.7672591 12:-2.290387 13:4.1203313 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:226.33354 2:5.7527237 3:12.861053 4:-1.2654128 5:3.1852102 6:-1.1043197 7:2.8951075 8:-1.1758273 9:4.273203 10:-1.7784567 11:3.1734781 12:-0.7981864 13:3.919288 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:221.82123 2:4.1587076 3:12.797191 4:2.0650043 5:4.94632 6:-1.906956 7:0.3488249 8:-1.8888026 9:2.846136 10:-4.2254276 11:2.9253006 12:-1.912316 13:1.9261396 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:222.73616 2:4.481984 3:11.449317 4:1.677501 5:3.408632 6:-2.4097893 7:-0.13180467 8:-3.447761 9:4.1653934 10:-1.3488683 11:4.95961 12:-2.676753 13:2.1846774 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:221.18724 2:3.4350119 3:8.596353 4:-0.024868114 5:3.5136771 6:0.6375843 7:3.0746078 8:0.1751568 9:4.684753 10:-4.0356255 11:6.0590796 12:-4.0870934 13:0.1925975 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:224.89844 2:4.9810247 3:10.086987 4:0.20888665 5:4.3991833 6:0.23772502 7:3.727527 8:0.5198891 9:4.663383 10:-3.8104556 11:5.08363 12:-3.151423 13:1.6799475 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:219.43439 2:3.3098927 3:11.400125 4:1.8220141 5:4.06192 6:-1.289533 7:4.3631105 8:1.9542271 9:3.1303144 10:-4.1106267 11:5.826653 12:1.4235619 13:5.664037 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:220.8682 2:4.906217 3:12.163907 4:1.5610805 5:2.2985568 6:-0.74256456 7:4.3098984 8:-1.5328658 9:2.1908636 10:-3.8053415 11:6.2638645 12:0.50587827 13:4.9080706 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:224.60074 2:5.2783546 3:10.015883 4:1.5949378 5:3.8668246 6:-2.1918306 7:3.4069698 8:0.55568916 9:3.8291502 10:-2.1689231 11:7.4329596 12:-1.6090188 13:5.245947 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:222.50798 2:5.43087 3:9.431393 4:1.350018 5:4.5532274 6:-3.562052 7:2.6329257 8:0.34917602 9:2.6245396 10:-2.5655596 11:5.6524444 12:-1.0148168 13:5.726492 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:225.75272 2:3.9984984 3:13.751827 4:2.0305612 5:5.752645 6:0.3868732 7:2.818583 8:-0.4302978 9:2.0105107 10:-3.2153778 11:5.104957 12:-2.71871 13:2.7319548 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:228.98758 2:5.5116715 3:15.280566 4:2.4102433 5:5.8997 6:-0.6458815 7:1.8054917 8:-2.2420034 9:2.593246 10:-3.9515972 11:4.704447 12:-1.685947 13:2.826707 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:224.62943 2:3.0529044 3:13.07733 4:-0.7850505 5:1.6806993 6:-2.042113 7:1.5821388 8:-1.8458568 9:2.6135404 10:-0.9506095 11:7.1811247 12:-0.80468017 13:5.912487 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:224.39934 2:4.029898 3:12.590579 4:-0.5364513 5:0.90057695 6:0.9535497 7:3.555711 8:-3.5336554 9:1.1668416 10:-1.1593775 11:6.260196 12:-2.5162942 13:4.181036 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:227.34578 2:7.543018 3:14.369458 4:2.5176802 5:4.377102 6:-1.6564963 7:2.2445538 8:-2.9191844 9:2.4473615 10:-2.2749162 11:5.916996 12:-3.7022078 13:2.5726326 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:227.20532 2:5.6090264 3:14.07216 4:1.3946861 5:2.3630118 6:-2.5832372 7:2.9339385 8:0.14714184 9:3.915047 10:-2.7283359 11:4.6603484 12:-3.867221 13:2.0196195 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:228.68256 2:4.9682302 3:14.292324 4:1.568575 5:3.8229592 6:-2.8167305 7:1.7117554 8:-0.36068565 9:6.3507223 10:-0.91537946 11:4.8869805 12:-2.7796628 13:2.3694537 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:228.35239 2:4.76265 3:13.584902 4:2.5708861 5:4.8159056 6:-2.6312857 7:2.2358177 8:-0.34160712 9:5.782539 10:0.44956458 11:6.057911 12:-2.7477362 13:2.766211 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:227.17155 2:5.0860205 3:14.227881 4:2.5960155 5:4.749768 6:-0.94823986 7:1.1094764 8:-2.393182 9:4.2464094 10:-3.993794 11:3.575489 12:-1.5352526 13:4.8498044 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:230.64876 2:7.4926996 3:14.366617 4:-1.0743142 5:5.555566 6:-0.23037006 7:4.9511724 8:-0.27737987 9:7.594083 10:-2.3383648 11:5.7416215 12:-1.5944847 13:2.3985367 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:257.41956 2:12.261137 3:17.095346 4:3.720099 5:7.7686925 6:-2.4560564 7:7.5626903 8:0.7867134 9:9.915355 10:-2.3843741 11:2.0238633 12:-4.847276 13:3.446201 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:263.47296 2:12.391196 3:18.480295 4:3.6593742 5:9.211542 6:-2.5414715 7:8.856708 8:1.8735087 9:10.626675 10:-1.6889403 11:2.592242 12:-3.3796413 13:3.1791341 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:270.08655 2:14.706054 3:13.180335 4:4.761301 5:10.269389 6:-3.1435182 7:7.893919 8:1.2968094 9:11.780107 10:-3.9936163 11:3.0611613 12:-2.8554602 13:2.2602866 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
