1 1:227.82787 2:6.1079206 3:11.55095 4:-0.039833657 5:0.85404515 6:-1.1172297 7:1.4954295 8:-1.8696922 9:4.667811 10:-1.6889254 11:7.9587007 12:-3.0172284 13:2.4289484 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:224.59668 2:6.5391254 3:11.998621 4:-2.8300781 5:-0.18459108 6:-1.7059762 7:2.7515967 8:-0.65457803 9:4.836579 10:-0.90526146 11:4.6547866 12:-4.258177 13:1.3125124 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:224.12854 2:4.727603 3:11.027181 4:-0.5637967 5:1.2197081 6:-0.8550786 7:2.022692 8:-0.66742766 9:5.5946026 10:-2.4585462 11:3.4818316 12:-5.173357 13:1.1952875 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:225.84045 2:7.977658 3:13.787545 4:1.8285848 5:2.6936746 6:-2.0997336 7:2.3288403 8:-1.516969 9:5.2749825 10:-3.544291 11:6.6586027 12:-1.4356294 13:4.0529146 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:228.47734 2:7.1432724 3:12.227337 4:1.329558 5:2.744101 6:-1.7171137 7:3.3096366 8:-0.9789472 9:4.702867 10:-5.1190543 11:5.9423437 12:-1.8917453 13:3.3840215 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:225.84782 2:6.930627 3:12.618308 4:-0.13047247 5:3.8540778 6:-1.0857427 7:3.5859673 8:-0.43990692 9:3.1166012 10:-2.5462415 11:5.3445673 12:-1.4267616 13:6.5610514 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:222.5785 2:5.7969117 3:10.20832 4:-2.2023041 5:2.1904912 6:-0.3361997 7:2.1249442 8:-0.59360754 9:4.554541 10:-2.2073843 11:4.642596 12:-1.17547 13:3.9600103 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:227.0889 2:7.6834273 3:13.275336 4:-0.40616015 5:2.7374403 6:-1.4083984 7:0.63023645 8:-0.8515971 9:4.352554 10:-2.6495743 11:5.194012 12:-4.4841986 13:3.35114 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:227.2626 2:7.9685936 3:12.30025 4:0.49519238 5:4.0604877 6:-2.6600783 7:1.5657128 8:-1.2960365 9:4.0397124 10:-3.2038448 11:6.189242 12:-3.0454175 13:3.5728078 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:227.05923 2:7.419944 3:13.007532 4:1.6441009 5:4.041865 6:-1.1047988 7:3.93201 8:0.12794963 9:5.311918 10:-1.2067833 11:6.3834376 12:-5.6897316 13:3.4867704 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
