1 1:226.73854 2:7.392411 3:14.924176 4:-0.40825814 5:5.2518435 6:0.18680157 7:2.0784266 8:-2.200228 9:4.092943 10:-1.942888 11:2.990507 12:-3.2366114 13:1.0345706 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:228.98987 2:6.9618373 3:14.146774 4:-1.4545115 5:4.116781 6:-1.8010602 7:2.558347 8:-0.77862644 9:3.0470545 10:-3.050817 11:4.971091 12:-0.023661155 13:4.8010693 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:232.7798 2:9.398433 3:15.4804325 4:-1.0084262 5:3.6260402 6:-2.4912508 7:3.365105 8:-0.61251134 9:3.0544295 10:-5.0931873 11:4.811535 12:-0.5909511 13:3.6919317 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:229.04996 2:6.744844 3:17.800318 4:0.9674314 5:2.9723084 6:-0.0014522991 7:1.0138981 8:-2.325788 9:2.9132726 10:-4.3414254 11:5.764724 12:-1.7543596 13:2.3838031 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:226.85019 2:6.5191298 3:14.583323 4:0.06854387 5:2.0917864 6:-0.019802416 7:4.0338893 8:1.515324 9:3.9947042 10:-5.9531407 11:5.664412 12:-3.0601249 13:1.9953433 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:228.5174 2:5.5692625 3:11.936038 4:-0.7548055 5:3.286577 6:1.8209287 7:2.2342033 8:-2.3610249 9:3.5231712 10:-4.6763816 11:4.835906 12:-4.371191 13:2.0710552 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:227.43391 2:5.9739313 3:13.281936 4:-1.6226838 5:2.3693585 6:2.0142908 7:1.7129225 8:-0.20551072 9:5.841079 10:-4.0904937 11:5.0162253 12:-1.6338605 13:1.1012752 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:228.31215 2:3.416147 3:11.615304 4:-3.4396162 5:1.8599367 6:1.2551016 7:1.7442288 8:0.88818735 9:4.9279337 10:-2.4496043 11:6.0855446 12:-1.4958409 13:0.8671095 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:226.73792 2:2.6281092 3:13.310155 4:-2.7931266 5:1.3190905 6:1.5582207 7:2.1015718 8:-1.7594784 9:1.1269357 10:-5.4854016 11:2.9201686 12:-3.155144 13:0.6871322 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:230.10686 2:6.3388743 3:14.650796 4:-3.7659025 5:1.6685361 6:0.64435166 7:1.50993 8:1.1648629 9:1.3207023 10:-4.013955 11:4.835458 12:-2.7236404 13:4.172027 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
