1 1:244.94945 2:7.6420836 3:12.385703 4:-2.2121816 5:-0.012079316 6:2.1212106 7:0.005446657 8:-4.2755218 9:3.6104593 10:-6.0201635 11:5.7182684 12:-3.3230643 13:3.3278217 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:247.4553 2:8.595019 3:11.454264 4:-2.5356944 5:1.8349068 6:2.4579544 7:-0.8771431 8:-4.984139 9:3.9116411 10:-6.234188 11:5.707835 12:-2.4241009 13:2.3539486 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:248.24052 2:7.487839 3:11.114961 4:-1.7825241 5:2.2865999 6:3.7842805 7:1.7921424 8:-0.8710558 9:5.582992 10:-4.134464 11:5.393302 12:-3.6374798 13:3.585016 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:250.7682 2:6.39179 3:11.905872 4:-0.9972371 5:1.8522906 6:2.043534 7:1.464124 8:-1.2878104 9:4.718088 10:-3.895537 11:5.710214 12:-2.2377682 13:3.108754 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:247.95627 2:5.8463793 3:13.612201 4:-1.0188444 5:3.5500152 6:2.6921847 7:-0.20133367 8:-3.2230942 9:6.423293 10:-3.1391203 11:6.3309216 12:-1.7907671 13:4.2111487 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:250.20947 2:7.369048 3:13.845353 4:0.34644958 5:3.8833027 6:0.8003721 7:0.35135362 8:-2.0665133 9:6.598897 10:-3.266195 11:6.5981164 12:-2.7618074 13:6.4038067 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:246.58289 2:7.1441646 3:11.875571 4:-2.0473516 5:2.7862976 6:2.3708737 7:3.3630693 8:-0.74499786 9:4.9128795 10:-3.3973787 11:6.4892817 12:-1.1963573 13:5.5062785 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:248.19463 2:7.8984737 3:12.705877 4:-1.7141114 5:5.3888397 6:3.4147527 7:1.5387454 8:-3.0396986 9:5.0751257 10:-3.4793577 11:5.184653 12:-2.429234 13:3.201173 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:252.07304 2:10.114768 3:14.0295105 4:-2.0139515 5:5.3268037 6:3.147834 7:0.71097386 8:-2.771256 9:5.3256154 10:-5.3277063 11:6.043028 12:-1.0927776 13:2.3585443 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:250.63214 2:10.746336 3:14.365275 4:-1.1582249 5:3.9964254 6:2.0983312 7:3.5877662 8:-2.5088975 9:5.0240664 10:-4.0472946 11:6.30492 12:-3.1395483 13:2.3217368 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:249.16858 2:8.81467 3:10.333454 4:-0.59217584 5:-0.66599566 6:0.35226613 7:2.9733055 8:-5.359957 9:6.864019 10:-4.004333 11:3.5620863 12:-1.916435 13:4.068436 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:245.09775 2:6.912251 3:8.308641 4:-0.90874714 5:-1.4278781 6:-0.27856112 7:2.975355 8:-4.9937725 9:7.911351 10:-3.139399 11:5.492126 12:-0.058853127 13:2.8171976 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:246.94798 2:10.6779585 3:9.0911255 4:-0.5103976 5:4.000791 6:1.5492489 7:4.581395 8:-3.769494 9:4.144425 10:-5.516532 11:3.5225377 12:-3.3826 13:2.8535652 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:244.55539 2:9.669619 3:8.793189 4:0.43478528 5:5.594196 6:1.9142201 7:4.6084027 8:-2.801744 9:4.093308 10:-5.5071316 11:3.6991389 12:-4.7445664 13:2.021391 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:245.02446 2:12.667951 3:12.078892 4:0.057188075 5:4.355771 6:-0.49248585 7:4.071933 8:-1.9179815 9:6.0717373 10:-5.6661463 11:5.800466 12:-2.2409592 13:3.6479897 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:246.38583 2:13.683562 3:11.85334 4:-0.42287782 5:3.8220606 6:-0.69033355 7:3.3337893 8:-3.809914 9:7.5909057 10:-3.9612439 11:3.8744278 12:-4.0953627 13:3.1867135 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:240.86768 2:14.3410845 3:11.100645 4:-0.8104614 5:4.4416 6:-0.1694381 7:4.5442376 8:-5.12907 9:3.6309485 10:-5.5341706 11:4.317068 12:-2.7759044 13:4.482342 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:244.35287 2:13.798401 3:10.544366 4:-1.0410277 5:6.333669 6:1.6688178 7:5.2407846 8:-3.527972 9:3.9855707 10:-4.8431954 11:4.091602 12:-4.139023 13:3.650876 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:249.72163 2:14.88492 3:13.099578 4:1.2648852 5:7.5261855 6:-1.7688955 7:5.4325347 8:-3.268994 9:4.045313 10:-6.274843 11:1.6877149 12:-4.052486 13:3.607641 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:250.03192 2:15.133828 3:10.499803 4:0.06851021 5:8.728527 6:-3.907749 7:3.8443484 8:-4.5791225 9:4.666632 10:-4.105444 11:1.2496017 12:-3.289023 13:5.166915 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:246.10881 2:14.646782 3:12.003526 4:0.80362564 5:7.7901716 6:-0.2523844 7:4.867789 8:-4.2759967 9:3.5192976 10:-4.9558063 11:4.5411534 12:-4.988406 13:3.617861 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:246.49199 2:13.288726 3:9.797533 4:-0.2873031 5:8.399103 6:1.9044707 7:6.4469733 8:-2.3523066 9:5.1183705 10:-5.5318675 11:3.0897903 12:-5.8613706 13:2.7843256 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:278.34763 2:16.585453 3:1.3287287 4:4.9926047 5:11.405465 6:-2.915574 7:7.306452 8:-6.3888927 9:8.03145 10:-3.046007 11:3.205948 12:-5.280374 13:5.521428 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:285.2612 2:17.854662 3:0.6599365 4:4.672797 5:11.391963 6:-2.7890754 7:7.618837 8:-6.7406096 9:8.391637 10:-3.4930825 11:2.7830744 12:-5.6755857 13:5.138479 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:289.19214 2:18.636227 3:-1.6936693 4:4.747511 5:12.3394785 6:-4.839377 7:6.934565 8:-8.170648 9:6.2603097 10:-1.9673684 11:2.560715 12:-4.738538 13:5.0774565 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:291.70804 2:18.00511 3:-3.367306 4:4.449152 5:11.34654 6:-4.915281 7:6.450802 8:-8.016048 9:6.0165396 10:-1.7513889 11:1.8618013 12:-5.022587 13:4.7563515 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:294.06006 2:18.766663 3:-2.7245526 4:5.0246973 5:12.224437 6:-4.7475314 7:8.463752 8:-6.5559516 9:8.209463 10:-2.5767033 11:1.8837177 12:-5.3130584 13:4.002502 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:294.5337 2:19.47616 3:-3.2123542 4:5.759934 5:12.255233 6:-5.7764516 7:8.6365795 8:-6.550748 9:8.6585 10:-1.799921 11:2.5493364 12:-6.562973 13:3.5690298 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:294.726 2:20.28006 3:-2.2431047 4:6.347741 5:10.741147 6:-5.920014 7:8.362394 8:-7.429397 9:8.583971 10:-2.1117518 11:3.0658956 12:-5.4506664 13:4.484611 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:300.02576 2:21.888826 3:-0.4998914 4:6.2450876 5:10.356037 6:-7.083628 7:8.741059 8:-7.8973055 9:8.905325 10:-1.924066 11:3.542584 12:-4.699959 13:4.7626753 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:305.86053 2:25.10978 3:1.0155027 4:3.0829053 5:5.1205688 6:-9.86465 7:5.6780725 8:-9.590949 9:6.8085585 10:-1.6291416 11:4.014404 12:-7.2323136 13:5.3698683 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:309.0658 2:26.308586 3:1.3952663 4:2.7097304 5:5.3812695 6:-10.850878 7:6.8533998 8:-8.467159 9:6.7441773 10:-0.94455856 11:3.977002 12:-7.7631555 13:6.262113 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
