1 1:237.18304 2:9.57623 3:10.481899 4:-3.6439028 5:3.8376067 6:0.85816664 7:7.367627 8:-1.8974148 9:1.4702377 10:-3.3338983 11:6.0570846 12:-1.9484346 13:6.166875 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:237.32191 2:9.194428 3:5.7127647 4:-5.645675 5:0.10832717 6:-0.31618676 7:6.088196 8:-2.380394 9:1.2440425 10:-3.4538167 11:5.629014 12:-2.7710226 13:5.961444 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:238.58559 2:8.789354 3:5.462672 4:-5.389894 5:0.14846212 6:0.07423793 7:5.49111 8:-4.5179896 9:2.0132015 10:-3.5102658 11:5.292851 12:-2.8791585 13:5.787462 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:239.85527 2:11.379079 3:9.665028 4:-3.2483492 5:2.8227634 6:-0.9298591 7:3.6536984 8:-4.808901 9:0.46422082 10:-4.85248 11:4.739599 12:-1.0827575 13:6.1715117 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:240.20679 2:11.517775 3:8.789459 4:-3.689712 5:2.7236297 6:-1.3662763 7:6.3531747 8:-3.6992784 9:1.7432709 10:-3.2433105 11:5.3757033 12:-1.6901658 13:6.0331554 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:238.23558 2:11.847197 3:12.952798 4:-3.0224595 5:3.785905 6:-2.4438882 7:4.574217 8:-4.761687 9:1.4980551 10:-2.6390693 11:5.2639794 12:-0.13738324 13:6.5109825 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:238.22772 2:11.179748 3:12.42443 4:-2.898745 5:3.2137418 6:-2.720822 7:6.180227 8:-3.534064 9:1.9330306 10:-2.4697638 11:5.5770955 12:0.1902824 13:6.68011 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:236.53256 2:10.576577 3:10.542587 4:-3.2809243 5:2.2545638 6:-2.5771163 7:4.9376802 8:-1.3374014 9:0.9097233 10:-3.1542852 11:6.7806516 12:-2.162068 13:8.027416 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:236.29568 2:8.883701 3:9.9934635 4:-2.4570458 5:2.1956913 6:-1.6449783 7:4.6622686 8:-2.8253741 9:2.45693 10:-1.492214 11:6.804935 12:-1.1470506 13:7.665127 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:233.05194 2:8.211066 3:9.571765 4:-3.1037092 5:4.2970514 6:-1.1765983 7:3.7206028 8:-2.1897101 9:1.12328 10:-2.4116294 11:5.1477265 12:-2.287416 13:6.279002 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
