1 1:234.66354 2:10.550556 3:12.071473 4:-2.0234067 5:4.7295895 6:-0.5950698 7:2.7373638 8:-3.3887413 9:0.28488696 10:-2.8424656 11:5.4480753 12:-2.7767372 13:3.445143 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:232.13167 2:9.675116 3:10.882349 4:-2.895156 5:1.6692001 6:-0.31415543 7:2.9146287 8:-4.0802 9:2.238542 10:-4.7534585 11:2.1276603 12:-4.7227645 13:2.526275 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:229.39381 2:7.405886 3:11.354279 4:-1.4243675 5:2.752819 6:-0.16195758 7:3.4191177 8:-2.4391522 9:1.2711674 10:-6.2363787 11:3.5895982 12:-2.6044014 13:2.3262606 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:231.46358 2:7.0210195 3:9.801346 4:-4.5223393 5:2.0851061 6:-2.3943934 7:2.5613995 8:-5.000586 9:-2.1019943 10:-5.226402 11:2.0639102 12:-4.178707 13:1.5907114 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:228.59973 2:10.104076 3:11.830935 4:-5.201924 5:2.3831527 6:-2.1796453 7:2.3523023 8:-4.174942 9:-0.37408385 10:-6.5205936 11:2.2328048 12:-3.631072 13:2.9489603 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:229.42645 2:8.530053 3:10.457913 4:-1.3700373 5:2.8963063 6:-2.3128827 7:-0.16086909 8:-4.7859144 9:0.95179045 10:-4.224373 11:3.8551748 12:-2.7310634 13:5.291225 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:228.68538 2:7.008518 3:11.975761 4:-2.0414119 5:1.0781873 6:-2.6151567 7:0.3717993 8:-5.769288 9:1.9929813 10:-4.078557 11:3.5821867 12:-1.730186 13:5.0640707 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:227.42023 2:5.4964657 3:10.745521 4:-2.4210951 5:3.467925 6:-1.0236099 7:1.2678545 8:-3.4516268 9:1.8311831 10:-3.388292 11:6.589623 12:-0.20367491 13:4.29782 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:229.28416 2:7.057894 3:10.840906 4:-2.8306048 5:2.2085636 6:-0.13304965 7:2.5173657 8:-1.6319371 9:2.8945043 10:-5.86556 11:4.5446177 12:-2.7273402 13:4.0755124 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:229.44937 2:6.1132264 3:11.827728 4:-3.4412282 5:2.140158 6:-1.2633976 7:2.028315 8:-1.0777872 9:2.367032 10:-6.150847 11:3.178992 12:-1.3178852 13:3.7646682 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:229.10098 2:8.71491 3:12.951321 4:-3.3757496 5:1.565742 6:-0.16936782 7:0.9664669 8:-2.385319 9:1.7157531 10:-4.7758904 11:4.7938414 12:-2.4266694 13:4.633706 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:234.86952 2:5.9547143 3:6.7912164 4:-2.7307158 5:0.5819421 6:-0.72752464 7:1.8488591 8:-2.1020744 9:2.6174154 10:-3.508184 11:5.0328064 12:-2.713978 13:4.5206046 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:235.04044 2:7.080347 3:9.431514 4:-2.3709388 5:3.1476707 6:-0.30723593 7:3.167581 8:-2.7357512 9:3.3923273 10:-2.4115348 11:5.0562453 12:-1.8390749 13:4.4268103 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:227.99883 2:5.358791 3:12.640415 4:1.4983764 5:6.0358667 6:3.2907658 7:1.6941688 8:-3.8604445 9:3.5652075 10:-4.362494 11:6.6003475 12:-4.044496 13:5.9959717 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:227.4414 2:7.230809 3:14.247799 4:2.2318287 5:5.2392864 6:5.289758 7:4.966993 8:-2.9928417 9:2.7315726 10:-5.1717644 11:6.3280334 12:-4.2097826 13:6.729952 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:229.54207 2:4.321846 3:9.888486 4:-1.9209956 5:3.9236197 6:2.3083408 7:4.0712576 8:0.8278845 9:4.314842 10:-4.0885115 11:3.997076 12:-2.5035229 13:5.3856378 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:228.55212 2:2.4130287 3:9.310618 4:-2.1607692 5:3.715342 6:2.6551213 7:4.9929967 8:1.9151866 9:4.6063232 10:-3.676784 11:2.7569518 12:-3.4031951 13:2.8175895 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:231.73161 2:7.942935 3:10.36237 4:0.6650981 5:1.4666502 6:1.868929 7:6.4917884 8:-0.78684884 9:3.9077754 10:-4.439573 11:4.008603 12:-3.2444365 13:5.7903013 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:229.48703 2:5.8152647 3:8.537106 4:-0.16047491 5:3.2542605 6:2.867388 7:6.4480195 8:-0.52822536 9:4.9499993 10:-4.1388726 11:4.208022 12:-1.9630623 13:5.719788 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:229.39201 2:6.266228 3:11.718109 4:-1.8680515 5:3.0952125 6:1.451218 7:3.587967 8:-3.7715929 9:2.2459364 10:-4.3621225 11:3.5886853 12:-2.57837 13:5.5490756 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:228.2548 2:6.1685543 3:11.555887 4:-1.7266428 5:2.8009639 6:1.9216174 7:5.9731135 8:-1.5761458 9:3.583376 10:-3.7180383 11:4.2254486 12:-3.8315318 13:4.0010924 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:236.65485 2:10.410076 3:12.209546 4:0.79521066 5:6.233913 6:1.7417228 7:9.238018 8:-3.3942132 9:2.9984348 10:-3.8956354 11:3.5397496 12:-3.6649618 13:4.94268 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:252.11378 2:14.59587 3:11.76136 4:1.8453095 5:7.9985857 6:0.59364545 7:11.661963 8:-3.2244172 9:2.6549268 10:-5.07359 11:2.9906573 12:-4.64539 13:7.200203 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:259.3541 2:19.314222 3:12.028802 4:0.030329635 5:9.563327 6:0.64933455 7:10.649349 8:-2.9761415 9:3.1763985 10:-5.001985 11:4.0973396 12:-6.8143344 13:7.9151907 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:262.7474 2:19.14213 3:9.124719 4:0.25384218 5:10.143044 6:0.7083865 7:10.654924 8:-3.9930675 9:3.31967 10:-5.277297 11:3.0931518 12:-6.326468 13:8.80102 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:270.74796 2:20.081146 3:5.1419477 4:0.13987577 5:11.294222 6:-0.070565976 7:11.045765 8:-3.7324727 9:3.631376 10:-4.0194993 11:2.8055358 12:-6.9279957 13:8.361772 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:279.86438 2:23.998014 3:4.905628 4:-0.35093448 5:7.639327 6:-4.252447 7:9.016089 8:-5.2253356 9:4.442509 10:-3.2872274 11:3.8053432 12:-6.9200826 13:8.190738 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:296.86926 2:27.41955 3:0.9771401 4:-2.7020378 5:5.8956866 6:-7.896139 7:9.741261 8:-5.6696725 9:3.603546 10:-5.0238686 11:6.21879 12:-7.270351 13:7.5871787 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:304.48938 2:27.856834 3:-1.8251317 4:-3.5562174 5:5.188599 6:-8.363222 7:11.175516 8:-4.9737835 9:4.1789107 10:-4.997722 11:5.734341 12:-6.312721 13:8.429979 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:312.09186 2:25.097017 3:-4.897135 4:-5.201265 5:6.608237 6:-7.260659 7:10.30154 8:-4.1754675 9:3.9594238 10:-5.3319764 11:6.2608004 12:-4.7232676 13:7.2265544 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
