1 1:219.56947 2:5.308949 3:9.866266 4:-2.0723875 5:-1.2809232 6:-2.598925 7:3.4549592 8:-1.413276 9:2.4738853 10:-1.9142303 11:7.0364194 12:-2.0752363 13:4.9173765 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:224.71759 2:8.99068 3:10.758727 4:-0.7411227 5:3.3208976 6:-1.6001589 7:3.5482054 8:0.33556342 9:3.9639323 10:-4.205693 11:4.821063 12:-4.9187264 13:3.010114 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:222.19005 2:7.1505527 3:12.688729 4:-0.38561094 5:2.8821192 6:-1.1382167 7:3.2090147 8:0.90720326 9:4.355899 10:-3.465657 11:3.7354522 12:-4.836609 13:3.6470122 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:223.31671 2:6.9595795 3:11.70915 4:0.6286621 5:2.0099857 6:-1.574153 7:1.7784681 8:-0.6922017 9:4.098437 10:-3.1922202 11:6.8118734 12:-3.474987 13:2.6117792 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:226.80876 2:8.872842 3:11.844442 4:0.60533005 5:2.5565925 6:-0.65700155 7:4.3192444 8:-1.1391515 9:3.0585642 10:-3.6450603 11:6.17828 12:-4.19075 13:2.479849 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:224.80577 2:8.209924 3:13.434991 4:0.08789914 5:3.6550436 6:-0.94397277 7:2.8928347 8:-2.0542245 9:3.6480823 10:-2.6524613 11:6.812932 12:-0.94788384 13:4.875386 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:220.36726 2:7.63375 3:13.228032 4:0.51638037 5:4.540858 6:-0.49427918 7:5.8835473 8:0.55102426 9:3.2460887 10:-2.9528022 11:6.3109922 12:-1.1738881 13:3.949867 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:223.50601 2:9.216301 3:11.345051 4:-1.7946442 5:1.9058372 6:-2.8858984 7:4.065996 8:0.14222282 9:4.667902 10:-2.7698584 11:6.0622168 12:-3.1446018 13:5.606289 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:222.49586 2:8.253003 3:11.683978 4:0.3246178 5:2.1222115 6:-4.318422 7:2.167419 8:1.3052847 9:6.017342 10:-2.2440195 11:6.3970885 12:-3.1747677 13:4.886349 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:223.09674 2:7.369314 3:11.343934 4:0.7378475 5:4.20462 6:-0.63743293 7:2.8843377 8:-1.5473568 9:5.094165 10:-2.698458 11:6.4849305 12:-3.9025106 13:3.543979 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:218.47983 2:7.7925224 3:14.244391 4:1.6231532 5:3.5979433 6:-0.6763975 7:2.6837611 8:-0.8529183 9:5.669457 10:-3.3534248 11:6.780201 12:-3.4655595 13:4.2492347 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:231.21362 2:8.507664 3:10.439265 4:-0.64466405 5:2.4627602 6:-0.26160002 7:3.8669088 8:-0.55197686 9:3.7167516 10:-5.3368096 11:4.4411664 12:-3.637893 13:4.4885087 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:238.27083 2:6.185334 3:9.111041 4:-0.34042177 5:3.9364827 6:0.5784092 7:1.3301865 8:-2.7977972 9:2.2818794 10:-4.305572 11:6.027369 12:-1.6653516 13:5.0676894 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:227.80328 2:7.695826 3:11.945179 4:-0.18863261 5:0.36571786 6:-0.17365976 7:3.92161 8:2.6643841 9:6.1705546 10:-4.2739716 11:7.3065743 12:-2.2476835 13:3.0986211 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:224.55478 2:6.0875406 3:10.499163 4:-0.48038843 5:1.1772753 6:0.14731757 7:3.5996494 8:1.3505969 9:5.27335 10:-3.6599948 11:5.675953 12:-3.4428504 13:2.5575535 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:232.17235 2:5.7003045 3:10.704802 4:2.9752371 5:1.435222 6:-1.9964409 7:2.87756 8:2.6848109 9:5.004635 10:-3.778933 11:8.363628 12:-3.01582 13:3.4925508 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:231.57687 2:2.991195 3:7.688112 4:0.7324313 5:-0.779962 6:-2.7532642 7:3.2148612 8:2.6595123 9:3.0995064 10:-3.7174766 11:7.703167 12:-3.2972033 13:2.4102085 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:226.24258 2:5.9167895 3:11.177926 4:0.2167062 5:2.005132 6:-1.4965005 7:-0.8704289 8:-1.2284912 9:4.0975223 10:-3.3394108 11:5.6302266 12:-3.5421836 13:4.924436 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
