2 1:271.31598 2:-7.5228276 3:3.2220604 4:-2.7306914 5:-1.703047 6:-3.2547176 7:1.30017 8:-4.914594 9:1.2479934 10:-3.6799872 11:2.2180946 12:-2.1653714 13:1.8023374 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:274.2029 2:-5.447673 3:3.8511012 4:-3.4235036 5:-2.5168507 6:-4.485078 7:2.7929173 8:-3.1628635 9:1.6741192 10:-2.0366197 11:2.074701 12:-2.917246 13:1.832029 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:274.89285 2:-5.694102 3:4.3999925 4:-2.4653738 5:-2.2606204 6:-4.1835613 7:3.0794213 8:-2.3701236 9:1.7692198 10:-2.6159217 11:2.758478 12:-1.0630665 13:1.3910145 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:274.2511 2:-6.37237 3:3.6215875 4:-1.0152782 5:-0.8945665 6:-3.5136847 7:2.963267 8:-3.5492406 9:1.390697 10:-4.16202 11:2.7697136 12:-2.286399 13:0.51220584 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:274.93295 2:-8.236348 3:3.607407 4:-0.81056607 5:-1.606613 6:-3.9679964 7:1.9512048 8:-3.325226 9:0.95389104 10:-3.8597999 11:1.7948928 12:-2.4720614 13:2.2851162 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:279.68417 2:-3.9620879 3:3.5917842 4:-1.9968786 5:-1.7850096 6:-4.075422 7:2.9215481 8:-2.8553827 9:2.208088 10:-4.0734997 11:1.4917233 12:-4.096653 13:0.5540342 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:281.238 2:-2.2893586 3:8.581058 4:1.275066 5:-0.7814498 6:-2.9534218 7:2.7134724 8:-3.4363563 9:3.3982935 10:-3.150312 11:1.678785 12:-4.075512 13:1.3889939 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:282.10812 2:-2.850755 3:7.1599293 4:0.31356612 5:0.5342753 6:-2.5819883 7:1.9796487 8:-3.9983728 9:3.585499 10:-2.2543166 11:2.5874317 12:-2.9894671 13:1.394879 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:283.83078 2:-2.333245 3:6.1739917 4:0.36768383 5:0.09580224 6:-3.5260544 7:1.6015236 8:-3.4954872 9:2.2696602 10:-4.116982 11:2.2972214 12:-1.5141171 13:2.4376156 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:288.41672 2:-3.0349479 3:5.067399 4:1.5709158 5:0.37778103 6:-3.7040992 7:1.7960287 8:-3.5005434 9:3.8207128 10:-2.5800223 11:2.9405668 12:-2.3625133 13:2.352489 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
