2 1:259.07117 2:-8.960014 3:6.4857206 4:2.910977 5:2.6530814 6:-4.485627 7:1.4277562 8:-1.6784838 9:-0.0761814 10:-2.9137871 11:2.6456823 12:-1.9783579 13:2.8737073 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:257.49973 2:-10.151299 3:3.2134037 4:0.4915901 5:2.1005244 6:-3.0723279 7:2.9248943 8:-1.0714967 9:1.4092379 10:-2.4893298 11:2.098432 12:-2.8258657 13:1.0006245 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:258.00095 2:-10.334172 3:4.7472935 4:1.6867802 5:3.4522784 6:-3.7465463 7:1.8196689 8:-0.10804201 9:3.4868793 10:-0.6686266 11:3.3194418 12:-1.1945163 13:3.2117486 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:257.31024 2:-11.814709 3:3.81782 4:2.605875 5:3.6699405 6:-3.2759113 7:1.0366844 8:-2.0819044 9:0.9736624 10:-3.13143 11:0.56364334 12:-2.8993316 13:1.5193732 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:257.3157 2:-9.615052 3:5.8633156 4:1.3897889 5:2.0793393 6:-3.5662496 7:0.8630416 8:-3.5128095 9:-0.18481083 10:-2.5180616 11:2.1595383 12:-1.3166773 13:3.0862944 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:258.32733 2:-9.381032 3:4.40468 4:1.655703 5:2.8398786 6:-2.826196 7:1.9590198 8:-0.45983806 9:3.088442 10:-1.8159189 11:1.8151416 12:-2.4697404 13:2.170596 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:258.72043 2:-8.837721 3:4.602276 4:1.9732534 5:3.8267243 6:-2.6738052 7:3.3428164 8:-0.73395663 9:2.1600149 10:-0.66695887 11:3.2151282 12:-1.2049972 13:2.9307265 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:258.97018 2:-9.841747 3:3.472672 4:1.6519437 5:2.2516131 6:-2.955362 7:2.5424652 8:0.14719754 9:1.4285214 10:-2.2903223 11:2.8793566 12:-2.3353496 13:3.3294935 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:257.49356 2:-10.41392 3:3.316865 4:2.0531404 5:2.6159399 6:-3.3581238 7:1.4656539 8:-2.3088832 9:2.4805272 10:-0.41123268 11:3.3813064 12:-2.1477022 13:2.064412 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:260.26373 2:-9.775964 3:3.2333639 4:0.75670797 5:2.4716043 6:-3.506386 7:0.9513106 8:-0.987433 9:3.3630288 10:-0.52077913 11:3.7013783 12:-2.4130592 13:2.4895444 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:260.8793 2:-8.491474 3:4.7738585 4:2.6813445 5:3.4541137 6:-4.675476 7:1.4804455 8:-1.392126 9:2.9303262 10:-0.61361784 11:1.5068829 12:-3.3815753 13:1.74485 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:261.75262 2:-6.947859 3:5.058855 4:1.8595524 5:2.9940307 6:-4.4039335 7:0.7083327 8:-1.9887269 9:2.9989676 10:-1.2393724 11:1.9298021 12:-2.577779 13:2.1307135 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:260.2034 2:-9.43122 3:3.0499365 4:-0.45311174 5:1.6916126 6:-4.6109715 7:0.61019623 8:-2.394853 9:1.7838236 10:-1.3690293 11:3.1085196 12:-2.039341 13:2.5955594 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
