2 1:256.23697 2:-8.76852 3:7.5873137 4:2.060824 5:2.5592372 6:-4.1497073 7:1.320007 8:-2.1937985 9:1.2039487 10:-0.080024585 11:3.3226151 12:-2.5766785 13:2.6276324 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:256.32632 2:-9.288893 3:6.1097736 4:0.30311257 5:1.7039468 6:-2.9838164 7:3.0700638 8:-0.021755364 9:1.9910973 10:-0.63845295 11:2.1283343 12:-2.83027 13:1.799661 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:256.6991 2:-8.101916 3:8.3513155 4:1.3571782 5:1.1780853 6:-3.785918 7:2.2396035 8:-1.2531711 9:1.3527015 10:-1.5311984 11:2.3164275 12:-2.6858342 13:1.7691903 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.79324 2:-9.335647 3:6.4921236 4:0.019437639 5:0.34835395 6:-3.6826408 7:1.1234621 8:-3.2751663 9:0.27176675 10:-1.4302338 11:2.4308314 12:-1.4948493 13:1.9716164 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:255.45108 2:-9.919843 3:5.5585413 4:0.23099205 5:1.818236 6:-2.5223954 7:3.5986478 8:-0.78124666 9:1.5654943 10:-0.6848105 11:3.2959454 12:-2.2179239 13:1.2564758 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:254.68239 2:-9.330905 3:4.042177 4:-1.328442 5:1.4478512 6:-2.8250532 7:3.1335921 8:-0.3025387 9:0.95833373 10:-1.2562784 11:2.2823424 12:-1.6494962 13:2.6054883 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:273.04773 2:-2.980206 3:7.4048157 4:1.9994403 5:3.1855602 6:-3.717476 7:2.556376 8:-1.4320173 9:1.9968212 10:-2.621584 11:2.1886191 12:-2.055021 13:2.3780787 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:266.18546 2:-5.2504835 3:8.357939 4:1.4163445 5:2.6142957 6:-3.4369485 7:1.3303517 8:-2.3155828 9:1.3901566 10:-1.6338319 11:1.7888349 12:-1.793362 13:2.1380866 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:260.99008 2:-8.368925 3:5.697348 4:-0.46505785 5:0.3702709 6:-4.8386555 7:2.0604177 8:-0.5875054 9:0.7192541 10:-1.9597411 11:1.1162794 12:-2.3360493 13:2.1552012 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:260.37802 2:-8.8185215 3:5.6453304 4:0.50084656 5:1.7155068 6:-3.5030284 7:1.913924 8:-1.7139701 9:2.1527293 10:-1.2777406 11:1.8269423 12:-2.1450303 13:1.9335823 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:259.86243 2:-10.153211 3:4.110061 4:-1.7368118 5:0.1670504 6:-4.2398934 7:2.025207 8:-0.6770863 9:2.3414032 10:-0.11494079 11:3.364661 12:-0.1883198 13:2.3213272 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.51834 2:-9.466581 3:5.9537067 4:0.37951565 5:0.90784 6:-5.5343122 7:1.0718906 8:-1.3479605 9:-0.119188674 10:-1.0626702 11:2.2339907 12:-1.4807193 13:3.049558 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
