1 1:279.59824 2:-2.5734289 3:8.481302 4:-0.2866585 5:1.8369061 6:-2.6132383 7:4.1085696 8:-2.1510873 9:0.79961765 10:-3.4800625 11:1.8603392 12:-1.2385128 13:2.2769783 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:276.30508 2:-6.728792 3:6.1604447 4:-0.14253122 5:0.57150865 6:-1.2262233 7:4.057053 8:-1.2317271 9:2.1127675 10:-2.7882125 11:1.6911273 12:-1.5213308 13:1.7461482 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:277.36188 2:-6.8713136 3:7.33392 4:0.5601511 5:1.1869066 6:-1.3863497 7:3.8710124 8:-2.2242923 9:1.6486684 10:-2.4597208 11:2.1820004 12:-0.7255078 13:1.2844089 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:281.80228 2:-3.471289 3:9.793846 4:1.3738933 5:1.7579758 6:0.6795421 7:6.942042 8:-2.0078473 9:2.5032175 10:-3.502987 11:1.554314 12:-0.31306145 13:2.4751723 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:287.7846 2:-0.53078085 3:11.453678 4:1.2260741 5:2.4649625 6:0.11268649 7:6.5760913 8:-1.7351881 9:4.1964574 10:-2.7271872 11:4.17435 12:0.12796983 13:2.952336 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:284.2415 2:-2.4306772 3:10.602893 4:1.6819321 5:1.7965069 6:-0.87440765 7:5.44002 8:-1.2622179 9:1.863763 10:-4.8054433 11:3.8348916 12:0.74474716 13:3.6666975 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:289.7471 2:0.664976 3:11.785467 4:1.915385 5:4.096305 6:0.326627 7:8.58376 8:-0.4899487 9:2.135672 10:-4.903808 11:5.3884 12:-0.13211149 13:4.0749965 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:300.42087 2:-1.3895704 3:10.269762 4:4.076772 5:5.6467204 6:1.3403088 7:7.978473 8:-1.7582431 9:3.4184363 10:-3.7964427 11:3.7216198 12:0.30260453 13:5.4481487 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:299.4256 2:3.3316228 3:12.935214 4:1.5858573 5:6.832898 6:1.8201959 7:7.8874025 8:-0.49249256 9:3.268835 10:-5.4008684 11:7.6039867 12:1.1228576 13:5.744152 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:308.58322 2:6.7803717 3:13.968221 4:0.3527895 5:6.773945 6:-0.015071387 7:7.7097616 8:0.15489645 9:1.9714241 10:-5.216095 11:8.447807 12:-0.24483354 13:6.0320306 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
