1 1:283.094 2:1.5044188 3:7.852694 4:3.0361536 5:7.885416 6:-0.32726675 7:3.8581398 8:-4.080074 9:0.9284175 10:-1.7116104 11:4.460454 12:-3.1806 13:1.9245826 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:271.45578 2:-4.000096 3:4.2189045 4:0.5995234 5:3.9485123 6:-4.5139976 7:1.4026841 8:-1.3756378 9:2.9359822 10:-0.86059964 11:2.580024 12:-4.50225 13:2.4887235 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:276.42078 2:1.1279064 3:6.2212195 4:-1.283007 5:3.1592634 6:-4.782756 7:1.8178877 8:-2.0074372 9:1.697172 10:-2.4966345 11:1.5993574 12:-5.2017736 13:1.8806566 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:289.49966 2:6.6186004 3:11.731414 4:1.1289046 5:4.6796784 6:-3.185356 7:4.5655107 8:-2.6210039 9:1.7554884 10:-3.5960002 11:2.7670014 12:-4.4636993 13:2.1931257 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:290.75833 2:6.850302 3:14.315626 4:2.0232892 5:8.36385 6:-0.527392 7:6.9839473 8:-0.90903443 9:4.5720916 10:-0.65596914 11:5.0688887 12:-3.9205203 13:3.2066987 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:300.1881 2:10.470635 3:14.725363 4:3.4581578 5:9.98191 6:-0.61596084 7:5.7428417 8:-3.52673 9:5.4815974 10:-0.5196502 11:4.731394 12:-4.342634 13:4.524191 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:299.75198 2:11.203894 3:16.896767 4:3.8733363 5:10.014199 6:-1.9688691 7:6.37521 8:-3.2251973 9:4.914513 10:-0.62858415 11:7.1273932 12:-4.1286736 13:4.5824995 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:300.0415 2:12.632722 3:16.665634 4:3.0928423 5:10.418664 6:-2.2563882 7:6.96546 8:-2.5958805 9:4.8931046 10:-1.4848939 11:6.8477135 12:-4.9581485 13:4.079188 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:301.13007 2:13.490949 3:17.87838 4:1.694753 5:8.467281 6:-1.5014098 7:8.200591 8:-3.4146905 9:4.208197 10:-1.8059617 11:6.7788944 12:-3.3854988 13:4.8028374 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:309.7194 2:13.979323 3:14.779119 4:0.14837955 5:8.399936 6:0.6807503 7:8.221781 8:-3.4456463 9:3.124954 10:-2.591673 11:7.315735 12:-2.991508 13:6.9406075 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:311.28467 2:13.64153 3:13.518195 4:0.9959779 5:8.956999 6:-0.6758755 7:8.736968 8:-2.717493 9:3.304717 10:-3.5883157 11:7.3061194 12:-2.2295208 13:6.820288 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:313.66342 2:11.965827 3:14.685 4:0.47714612 5:9.815481 6:0.27835667 7:5.838709 8:-4.6761823 9:4.190503 10:-2.2875574 11:5.392606 12:-2.2360482 13:7.3428884 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:321.3595 2:15.713294 3:17.289291 4:1.1899263 5:10.784227 6:-1.6736914 7:3.1258495 8:-5.534059 9:2.8542805 10:-3.1598458 11:4.358845 12:-4.0803227 13:6.706003 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:325.5158 2:18.657225 3:19.125565 4:0.33299595 5:6.1341476 6:-1.5589403 7:1.3710929 8:-9.362536 9:3.172671 10:-4.5859137 11:5.309575 12:-3.0040603 13:6.5385427 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:326.75183 2:17.683836 3:17.748034 4:2.114304 5:6.439822 6:-3.4131398 7:1.1680905 8:-8.648466 9:4.062941 10:-4.3335333 11:5.2883897 12:-2.517173 13:5.0725784 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:330.42035 2:19.689594 3:18.057259 4:0.71663797 5:5.0823536 6:-2.52395 7:2.9231837 8:-8.776546 9:4.3971415 10:-4.310421 11:6.076202 12:-3.1977139 13:3.3968105 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:336.05276 2:20.309544 3:17.404852 4:-0.8055696 5:4.1171865 6:-2.417502 7:2.1686146 8:-8.246978 9:4.692134 10:-4.0811663 11:5.297608 12:-4.4444003 13:3.470346 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:340.28937 2:21.988504 3:17.1876 4:-2.3757217 5:1.3532879 6:-1.0846684 7:3.3598542 8:-6.087935 9:4.897376 10:-5.270663 11:5.218275 12:-6.558373 13:4.364999 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:340.36032 2:21.794945 3:15.347803 4:-3.8853266 5:3.8220258 6:1.3472608 7:3.2198205 8:-5.822081 9:5.4735165 10:-6.498473 11:4.1841903 12:-6.2679625 13:4.531759 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:343.59473 2:19.608618 3:16.510534 4:-3.070479 5:1.2567259 6:2.1960995 7:6.2340064 8:-5.7058845 9:4.239886 10:-8.27399 11:3.8641276 12:-5.1322985 13:2.8360965 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:341.53043 2:18.988333 3:17.598095 4:-3.3384671 5:1.1657388 6:3.4995272 7:6.9485636 8:-4.250656 9:2.944391 10:-9.188868 11:4.1404285 12:-6.0711594 13:3.400886 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:339.2537 2:20.748032 3:16.835361 4:-5.649804 5:1.5535837 6:4.642152 7:9.235345 8:-5.1996703 9:3.5553956 10:-9.40815 11:4.747991 12:-5.111286 13:2.6061018 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:337.9214 2:21.113785 3:16.525383 4:-5.342476 5:1.4207708 6:5.6012344 7:11.32133 8:-3.7866323 9:3.6274269 10:-9.471184 11:5.009703 12:-5.0801945 13:4.0569296 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:340.3159 2:20.907715 3:12.515786 4:-4.8764024 5:4.6982627 6:6.645145 7:13.755564 8:-4.219043 9:5.0478077 10:-8.565533 11:4.257098 12:-4.0763183 13:4.660648 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:336.4963 2:19.968437 3:13.632195 4:-4.981497 5:5.740164 6:7.038121 7:12.50925 8:-3.117077 9:6.104955 10:-8.110712 11:4.185819 12:-4.834022 13:5.7151594 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:329.3183 2:18.453817 3:15.783291 4:-3.5139065 5:6.7905087 6:2.6254098 7:12.774363 8:-0.57646 9:6.7339177 10:-4.4918127 11:4.1541133 12:-5.4536586 13:4.540304 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:322.22903 2:12.126784 3:17.486177 4:0.89114213 5:7.231573 6:1.5925493 7:10.896237 8:0.0030063782 9:7.6711874 10:-2.8079147 11:4.248929 12:-5.8257704 13:3.0901399 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:318.9189 2:4.121389 3:18.330803 4:2.5840068 5:5.7497315 6:4.3415365 7:9.087422 8:-0.45378754 9:6.147808 10:-2.0087051 11:4.176629 12:-4.484157 13:1.7348846 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
