2 1:267.39407 2:-11.930809 3:9.550109 4:-0.39643192 5:0.838577 6:-0.96298546 7:0.8308045 8:-2.6614668 9:-0.11963363 10:-3.9731407 11:0.16414955 12:-2.7895231 13:0.9751059 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:270.92395 2:-13.766814 3:9.773269 4:1.3320479 5:0.9589143 6:1.2921981 7:1.3848844 8:-1.8678864 9:0.18522057 10:-2.1452768 11:0.9419212 12:-2.5311675 13:0.60365564 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:271.48917 2:-14.213872 3:10.554002 4:2.6292765 5:2.1360402 6:-1.4760369 7:-1.7886853 8:-2.855636 9:1.6118103 10:-0.24661434 11:0.3162993 12:-2.4633653 13:0.7141509 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:270.95947 2:-15.299998 3:7.4286747 4:0.6923703 5:1.6823184 6:-0.8422242 7:0.30313513 8:-3.8724875 9:0.6438058 10:-0.6355203 11:-1.3952659 12:-2.36512 13:0.46608868 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:271.74158 2:-11.520096 3:8.450122 4:-0.3661471 5:1.9072691 6:-0.3874241 7:1.8767128 8:-3.3609242 9:1.3325968 10:-3.764334 11:-0.264922 12:-2.0489688 13:-1.7797272 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:273.68088 2:-12.150737 3:7.383875 4:-3.5976918 5:0.030485516 6:-0.08427803 7:3.0499184 8:-0.6992927 9:3.630978 10:-2.7750146 11:0.021445192 12:-0.25218514 13:1.8643509 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:281.70273 2:-3.9366717 3:7.827094 4:-1.5068022 5:3.5107524 6:-1.2782384 7:1.9780487 8:-1.0374364 9:1.8304912 10:-2.175979 11:3.855479 12:0.04058279 13:3.7356622 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:272.75314 2:-4.724082 3:7.7907906 4:-2.6819828 5:1.052928 6:-3.333775 7:3.7332869 8:0.8789412 9:2.8062782 10:-1.0985223 11:1.69935 12:-3.085428 13:0.555455 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:275.00296 2:-1.6474959 3:8.826297 4:-3.1981592 5:2.1078606 6:-0.4264949 7:3.164252 8:-1.0367875 9:0.05403994 10:-3.12905 11:0.20631243 12:-3.4400775 13:3.657233 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:272.9893 2:-2.9206014 3:8.262948 4:-2.5224338 5:2.2361627 6:-0.26281083 7:4.1898103 8:1.2722832 9:3.197977 10:-1.526941 11:1.2316451 12:-3.4241648 13:3.4591432 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
