2 1:271.86462 2:-8.619023 3:5.429334 4:-0.17830051 5:0.9982731 6:-2.4962196 7:3.4337575 8:3.6298046 9:1.6620686 10:1.0410653 11:4.219483 12:-3.2774043 13:3.3369138 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:265.3695 2:-7.6036053 3:3.930743 4:2.101441 5:3.0491343 6:-5.59621 7:1.8376782 8:-0.44007424 9:2.5405316 10:0.72559637 11:3.055486 12:-3.3605413 13:2.5219457 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:263.90155 2:-9.044773 3:3.037299 4:2.0058405 5:3.9356124 6:-4.89318 7:2.849412 8:-0.6187095 9:2.4800832 10:0.08500638 11:3.3052511 12:-4.2934184 13:2.061345 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:261.51807 2:-10.73245 3:2.6641948 4:2.022049 5:3.9816508 6:-4.8285146 7:3.0367897 8:-0.6125649 9:1.4955226 10:0.07652846 11:3.6545146 12:-3.4152997 13:1.6913724 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:260.1363 2:-10.633043 3:1.6557736 4:1.7447672 5:4.7208776 6:-3.3215659 7:4.428289 8:-1.0295703 9:1.8144474 10:1.5519012 11:4.2318053 12:-3.922357 13:1.6803424 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:260.78638 2:-11.313515 3:3.8899834 4:2.8005173 5:4.64921 6:-4.579921 7:2.3699465 8:-2.0078294 9:1.0035285 10:0.5160379 11:4.4535475 12:-3.157158 13:1.1449362 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:271.5074 2:-5.0002046 3:9.565727 4:5.519798 5:8.044136 6:-1.7936802 7:5.846974 8:0.24889924 9:4.424707 10:1.6082399 11:4.2932014 12:-4.813283 13:3.296869 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:293.17545 2:7.215138 3:14.9978 4:2.4655259 5:9.30559 6:-1.6530961 7:6.0389867 8:-3.1196523 9:5.199263 10:1.4892457 11:6.703825 12:-4.2632966 13:3.9007678 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:306.38477 2:14.317909 3:10.130585 4:-3.9217913 5:8.908099 6:-0.6686307 7:7.4722376 8:-3.922045 9:5.620229 10:1.601924 11:9.25298 12:-4.105375 13:3.7466812 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:317.65094 2:18.85788 3:9.059746 4:-6.6809883 5:8.571076 6:-0.8774658 7:6.2021737 8:-4.953377 9:6.943985 10:1.224007 11:9.280396 12:-4.007098 13:4.5812993 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:319.85123 2:17.99233 3:8.781562 4:-7.757235 5:5.954744 6:0.45442703 7:5.8250203 8:-4.859375 9:5.446542 10:-0.19620141 11:9.701323 12:-4.085719 13:4.7249737 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
