2 1:263.3078 2:-7.7432604 3:4.7072444 4:1.0544327 5:0.389997 6:-5.8790646 7:3.2370296 8:-1.0183405 9:3.5410912 10:1.4837066 11:3.107816 12:-3.6146903 13:1.5400865 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:264.05548 2:-7.267965 3:4.311245 4:-1.1762227 5:-1.4029732 6:-7.458011 7:2.8942525 8:-0.9364607 9:2.553288 10:1.2105107 11:3.9049425 12:-4.1107974 13:0.6793432 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:267.98572 2:-6.0035763 3:7.431273 4:2.6557338 5:1.7899767 6:-5.8783026 7:3.7564461 8:-2.4258094 9:1.2829529 10:-1.0720328 11:1.0855861 12:-4.455919 13:0.54956335 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:273.4148 2:-8.393542 3:5.2396173 4:-0.24006307 5:-1.8095857 6:-3.9043858 7:5.1821804 8:-0.29257032 9:2.257621 10:-2.4977229 11:0.8139265 12:-2.21761 13:1.1434051 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:276.10562 2:-11.876944 3:4.101291 4:-1.82649 5:-4.319172 6:-5.8079677 7:2.9300644 8:-2.3904395 9:-0.3902318 10:-3.1650867 11:0.42847553 12:0.08826849 13:2.106733 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:273.58994 2:-10.276892 3:4.15233 4:0.18740337 5:-1.4029968 6:-4.383753 7:3.1134906 8:-1.507722 9:2.5267246 10:-0.77930087 11:2.3657591 12:-0.8105971 13:1.8751769 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:280.08704 2:-3.789986 3:7.464171 4:0.42737597 5:1.2334919 6:-3.8955007 7:3.4844491 8:-2.4089842 9:1.5320599 10:-0.95546985 11:3.0477915 12:-1.3991584 13:2.8782325 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:274.4199 2:-3.8927295 3:8.737069 4:2.233832 5:-0.054345276 6:-5.840331 7:4.343649 8:-1.0323861 9:2.758948 10:-0.96153235 11:3.2206407 12:-2.5998724 13:3.0020888 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:268.8132 2:-6.0021753 3:6.827606 4:0.7225935 5:0.8886867 6:-5.941834 7:2.5903387 8:-2.2213624 9:2.4203322 10:1.5357538 11:3.8532467 12:-2.9283845 13:2.590047 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:284.736 2:3.41595 3:11.161731 4:0.17479222 5:-0.43614686 6:-8.751906 7:1.9378705 8:-2.8175797 9:4.4223447 10:-0.41477013 11:3.600614 12:-4.0581865 13:1.7485856 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:272.35077 2:-4.1072173 3:8.571765 4:1.4042315 5:0.9355052 6:-7.301165 7:2.4870925 8:-1.7178409 9:2.8708112 10:1.2413026 11:5.1616983 12:-2.4836183 13:1.7277598 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:267.99747 2:-6.6231346 3:7.954917 4:1.6291358 5:2.2667186 6:-4.7346134 7:3.272265 8:-0.2286414 9:2.3384368 10:1.112296 11:4.9412155 12:-2.4892666 13:2.7472103 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:273.03528 2:-4.4494634 3:6.948662 4:1.5315962 5:2.1183143 6:-7.499342 7:2.1754816 8:-0.79066765 9:3.3821592 10:0.13738388 11:5.341511 12:-1.0880477 13:2.2075436 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:271.65747 2:-3.7552125 3:7.479574 4:2.0749717 5:1.6346036 6:-9.306677 7:0.9028495 8:-1.3224714 9:2.6990712 10:0.27560642 11:4.645427 12:-1.4398925 13:2.5579698 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:268.79913 2:-6.2958403 3:7.366091 4:3.6426332 5:2.1227384 6:-7.983692 7:1.4950935 8:-0.8452987 9:4.6371465 10:1.838532 11:4.5296516 12:-2.4139075 13:3.2663553 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:267.90942 2:-7.681665 3:7.286723 4:3.77473 5:2.7079012 6:-6.46824 7:2.2728415 8:-0.75137234 9:3.0909643 10:0.38683185 11:2.342385 12:-4.400833 13:1.9571197 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:323.456 2:-34.887993 3:2.7658296 4:5.949839 5:-1.9794574 6:-3.3489633 7:2.6607976 8:-3.5529861 9:0.28251195 10:0.5323918 11:2.0924652 12:0.4004425 13:1.9064814 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:295.48895 2:-22.764854 3:9.073192 4:7.669027 5:-1.8066919 6:-3.74859 7:3.6033006 8:-1.6628226 9:2.7627223 10:1.5138499 11:1.8153603 12:-0.7426767 13:0.93121284 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:272.60226 2:-7.432581 3:8.29295 4:4.8176727 5:1.0946541 6:-5.794186 7:2.6485004 8:-1.3591263 9:4.421557 10:1.289941 11:4.3445435 12:-1.7026507 13:2.4040904 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:270.22455 2:-6.9834776 3:7.0168777 4:4.3612723 5:1.5745881 6:-4.7133555 7:3.6855485 8:-1.151342 9:4.272398 10:1.0552576 11:4.7143993 12:-0.9773452 13:2.7421606 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:268.67874 2:-7.2894163 3:7.4854045 4:3.902049 5:3.1002257 6:-3.4142323 7:3.46153 8:-0.52457106 9:3.428402 10:0.88459826 11:3.3380592 12:-0.50237626 13:3.081819 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:269.75952 2:-6.791395 3:8.518327 4:2.2861853 5:1.3616986 6:-5.3023224 7:2.4811046 8:-0.19772342 9:3.6908674 10:1.4178846 11:3.548003 12:-1.519707 13:3.145889 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
