2 1:258.89984 2:-10.811221 3:5.1212773 4:0.49385375 5:2.3206317 6:-4.598797 7:1.1430936 8:-0.64449406 9:1.872632 10:0.8000415 11:1.9161825 12:-3.7992318 13:1.3383331 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:260.87585 2:-11.157322 3:4.053692 4:-0.122498415 5:1.5703583 6:-3.2771168 7:3.4646254 8:1.9723178 9:3.0335839 10:1.1764829 11:2.647903 12:-2.9144745 13:2.608233 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:257.05698 2:-10.470009 3:5.6652803 4:1.6618484 5:1.5760504 6:-3.205878 7:2.6779559 8:-0.35145566 9:2.8051245 10:-0.3084086 11:2.5645804 12:-2.234753 13:3.7667964 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:257.48865 2:-10.560833 3:5.296145 4:1.1682637 5:1.7288688 6:-3.2896025 7:2.9242303 8:-1.4513414 9:2.9709063 10:1.3518276 11:3.0053096 12:-3.3704863 13:2.5892608 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:257.92047 2:-11.86079 3:3.4340892 4:0.74992955 5:3.453807 6:-3.748222 7:2.991368 8:-0.2790924 9:2.860925 10:0.71679 11:1.6573164 12:-3.3249476 13:1.4322475 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:257.13846 2:-11.903441 3:5.1151667 4:1.6185327 5:2.7750142 6:-3.3823998 7:1.6005434 8:-0.5492251 9:1.9082212 10:-0.714081 11:2.7485306 12:-2.5787315 13:1.4307736 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:255.01346 2:-12.5569 3:2.9200215 4:0.039625168 5:1.6483892 6:-5.20272 7:0.5001001 8:-1.125399 9:2.2987542 10:0.11568217 11:1.739252 12:-3.302235 13:1.1922398 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:254.29124 2:-13.951034 3:3.2240484 4:1.1654769 5:2.5128305 6:-3.649532 7:1.5408387 8:-0.9614827 9:0.6305629 10:-0.8921064 11:2.4869494 12:-2.120008 13:2.338195 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:256.33096 2:-12.157572 3:3.502429 4:0.6596246 5:1.0226728 6:-7.0224314 7:-0.54258734 8:-1.7683047 9:0.80667454 10:-1.1192374 11:0.6512007 12:-3.9192195 13:2.7817502 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:255.50136 2:-12.695246 3:4.032978 4:1.5993394 5:1.5505575 6:-5.8764267 7:0.44032714 8:-1.3624308 9:1.1745337 10:0.9012301 11:1.9824414 12:-3.8731086 13:1.2885853 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:257.79517 2:-13.155563 3:4.8882627 4:2.3291183 5:2.6482995 6:-2.7277653 7:1.8332158 8:-0.8012869 9:1.923043 10:1.12141 11:2.6063197 12:-2.2640002 13:2.321599 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:260.58096 2:-10.939657 3:4.1311436 4:2.4344764 5:4.9572625 6:-0.4515519 7:4.3412185 8:-0.8889101 9:0.46432382 10:-1.3210812 11:1.5802991 12:-2.9853408 13:1.7706134 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:258.30505 2:-11.883678 3:4.7657304 4:3.7040758 5:4.962982 6:-2.4477742 7:4.609583 8:0.01975565 9:1.9069645 10:0.21744463 11:2.955275 12:-2.7442648 13:1.5791177 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:259.80786 2:-10.23146 3:4.7567244 4:1.5615858 5:3.653075 6:-2.8726246 7:4.080894 8:0.29624465 9:1.9117672 10:0.98416114 11:3.8291075 12:-2.3313713 13:2.8773334 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:256.3242 2:-11.216458 3:6.013554 4:2.4746509 5:3.5388849 6:-1.6299534 7:2.9360569 8:-1.1641309 9:1.0180447 10:0.19681418 11:2.2333808 12:-4.1019855 13:-0.09073944 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:256.4926 2:-10.719315 3:4.579903 4:1.8915682 5:3.2165627 6:-2.850426 7:1.4145509 8:-1.7774988 9:1.2660478 10:-0.35642457 11:2.7240498 12:-2.612893 13:1.7882715 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:257.5977 2:-11.159263 3:4.2949953 4:3.224684 5:3.7842088 6:-4.231098 7:0.9403177 8:-1.7228811 9:1.6459137 10:-0.81022304 11:1.683255 12:-2.757786 13:3.083248 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:258.46994 2:-11.808463 3:3.5637996 4:3.338322 5:3.9381874 6:-4.2461324 7:2.187498 8:-1.282178 9:1.6532382 10:-0.12123434 11:3.049799 12:-2.851314 13:2.873258 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:256.8059 2:-11.820792 3:3.4192748 4:2.4570177 5:2.7418985 6:-4.470748 7:1.1711544 8:-1.8110325 9:1.3048927 10:0.4472694 11:2.568954 12:-3.058219 13:2.202254 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:260.25006 2:-9.187453 3:7.3815866 4:4.989805 5:3.054043 6:-4.6907396 7:1.1267579 8:-1.9085753 9:2.1252625 10:-0.5047133 11:2.4422271 12:-2.7659817 13:3.0768485 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:259.0054 2:-11.34541 3:5.1767106 4:3.3153157 5:3.6017995 6:-4.305633 7:3.0684147 8:-0.8512812 9:1.1682866 10:0.4287916 11:3.673991 12:-2.7417402 13:2.446705 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:258.4926 2:-11.9857435 3:4.5892415 4:2.1700318 5:2.8762069 6:-4.726902 7:3.549698 8:-0.44869506 9:1.0819179 10:-0.1653134 11:2.3650725 12:-2.6534078 13:2.3377948 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
