1 1:271.62936 2:-11.571568 3:15.590588 4:-4.335234 5:0.63593936 6:-2.1195774 7:0.6100795 8:0.25242618 9:0.82257676 10:-0.18747258 11:1.925272 12:-1.107835 13:0.43564418 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:272.48248 2:-9.325158 3:14.739513 4:-4.336446 5:1.6298932 6:-0.5257469 7:2.1795492 8:-0.978677 9:-1.2091786 10:-2.9745743 11:0.15796526 12:-1.2103769 13:0.44913203 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:271.53833 2:-1.689003 3:8.047328 4:-3.9316378 5:2.513773 6:-2.5704832 7:1.4268473 8:-2.6792014 9:1.6340275 10:-3.3560526 11:1.8819139 12:-1.4779625 13:2.181984 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:261.10336 2:-2.6669888 3:10.483446 4:-2.1514342 5:0.632749 6:-1.5653219 7:3.7298632 8:-0.6064755 9:3.3185754 10:-1.5033715 11:2.1992843 12:-1.4785026 13:2.8166113 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:260.32822 2:-5.2195764 3:7.4799576 4:-2.5036583 5:2.494415 6:0.1439478 7:2.9862785 8:-1.3163846 9:2.3189297 10:-2.4212394 11:2.6918159 12:-1.8220642 13:1.8031609 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:261.2188 2:-4.20912 3:9.773954 4:-1.343368 5:1.3312043 6:-1.5517424 7:1.1824231 8:-2.9893556 9:1.5039288 10:-2.2019978 11:3.0597882 12:-1.2796966 13:2.9590487 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:268.0082 2:-3.0392926 3:6.5352297 4:-4.247698 5:2.0638301 6:-1.2246622 7:2.7182794 8:-0.53972846 9:5.0931144 10:-1.2189674 11:0.42965862 12:-2.808733 13:2.894778 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:262.32626 2:-3.7428694 3:9.564206 4:-0.46014127 5:2.5920808 6:-0.74141914 7:3.3543546 8:0.36215314 9:4.012278 10:-2.388574 11:0.50130963 12:-2.7872972 13:2.1922562 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:258.869 2:-4.6179523 3:11.471442 4:-1.4250236 5:2.7758584 6:-1.0167916 7:1.6887375 8:0.36576337 9:4.4996448 10:0.04745616 11:3.0891328 12:0.20173602 13:2.1088624 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:280.47305 2:-19.908823 3:14.466149 4:4.2607265 5:-3.4485223 6:0.6336519 7:2.850269 8:0.3755603 9:3.9362533 10:-0.4153296 11:3.1001756 12:-1.4255902 13:2.0026593 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:286.35474 2:-22.77635 3:13.718548 4:4.5495296 5:-3.3073921 6:1.5775924 7:3.7474244 8:0.049625948 9:2.1623166 10:-1.8192087 11:2.42566 12:-1.7268701 13:1.6418246 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:259.57703 2:-6.5616794 3:8.815583 4:-1.6351669 5:0.31225663 6:-2.147464 7:1.5071598 8:-1.1910034 9:2.4720063 10:-2.6380937 11:2.3355622 12:-0.5554359 13:1.5459603 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:257.0217 2:-7.1809473 3:10.494401 4:1.2334677 5:1.2154801 6:-1.9550648 7:1.6311928 8:-1.0416753 9:3.0886772 10:0.20629336 11:2.3121564 12:-0.9332617 13:3.3184814 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:262.87665 2:-10.787366 3:12.993944 4:-1.0029067 5:3.1171763 6:-2.047405 7:2.8581274 8:-0.571437 9:2.3733966 10:-0.811159 11:0.71014315 12:-0.41392112 13:0.5748893 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
