1 1:256.98737 2:-11.5949 3:6.513878 4:0.81303144 5:3.4323962 6:-1.8272595 7:-0.12768637 8:-2.1883464 9:-0.120631956 10:-2.5495229 11:2.465375 12:-2.2500644 13:2.772969 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:257.15277 2:-10.853341 3:6.422673 4:1.40532 5:2.9233875 6:-4.1649494 7:-0.39087558 8:-1.5763355 9:1.5849433 10:-1.4650474 11:2.92157 12:-1.5482109 13:1.5651857 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:261.33044 2:-9.769227 3:6.271669 4:0.09047398 5:2.6053596 6:-4.9064217 7:-0.8174944 8:-2.29507 9:0.7287663 10:-1.2199737 11:2.859256 12:-1.8146262 13:1.5048901 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:263.8477 2:-8.020699 3:7.171515 4:1.2204341 5:3.931147 6:-3.2841804 7:1.0013477 8:-2.8397927 9:-0.24450588 10:-1.5288694 11:4.9233994 12:-1.7225851 13:1.651905 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:262.11707 2:-9.425973 3:7.553611 4:1.4394462 5:2.5199265 6:-2.8886123 7:2.5941663 8:-1.0937445 9:0.33366656 10:-1.5962094 11:3.0293381 12:-1.900495 13:0.69988817 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:262.81778 2:-11.030082 3:6.495725 4:1.1944664 5:2.859343 6:-5.2820115 7:-0.34364113 8:-3.096729 9:-1.1113287 10:-2.4084272 11:2.1855035 12:-2.9649181 13:1.2594432 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:276.65695 2:-4.8112526 3:9.751845 4:0.4916358 5:2.2112918 6:-3.6076078 7:1.5538429 8:-0.4784951 9:1.0513017 10:-2.2545104 11:3.660959 12:-1.3431232 13:2.3884618 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:276.8302 2:-4.7240295 3:12.419983 4:2.0503528 5:3.4596503 6:-3.508033 7:2.9757864 8:-1.2537377 9:0.6953354 10:-2.5824006 11:3.867182 12:-1.4231979 13:1.4469255 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:299.18558 2:3.0285203 3:14.658358 4:2.2115908 5:6.517834 6:-5.501793 7:1.4897174 8:-1.835033 9:2.940717 10:-2.8656487 11:6.398737 12:0.89189965 13:5.1241913 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:311.00742 2:5.8205953 3:13.508188 4:0.5033854 5:8.056532 6:-4.527156 7:2.1139984 8:-0.5160039 9:4.0998936 10:-4.807678 11:6.6412635 12:1.9089601 13:5.837644 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
