2 1:286.0906 2:-5.8227243 3:6.1791477 4:-1.1723368 5:2.885239 6:-0.7986843 7:1.6485437 8:-4.548337 9:-0.56291896 10:-3.2368662 11:1.6468632 12:-3.2746074 13:0.20352584 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:284.14673 2:-5.00244 3:7.0858707 4:-1.2671456 5:2.032194 6:-0.55365115 7:2.2916846 8:-2.9735603 9:0.9766943 10:-3.0225368 11:0.635708 12:-3.0997639 13:0.6815128 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:303.8538 2:10.29443 3:17.411322 4:-1.2299718 5:1.7752358 6:-4.001474 7:2.2055352 8:-3.9684918 9:2.2562177 10:-2.1270165 11:2.9731755 12:-3.580385 13:1.7774245 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:314.03525 2:16.188623 3:21.832804 4:-0.8029392 5:2.1305463 6:-4.507651 7:5.7414503 8:-4.7610536 9:2.8364573 10:-2.2045934 11:4.243988 12:-2.9634466 13:1.2389147 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:277.57874 2:-6.4350553 3:8.178181 4:1.2783123 5:3.889427 6:-2.8400762 7:2.3653169 8:-1.4445585 9:1.4357667 10:-2.053358 11:1.2900891 12:-1.8660485 13:1.3715181 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:272.67072 2:-7.7436037 3:6.331714 4:-1.5377078 5:-0.26262635 6:-1.6585647 7:4.029893 8:-0.3118981 9:1.7087075 10:-3.7510798 11:-0.04330361 12:-3.0261133 13:1.9754738 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:283.42032 2:-5.1723657 3:8.114278 4:-0.12150551 5:2.2027538 6:-0.7797388 7:2.2079716 8:-1.5091044 9:0.2949098 10:-3.8816273 11:0.32365036 12:-2.1029146 13:3.3933015 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:277.63184 2:-9.75558 3:6.6654663 4:1.4447887 5:2.764525 6:-0.1772102 7:2.6726391 8:-0.9928142 9:0.314434 10:-3.4238863 11:1.1563993 12:-2.5083983 13:1.3026004 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:272.91107 2:-9.428317 3:5.1343727 4:-0.9681262 5:1.2622765 6:-0.47905615 7:3.3948631 8:-1.5820849 9:1.1393455 10:-4.279852 11:1.3278786 12:-1.4496598 13:3.1796916 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:270.5408 2:-8.947935 3:5.6400537 4:-0.33806276 5:0.9726219 6:-1.2984623 7:3.2852902 8:0.45174974 9:2.565131 10:-2.9182703 11:0.9861151 12:-3.1296897 13:2.0117486 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
