1 1:291.81653 2:-4.0118923 3:9.623838 4:1.6572831 5:3.1620927 6:-3.3164024 7:2.9774785 8:-0.7665023 9:2.3946967 10:-0.9255608 11:2.7691455 12:-1.9961649 13:1.8982844 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:294.04288 2:-8.613112 3:7.127612 4:0.92287153 5:4.167259 6:-1.9402677 7:3.5941558 8:-1.7199532 9:0.15046662 10:-2.1470916 11:1.524419 12:-3.6346257 13:0.40999585 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:299.36472 2:-11.744901 3:6.4531493 4:0.9422529 5:5.028535 6:-1.0921232 7:1.9676193 8:-3.7538674 9:-0.614573 10:-3.0393863 11:-0.30708224 12:-1.606185 13:0.79084766 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:309.41428 2:-10.568443 3:6.7109294 4:0.20776708 5:3.683005 6:-1.4556841 7:0.4097896 8:-3.230793 9:1.8537294 10:-1.2744557 11:1.0404499 12:-0.9674613 13:2.276747 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:317.44095 2:-13.201159 3:5.921222 4:-0.22723845 5:2.885317 6:-1.0981007 7:2.3882332 8:-1.2692415 9:1.7283176 10:-0.94593036 11:2.6904886 12:-0.3695114 13:1.4948784 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:325.55856 2:-14.204381 3:3.6630373 4:-3.2920098 5:0.52970976 6:-0.940627 7:1.4055277 8:-1.8764406 9:-0.14304318 10:-2.5667863 11:2.1672773 12:-0.7882702 13:1.9616656 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:325.7506 2:-9.212965 3:5.373985 4:-1.8880465 5:2.4143183 6:-1.3752218 7:0.6411242 8:-1.1658646 9:2.0276086 10:-1.0841572 11:2.4313161 12:-1.365572 13:2.7379231 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:276.51678 2:-9.59082 3:6.3097825 4:0.08602861 5:0.5773757 6:-3.3831952 7:1.3558866 8:-1.4917777 9:1.4686633 10:-1.7816645 11:2.5245445 12:-0.9179396 13:3.100206 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:266.6036 2:-10.796709 3:6.863108 4:2.2600274 5:4.6320357 6:-2.4037037 7:1.9540269 8:-1.215664 9:-0.121824875 10:-2.156776 11:2.4851034 12:-2.4279792 13:1.0560732 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:269.41232 2:-8.503191 3:6.9873457 4:2.2206936 5:3.822371 6:-1.0052967 7:1.7435522 8:-3.044017 9:0.19079708 10:-3.2081282 11:1.8285372 12:-2.7307599 13:1.9502586 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:270.29785 2:-6.119903 3:8.733624 4:2.5966105 5:4.404521 6:-2.7481532 7:1.4641521 8:-2.136676 9:0.09342192 10:-4.4488807 11:0.5357207 12:-4.243523 13:0.9424299 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:275.788 2:-4.1132884 3:8.258343 4:0.34174696 5:3.8366537 6:-1.236376 7:3.4555378 8:-2.0823135 9:0.39451742 10:-2.698845 11:2.3714669 12:-4.0633936 13:-0.33035433 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:277.64508 2:-3.9024472 3:8.064504 4:0.96478736 5:4.580063 6:-0.8928948 7:2.5744717 8:-2.7428606 9:0.4705681 10:-3.5070329 11:3.104016 12:-4.554635 13:-0.49108052 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:278.53934 2:-2.1661856 3:8.741319 4:2.0902185 5:5.5170813 6:-1.08696 7:1.6087748 8:-2.800213 9:1.693212 10:-2.1277423 11:2.4333944 12:-4.6850123 13:0.9161035 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:279.84518 2:-0.1446406 3:9.627345 4:1.3433115 5:6.454781 6:0.2357261 7:3.919277 8:-2.4189441 9:0.46075603 10:-3.4036472 11:1.8154302 12:-5.4360948 13:-0.5052177 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:280.24332 2:-0.74216235 3:9.457017 4:2.8111675 5:5.5058365 6:-1.7970155 7:1.4156187 8:-4.46025 9:0.44956142 10:-2.2465954 11:4.0075393 12:-2.27323 13:1.4923315 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:280.34305 2:-1.6411972 3:9.219009 4:3.591744 5:6.629579 6:-1.374161 7:2.528871 8:-1.6007973 9:0.9945082 10:-3.848314 11:4.145078 12:-2.557288 13:0.7347696 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
