2 1:301.0047 2:-8.740188 3:4.8956847 4:4.91257 5:2.448713 6:-2.6683583 7:7.2549357 8:-2.1893876 9:-0.96257704 10:-1.9506204 11:2.4723437 12:-1.4468895 13:2.537093 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:305.00653 2:-6.411146 3:7.979208 4:1.002961 5:0.5177153 6:-3.1088495 7:3.3693626 8:-2.1711884 9:2.793332 10:-2.5046384 11:0.12098841 12:-0.9179862 13:1.4204675 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:306.65378 2:-7.885881 3:6.080836 4:-1.8780272 5:-2.4057615 6:-3.1288455 7:3.810251 8:-2.2838516 9:2.2830653 10:-2.2804928 11:0.13752091 12:-2.284763 13:-0.7424395 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:303.0274 2:-5.6392975 3:6.387647 4:-1.3872266 5:-1.2605999 6:-1.633869 7:4.9451513 8:-1.5672725 9:0.9759195 10:-3.6671546 11:-0.30895177 12:-2.1936877 13:-1.3394029 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:299.80658 2:-7.3217053 3:5.543149 4:-0.6256932 5:-0.77965444 6:-1.5098191 7:5.580674 8:-0.83660823 9:0.7970419 10:-4.085565 11:0.2786396 12:-1.1094955 13:0.627236 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:298.2401 2:-5.8313026 3:4.373997 4:-3.3637164 5:-0.97189003 6:-2.2177029 7:4.676835 8:-2.520097 9:0.8507164 10:-4.002091 11:-1.8303264 12:-1.8101622 13:-1.132265 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:298.028 2:-6.384077 3:1.491832 4:-3.9463532 5:0.19418584 6:-0.5207521 7:5.4922867 8:-1.2609005 9:1.7268183 10:-2.4998834 11:0.35846826 12:-1.2102774 13:0.7205552 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:298.10068 2:-4.0720572 3:2.4415326 4:-2.567256 5:0.24541111 6:-3.3766415 7:3.3445919 8:-3.5251248 9:1.0229987 10:-2.3994782 11:-0.1899741 12:-1.3499268 13:1.5727776 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:289.563 2:-4.822967 3:0.99677634 4:-3.7956507 5:0.90703464 6:-1.6377035 7:5.674892 8:-1.0905678 9:1.4174266 10:-3.3031166 11:0.54363835 12:-1.7070411 13:1.5401188 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:306.79602 2:-9.022729 3:3.096354 4:2.222328 5:-2.190574 6:0.83097583 7:7.6241183 8:-2.4585955 9:2.2875419 10:-5.2406807 11:-1.712023 12:-2.2487733 13:1.1064945 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:300.40225 2:-3.6862853 3:3.871735 4:-2.54 5:-1.7345785 6:0.25999907 7:7.980719 8:-2.4580626 9:3.4286883 10:-3.111604 11:-1.2010348 12:-2.176105 13:0.8182385 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:288.52365 2:-1.9039207 3:3.2857404 4:-5.742468 5:-0.2541703 6:-0.6224076 7:4.928353 8:-2.4237823 9:2.194959 10:-2.9180293 11:1.1835747 12:-1.0044049 13:3.2108784 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:287.01324 2:-1.265488 3:5.1342573 4:-4.6649537 5:0.34091756 6:-1.4974939 7:5.540163 8:-0.40156734 9:3.063205 10:-3.003958 11:-0.240621 12:-3.0036223 13:1.576417 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:296.5284 2:-4.9966617 3:7.067072 4:0.68544006 5:-0.16113284 6:-0.26765624 7:6.9173 8:-1.4328568 9:1.392583 10:-1.4664149 11:0.10193824 12:-1.9955301 13:1.4173311 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:302.75937 2:-12.657153 3:3.280896 4:1.3022217 5:-4.2525487 6:-2.7941744 7:7.1136646 8:-2.9316738 9:0.19972104 10:-3.231338 11:-0.4069783 12:-0.1276796 13:0.59561837 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:306.03076 2:-10.409647 3:6.651653 4:1.8635117 5:-2.1681774 6:-1.0277313 7:6.673604 8:-3.316851 9:1.7786052 10:-1.1834803 11:0.12631348 12:0.090518996 13:-0.6162603 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:297.57275 2:-6.7289534 3:10.7373 4:1.8810301 5:-2.3916032 6:-0.85614324 7:6.416208 8:-1.5604917 9:2.1451745 10:-1.5422287 11:0.36873177 12:-1.5906162 13:0.6293039 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:290.56262 2:-7.306837 3:8.119191 4:-0.46498546 5:-2.5621884 6:-2.8257225 7:2.7044363 8:-1.7390717 9:2.946152 10:-0.050370388 11:1.0199574 12:-1.0667555 13:2.3645558 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:283.98868 2:-8.258298 3:8.214079 4:0.28725848 5:-0.25149417 6:-2.483693 7:1.9418607 8:-1.7185513 9:1.8375435 10:-2.1756427 11:0.686094 12:-1.3299868 13:2.7375607 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:280.19077 2:-13.139813 3:3.3303633 4:-0.22064401 5:-0.633338 6:-4.43002 7:1.341163 8:-1.0548949 9:2.3453457 10:-0.5690454 11:2.712825 12:-0.36964014 13:3.2028303 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:284.65997 2:-7.441508 3:7.249462 4:3.1653898 5:2.4338834 6:-2.8411858 7:3.0674014 8:-0.8272018 9:4.3840437 10:-1.108372 11:3.223085 12:-0.9433209 13:2.2280777 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:282.53702 2:-9.745298 3:4.840709 4:-0.6080227 5:-2.3244047 6:-3.8739853 7:2.9163585 8:-1.1902727 9:3.2801645 10:-0.3484999 11:2.2307222 12:-0.66996855 13:1.791793 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:279.4817 2:-11.601855 3:4.796423 4:1.1744133 5:-1.2310634 6:-4.944841 7:1.9581707 8:-0.76848966 9:2.4381068 10:-0.923902 11:1.696595 12:-1.0440533 13:2.0266194 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:281.67862 2:-11.488374 3:5.729704 4:1.2333362 5:-1.4609029 6:-3.9717445 7:2.8277733 8:-0.6054473 9:0.38520327 10:-2.4689415 11:3.1293406 12:-1.3928461 13:1.3662963 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:298.13168 2:-9.061181 3:13.080661 4:5.301698 5:2.3401148 6:-0.5856632 7:4.903182 8:2.5536034 9:3.502472 10:-3.4536529 11:4.7952533 12:1.0379356 13:2.1633363 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:320.8893 2:2.8520944 3:11.793014 4:0.7571458 5:6.3976936 6:1.7246982 7:7.2213135 8:-1.1803344 9:2.359895 10:-4.0345182 11:6.43064 12:-0.33249944 13:5.8631654 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:317.95148 2:0.9955013 3:14.136394 4:0.5431301 5:6.6201477 6:3.1005933 7:7.5140724 8:-0.8749868 9:2.6785872 10:-2.1496608 11:5.2821884 12:-0.24602738 13:7.299396 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:325.00098 2:1.1032549 3:15.54099 4:3.9157805 5:7.1492543 6:0.31545183 7:4.0217037 8:-0.23942533 9:2.7464578 10:-1.6796412 11:7.5000596 12:-2.0582972 13:6.8881035 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:328.0672 2:1.8257586 3:17.301203 4:1.8584157 5:6.7323 6:0.5926979 7:3.8053088 8:1.1574721 9:2.5439217 10:-2.4214904 11:7.85464 12:-1.6387634 13:6.3820806 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
