2 1:301.02673 2:-0.9266117 3:10.621339 4:-1.5331907 5:-1.4720948 6:-2.1442957 7:4.1399193 8:-1.2642174 9:2.782495 10:-1.6654823 11:1.8110852 12:-0.54329836 13:1.8604065 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:299.29636 2:1.6512568 3:10.226038 4:-4.4547048 5:-3.483395 6:-4.0465474 7:4.2727175 8:0.08192002 9:2.1698077 10:-4.436447 11:1.3827757 12:-2.110494 13:1.8304372 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:300.9063 2:4.127858 3:10.099695 4:-5.6505504 5:-2.6357722 6:-2.4258668 7:6.419783 8:1.1952955 9:1.4412951 10:-4.4894767 11:0.822737 12:-2.507508 13:3.78314 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:297.34903 2:2.7295961 3:10.2586155 4:-5.956464 5:-2.7304568 6:-3.5981314 7:4.47443 8:0.21874388 9:1.2763022 10:-3.849841 11:-0.23222025 12:-3.0457833 13:3.0780704 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:294.2237 2:4.3087277 3:12.902015 4:-2.8734283 5:0.84404016 6:-0.06416768 7:5.741254 8:0.7577742 9:1.8122883 10:-4.385376 11:0.80821097 12:-3.387325 13:1.8522652 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:293.924 2:4.436418 3:12.551778 4:-3.5456922 5:0.56021285 6:-0.77791256 7:5.0697417 8:-0.6730757 9:1.820759 10:-3.20266 11:1.3794053 12:-3.6218927 13:1.0042865 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:318.04517 2:15.897601 3:19.191448 4:-4.1959047 5:1.9391313 6:-4.4300833 7:3.512798 8:-4.0574555 9:3.2991116 10:-0.8190756 11:2.89539 12:-4.506321 13:2.3996572 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:310.03943 2:11.546261 3:18.040813 4:-1.1731868 5:3.458058 6:-2.526156 7:3.8718174 8:-3.7010722 9:4.9632883 10:-0.9521677 11:4.1617374 12:-5.4436417 13:2.699249 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:291.08145 2:-1.7516801 3:9.184004 4:-3.6890872 5:0.49351382 6:0.1567848 7:2.9730544 8:-4.0462036 9:1.0915326 10:-2.8258104 11:-0.75906825 12:-4.8598127 13:0.3714448 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:297.8942 2:-2.191681 3:7.8899755 4:-4.5047846 5:0.4847201 6:-0.14639582 7:5.242556 8:-3.6964266 9:0.9819602 10:1.2925661 11:1.1267985 12:-5.354466 13:1.3149499 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:291.60614 2:-2.0792549 3:8.64247 4:-2.6231606 5:1.1751218 6:1.4473315 7:6.6293015 8:-2.4866636 9:0.011332456 10:-1.9979248 11:-1.1052042 12:-3.8701541 13:2.3145113 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:290.4366 2:-3.1896074 3:4.855579 4:-6.2602224 5:1.3829693 6:-0.42230648 7:4.195124 8:-2.2858589 9:-1.6183927 10:-4.713565 11:-1.9599364 12:-2.911016 13:2.7753005 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:303.47134 2:-5.1924376 3:2.147797 4:-2.6630483 5:-1.5332414 6:-2.7444205 7:4.158009 8:-1.2135365 9:1.5777291 10:-1.4897172 11:1.1085899 12:-3.0659862 13:0.36606756 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:308.114 2:-8.87947 3:-0.53477865 4:-2.5350895 5:-3.3988075 6:-2.6320543 7:4.4141293 8:0.21245493 9:4.569963 10:0.80133057 11:3.0344088 12:-3.6658869 13:-0.82749057 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:271.20032 2:-5.753017 3:3.6881185 4:-1.5705937 5:1.0300064 6:-3.759395 7:4.390443 8:1.1701032 9:2.5291083 10:-2.6003273 11:1.6601676 12:-2.7701902 13:2.6451542 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
