1 1:288.534 2:-9.727506 3:-0.7241555 4:5.1440983 5:7.6858687 6:-0.4749597 7:1.6545238 8:-0.62988925 9:5.8583627 10:-1.5234214 11:2.9361873 12:-4.1909785 13:2.949737 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:294.2288 2:-9.648844 3:-0.28586772 4:6.418328 5:5.2138934 6:-0.7169244 7:2.0120716 8:-0.6388772 9:5.4311337 10:-3.5751326 11:3.0400906 12:-4.1186805 13:3.7379913 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:289.7736 2:-7.984448 3:-0.8288443 4:3.7639828 5:3.8953066 6:-0.54226273 7:2.3095298 8:-1.5089085 9:4.879112 10:-2.1681275 11:3.1263392 12:-5.46508 13:2.0367594 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:294.103 2:-6.319147 3:-0.36935598 4:4.6548924 5:4.177185 6:-2.966844 7:1.5772545 8:-2.6046953 9:4.547788 10:-1.6620488 11:3.5199583 12:-4.2352834 13:3.4185562 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:296.45743 2:-6.645753 3:-2.1774309 4:2.349587 5:3.6542387 6:-1.3289137 7:4.2329855 8:-0.17584366 9:6.211898 10:-1.9473283 11:3.9817264 12:-4.8441114 13:2.9470787 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:298.66766 2:-5.3432875 3:-0.24699669 4:3.0937998 5:4.274565 6:-1.3005283 7:3.5449553 8:-2.4181046 9:5.2258105 10:-2.4747999 11:2.6221368 12:-3.5408814 13:3.212525 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:296.96432 2:-8.319451 3:-3.452167 4:3.7112703 5:4.610255 6:-1.2122802 7:3.2953117 8:-1.3809466 9:7.0191007 10:-1.4378912 11:2.7423835 12:-3.0834246 13:4.6662855 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:293.80038 2:-8.999629 3:-4.560868 4:3.0992723 5:4.1206393 6:-2.513988 7:1.3352813 8:-4.2922163 9:5.2259474 10:-2.7398791 11:3.500009 12:-3.250796 13:3.4117851 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:295.21356 2:-7.268736 3:-4.362497 4:3.8582892 5:3.7847798 6:-2.2060647 7:3.3998284 8:-3.4853551 9:6.226212 10:-1.5946076 11:3.9819791 12:-2.8827116 13:4.8264794 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:298.04352 2:-4.426355 3:-1.6880279 4:2.85027 5:6.0629363 6:0.32414466 7:4.0069675 8:-1.5612246 9:5.7439723 10:-1.0049078 11:3.6361551 12:-3.4564438 13:4.6337447 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
