1 1:261.4022 2:-4.7449594 3:9.656918 4:0.59809816 5:0.7434253 6:-3.0844836 7:1.7154912 8:-1.5320231 9:2.9232821 10:-0.8698168 11:3.5507953 12:-0.61282927 13:2.7950196 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:261.97168 2:-3.7500188 3:11.464319 4:0.69130886 5:2.5803158 6:0.5505242 7:3.663636 8:-1.6047575 9:2.6267707 10:-2.2563915 11:1.5542321 12:-2.092687 13:2.4347017 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:267.0056 2:-2.5623639 3:11.120005 4:-0.13201319 5:3.7428238 6:0.46143898 7:3.8813407 8:-1.4346368 9:3.3191674 10:-0.8837093 11:1.6168449 12:-1.8106682 13:1.1697416 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:266.33307 2:-2.4908159 3:9.559875 4:-0.5290309 5:3.2636063 6:-1.4163122 7:1.9092811 8:-2.6769173 9:3.1360488 10:-0.194517 11:2.9213293 12:-1.1165385 13:1.769495 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:267.66852 2:-1.162128 3:11.6306505 4:-0.86192673 5:3.4955132 6:-2.3486836 7:-0.2362671 8:-2.7100997 9:2.8507538 10:-1.290077 11:1.5136974 12:-1.7047052 13:2.4814522 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:266.6347 2:-2.568497 3:8.834737 4:-1.1972407 5:3.8846922 6:-1.5343356 7:0.50026304 8:-2.8499086 9:2.592224 10:-1.5554187 11:1.882652 12:-0.868519 13:3.0837944 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:264.39526 2:-4.069931 3:9.534167 4:0.34657168 5:3.4247346 6:-2.1949306 7:0.03709703 8:-3.2993186 9:3.4301794 10:-0.29610056 11:2.2366183 12:-1.6723652 13:2.7307518 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:264.9231 2:-3.1054118 3:9.312312 4:0.51290536 5:5.3466043 6:-1.1736745 7:0.6501563 8:-2.4733431 9:3.17297 10:-0.87979937 11:1.7218221 12:-1.7356744 13:2.3873684 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:266.27875 2:-1.5457742 3:10.136212 4:0.051674336 5:3.956718 6:-1.8690853 7:-0.9054111 8:-2.9750519 9:4.4105277 10:1.3836728 11:3.9617133 12:-1.5205011 13:3.207929 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:266.5175 2:-1.7004083 3:8.853922 4:-1.1995943 5:4.6402674 6:-2.1086614 7:-0.4815801 8:-2.005658 9:4.055385 10:0.4101226 11:2.7737446 12:-2.2317533 13:2.4863813 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
