1 1:272.9284 2:0.54920954 3:7.1911497 4:-5.4810724 5:2.3148627 6:3.4021125 7:5.706227 8:-3.0890794 9:1.796225 10:-1.5972207 11:2.6502957 12:-3.3471534 13:1.7785687 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:278.3245 2:-6.824677 3:8.959352 4:-5.3078494 5:1.0109156 6:6.0148044 7:1.5654578 8:-2.2377923 9:1.0010587 10:-2.657205 11:2.4064837 12:-1.5449109 13:2.6444316 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:272.7214 2:-0.43458766 3:8.383567 4:-2.9685278 5:3.335844 6:1.2498217 7:2.444769 8:-4.4014564 9:1.5646225 10:-2.2017105 11:3.4479969 12:-2.1145394 13:1.8483045 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:267.2351 2:-2.502378 3:5.658747 4:-4.6393356 5:2.8778846 6:1.2488059 7:1.0666813 8:-4.565054 9:3.3867273 10:-1.2695796 11:2.6377823 12:-2.9546406 13:1.6628159 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:270.40973 2:-0.026296021 3:7.7439413 4:-4.9555035 5:2.25503 6:0.23192199 7:1.3673863 8:-4.559477 9:2.7053394 10:-2.981435 11:0.9671644 12:-3.4350228 13:1.5612973 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:266.1999 2:-2.619927 3:8.118755 4:-4.1780314 5:-0.44598797 6:-3.717111 7:0.3363551 8:-3.4551942 9:1.6017632 10:-2.6157408 11:1.3862695 12:-3.1855617 13:1.3131508 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:265.1633 2:-4.347167 3:7.2579107 4:-3.4630184 5:-1.3128859 6:-2.7802424 7:1.9964873 8:-2.919818 9:1.5851644 10:-2.2675343 11:0.93765426 12:-3.5974624 13:2.974435 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:265.4343 2:-2.9372516 3:6.4966125 4:-3.7613165 5:0.801678 6:-1.530404 7:1.4727618 8:-3.7092502 9:2.4953072 10:-1.8808548 11:1.4894269 12:-3.5199654 13:1.551664 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:264.674 2:-3.1394496 3:8.081989 4:-3.999802 5:1.4961275 6:-0.5674912 7:3.104227 8:-0.41046852 9:4.7475286 10:-2.2188718 11:0.16285457 12:-3.6942668 13:0.0049539404 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:266.65738 2:-1.361561 3:9.304681 4:-3.4780214 5:1.9508313 6:-1.6218921 7:2.5982845 8:-0.21068452 9:1.9947065 10:-1.6856438 11:1.9739807 12:-3.7446022 13:1.9787021 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
