2 1:269.44382 2:-5.336493 3:5.663746 4:0.9112773 5:3.5410168 6:-4.1591277 7:2.864099 8:-1.8974047 9:1.36322 10:-0.7106898 11:4.1533356 12:-2.1598027 13:1.7073822 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:261.57397 2:-9.521389 3:4.302773 4:1.8108813 5:2.133819 6:-4.8924465 7:4.281076 8:-1.745662 9:0.78174204 10:0.36766812 11:2.6296155 12:-4.2124763 13:2.3336937 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:261.0048 2:-9.5156555 3:3.7567644 4:2.1521647 5:4.5722303 6:-3.4065127 7:3.9206884 8:-1.4576722 9:2.0482116 10:1.28181 11:3.887912 12:-2.831169 13:2.8054242 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:261.99844 2:-8.042932 3:3.784401 4:1.3529816 5:3.2643921 6:-4.269055 7:4.0854373 8:-1.4068888 9:3.0848284 10:1.6116766 11:4.822209 12:-2.1056843 13:1.6369083 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:264.57782 2:-6.34416 3:7.230945 4:2.6405687 5:3.3701608 6:-4.2889724 7:2.6391637 8:-0.23923564 9:5.241513 10:1.6302096 11:3.9358864 12:-3.512405 13:1.8300318 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:270.31015 2:-5.7609115 3:2.947719 4:-0.78308564 5:2.817765 6:-2.425734 7:4.3682256 8:-0.30069867 9:5.0303507 10:0.93788946 11:3.2846262 12:-3.4366398 13:2.335876 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:277.2974 2:-3.1045387 3:4.8045983 4:0.21293345 5:2.9225361 6:-2.1675391 7:3.8651726 8:-1.566149 9:4.389158 10:1.3078582 11:3.319262 12:-4.8561363 13:3.053771 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:288.49136 2:2.583959 3:4.874397 4:-3.0188098 5:3.275815 6:-4.437067 7:1.2508936 8:-5.8672667 9:4.2389216 10:4.453715 11:5.8507504 12:-4.178149 13:3.6953611 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:285.86252 2:1.5983597 3:4.5865083 4:-1.3800652 5:2.4788544 6:-5.258063 7:1.2815452 8:-4.3992577 9:5.1846313 10:3.5677586 11:5.9277983 12:-4.5261087 13:3.1067727 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:276.43024 2:-4.3414254 3:2.977457 4:-0.15998793 5:2.2892077 6:-3.6506257 7:3.4805264 8:-2.2906928 9:4.4585295 10:1.7696084 11:4.304151 12:-1.8378186 13:3.1691723 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:275.75003 2:-4.035474 3:3.6910465 4:1.2152452 5:3.3045814 6:-3.7260175 7:4.4183464 8:-1.7492785 9:3.9862711 10:0.077114396 11:3.7989836 12:-1.8231258 13:2.5414288 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:275.32727 2:-3.863237 3:6.16406 4:2.4480777 5:4.3993287 6:-3.7541153 7:3.2529762 8:-1.835861 9:4.383549 10:1.0871894 11:3.7994006 12:-3.3040986 13:1.6434608 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:274.1582 2:-3.5627463 3:6.6528244 4:1.8638124 5:3.779662 6:-4.554375 7:2.1192262 8:-3.2087612 9:1.6002558 10:-0.7531716 11:1.326786 12:-4.8169236 13:1.5206167 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:273.6422 2:-4.3765993 3:6.571564 4:2.0420656 5:4.249038 6:-2.181801 7:4.2796164 8:-0.6966652 9:3.1246054 10:0.30084273 11:3.1536865 12:-4.481572 13:2.881409 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:282.4776 2:-1.197895 3:11.878235 4:4.5270524 5:6.3463287 6:-1.2972317 7:7.1299367 8:-0.768758 9:5.719873 10:1.3699715 11:5.778059 12:-2.445649 13:3.3609066 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:306.23325 2:10.798597 3:15.18013 4:0.1398742 5:5.083193 6:0.6647936 7:8.915237 8:-1.6090395 9:4.9442782 10:-1.2547163 11:7.8512526 12:-2.265337 13:6.1807 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:314.36966 2:8.505757 3:14.573255 4:2.5155554 5:3.8145995 6:-1.324782 7:5.590396 8:-3.0097373 9:5.0961704 10:-1.1191087 11:7.4044876 12:-2.0095 13:6.1872177 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:319.42154 2:7.142054 3:14.446459 4:3.7422504 5:2.919738 6:-0.84614515 7:5.729517 8:-2.4996967 9:5.216316 10:-1.8415219 11:6.9844365 12:-1.8222528 13:6.503316 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:326.7194 2:5.823816 3:14.257853 4:3.268964 5:4.4517565 6:-0.82063526 7:6.1044555 8:-1.9407265 9:4.3815665 10:-2.5975945 11:5.623488 12:-0.6895829 13:4.228191 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:335.77695 2:12.186245 3:18.678913 4:3.856949 5:4.491194 6:-1.9348121 7:4.789078 8:-6.0765266 9:2.17756 10:-4.651652 11:4.9179344 12:-2.7027116 13:5.077713 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:334.58258 2:14.363757 3:19.513042 4:5.016988 5:1.5883892 6:-6.2273026 7:2.6533504 8:-5.8362503 9:3.2892241 10:-4.3763857 11:5.4910183 12:-2.9042795 13:6.923277 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:335.032 2:15.032538 3:19.667898 4:2.4162867 5:0.047966752 6:-5.216435 7:3.1652439 8:-7.103163 9:3.6903102 10:-3.7642608 11:5.7102885 12:-3.5320146 13:4.166122 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
