2 1:266.38156 2:-6.2547865 3:4.14799 4:-0.8367383 5:3.2664096 6:-2.4536784 7:1.1214414 8:-3.3670006 9:0.9324719 10:-3.289244 11:-0.23764502 12:-5.381567 13:-0.5668149 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:271.20145 2:-5.1915617 3:2.8164253 4:-1.2118757 5:5.0891333 6:-1.4274745 7:1.5390694 8:-3.9344869 9:0.8919987 10:-1.7374351 11:0.9864239 12:-3.4112518 13:1.5847702 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:270.8518 2:-5.721917 3:3.6201212 4:0.84340495 5:4.698315 6:-3.027461 7:1.1623728 8:-3.7052329 9:0.49134174 10:-3.6498399 11:0.72095174 12:-4.9351063 13:0.3267513 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:274.96844 2:-4.0539126 3:2.994219 4:-2.1867032 5:2.310495 6:-3.5089138 7:1.0481113 8:-1.2356873 9:3.6962852 10:-1.5813481 11:1.9341222 12:-4.054522 13:2.6625817 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:286.74786 2:0.40134132 3:3.3547618 4:-4.174838 5:1.287151 6:-4.13482 7:2.5655942 8:-1.1672544 9:3.5487585 10:-3.687936 11:-0.14799687 12:-4.953478 13:1.1639943 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:291.693 2:-2.3748162 3:3.0768654 4:-5.13951 5:1.3235681 6:-1.2646884 7:3.855414 8:-1.5119065 9:2.33883 10:-1.7853265 11:0.51125354 12:-5.57955 13:0.9476738 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:296.73926 2:-1.1064365 3:4.167035 4:-6.8033957 5:-0.85587716 6:-1.1216693 7:3.5586116 8:-2.2403533 9:2.0074692 10:-3.5747132 11:0.4028711 12:-3.8959231 13:1.3961246 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:305.703 2:3.384291 3:6.843331 4:-5.8507776 5:1.5485164 6:-0.21036068 7:1.9489081 8:-2.2673292 9:3.0012507 10:-1.060965 11:3.705007 12:-2.4025638 13:2.6220732 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:295.953 2:2.3098166 3:7.6917086 4:-3.3204947 5:1.1074327 6:-3.5446708 7:1.501955 8:-1.3414936 9:5.014486 10:0.0282493 11:2.9090014 12:-2.867805 13:1.7157489 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:286.6047 2:-2.35194 3:3.3628883 4:-2.5310836 5:1.9544406 6:-2.2462246 7:2.2492008 8:-2.9534492 9:4.8449183 10:0.6140657 11:4.1658745 12:-2.8669968 13:1.03399 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
