2 1:273.83884 2:-3.0612326 3:5.791198 4:-0.17977509 5:-0.93199486 6:-10.053075 7:0.8771307 8:-3.467443 9:3.1553235 10:-0.8612315 11:2.5958564 12:-4.1454177 13:1.8642002 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:272.65378 2:-4.053026 3:7.1244535 4:0.7900301 5:-0.17556837 6:-8.227812 7:2.3102846 8:-1.8833991 9:2.6427462 10:0.10238839 11:3.2479718 12:-3.6411414 13:2.508781 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:270.0115 2:-3.8933651 3:5.80755 4:0.8401843 5:1.4273094 6:-7.2421703 7:3.2470043 8:-2.4747732 9:1.6155324 10:-0.47424334 11:1.7870103 12:-3.7511888 13:1.1255702 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:266.69003 2:-6.6989393 3:3.583185 4:0.48090428 5:1.3947496 6:-5.76231 7:3.5336642 8:-0.9792489 9:3.1560636 10:0.2912506 11:3.6145911 12:-3.3783932 13:2.0056307 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:265.75067 2:-7.2373223 3:4.4192824 4:1.0761347 5:1.210566 6:-6.4708624 7:3.284816 8:0.5029541 9:2.1443732 10:-0.011068977 11:3.9022386 12:-4.008308 13:1.2050993 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:265.5263 2:-7.4315524 3:6.1604967 4:1.969321 5:0.46072227 6:-6.074295 7:3.8274434 8:0.5050845 9:2.8756294 10:-0.28684998 11:2.820237 12:-2.1186209 13:3.7865198 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:276.8203 2:-2.185154 3:5.6650085 4:-0.4347536 5:2.862299 6:-4.189932 7:2.018736 8:-1.2474698 9:2.400886 10:-1.977034 11:3.4708908 12:-2.433985 13:3.1121142 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:267.47946 2:-7.0194316 3:3.3827002 4:-0.55188787 5:1.4586346 6:-6.380173 7:3.0213997 8:0.83227605 9:3.9153337 10:1.0365152 11:4.4107695 12:-2.9167469 13:2.3747358 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:268.8502 2:-7.9346437 3:3.7370899 4:1.3821623 5:2.2214158 6:-7.312703 7:2.7019355 8:0.012666393 9:4.0172386 10:0.7549435 11:3.1073494 12:-2.3215604 13:2.708957 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:274.83737 2:-5.893381 3:3.1443233 4:2.1384163 5:0.9307575 6:-6.997574 7:4.6171303 8:-0.08877583 9:6.1031604 10:0.27881834 11:1.8811187 12:-2.8925672 13:2.0800219 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:273.01797 2:-5.1094127 3:4.2464046 4:-0.21406667 5:-0.13077141 6:-6.640137 7:4.043462 8:0.69603443 9:3.1818023 10:-0.7280098 11:3.1562884 12:-5.0388265 13:1.6983669 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:273.943 2:-5.0381775 3:4.4993615 4:0.7231047 5:2.6317945 6:-3.1965911 7:6.5649867 8:1.4620179 9:4.747779 10:-0.8058062 11:3.1053808 12:-2.5184758 13:2.4811542 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:305.94772 2:10.419334 3:11.85565 4:-3.6987367 5:2.909254 6:-1.0509971 7:10.050865 8:-0.40356925 9:5.2612686 10:-1.4887125 11:6.0623617 12:-2.773025 13:4.478451 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:323.76276 2:20.845226 3:12.963447 4:-8.690739 5:4.265498 6:-0.03138978 7:11.805576 8:-2.830893 9:6.6374154 10:-1.3178645 11:7.386665 12:-3.958994 13:5.1803327 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:327.571 2:23.007755 3:11.903876 4:-8.6816 5:4.1367087 6:-0.1271281 7:10.699747 8:-4.0198426 9:6.9152145 10:-1.7142123 11:7.6645827 12:-3.931174 13:4.8518887 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:332.03738 2:24.091398 3:10.0236025 4:-9.592509 5:5.3884645 6:0.4340154 7:10.115461 8:-4.8427835 9:6.995293 10:-1.8134687 11:7.5659537 12:-4.390809 13:5.668722 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:331.60837 2:23.78278 3:10.859085 4:-8.585091 5:4.8493643 6:-0.44311178 7:9.969077 8:-5.0126276 9:7.25463 10:-2.134757 11:7.604182 12:-3.4659622 13:4.803505 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:333.80313 2:22.74051 3:11.930958 4:-9.119819 5:4.993075 6:0.5151095 7:9.315615 8:-5.0129943 9:5.841347 10:-1.3237052 11:7.8835263 12:-3.3725653 13:4.8777933 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:342.95734 2:22.256935 3:14.495481 4:-7.869683 5:4.78179 6:0.36452004 7:7.951173 8:-7.0076885 9:4.570878 10:-2.9091759 11:4.8058386 12:-2.2065637 13:3.4479666 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:362.53027 2:19.574217 3:22.767366 4:-6.954529 5:0.7611331 6:3.7705004 7:1.7474808 8:-9.062542 9:3.9742515 10:-2.9576252 11:5.638133 12:-4.2028446 13:2.6691542 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:362.53162 2:22.37324 3:20.017395 4:-10.541164 5:2.4005754 6:0.0641215 7:1.6478592 8:-9.823162 9:4.0502763 10:-1.4453256 11:4.773812 12:-5.8980517 13:1.2590692 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:356.57095 2:26.601389 3:18.78239 4:-11.735632 5:3.979389 6:-2.4379325 7:4.008594 8:-10.660051 9:4.2527394 10:0.042446133 11:2.789004 12:-5.5236645 13:0.62090284 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:354.91953 2:27.00886 3:18.703089 4:-12.600906 5:3.335176 6:-1.4683383 7:4.9757032 8:-9.849191 9:3.4502404 10:0.3387042 11:2.4910564 12:-6.902736 13:0.73312145 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:353.16852 2:26.73073 3:16.455002 4:-11.56239 5:3.3913321 6:-2.0412307 7:5.1056123 8:-7.462353 9:2.97242 10:-0.47928593 11:2.6256244 12:-7.346563 13:1.487537 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
