1 1:314.8647 2:8.095055 3:17.251284 4:-0.91650414 5:1.5718668 6:1.6139072 7:11.123856 8:0.0362661 9:5.631174 10:-2.9206054 11:5.2728724 12:-3.2214165 13:3.3367817 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:317.39893 2:2.7762923 3:17.221306 4:-0.50996935 5:1.1836364 6:3.2194803 7:9.527302 8:0.76022375 9:5.582295 10:-2.4228191 11:4.995082 12:-2.3657725 13:4.706292 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:321.99637 2:1.6519653 3:15.870484 4:2.54088 5:2.475965 6:0.2199428 7:7.9633713 8:-0.48943233 9:5.225625 10:-2.7125485 11:3.556134 12:-2.5865166 13:4.322149 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:322.88623 2:1.643016 3:19.826553 4:4.710315 5:2.279732 6:-0.84524065 7:5.658481 8:-2.743414 9:3.8351703 10:-2.6533906 11:4.6242375 12:-0.61268604 13:2.9553306 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:331.0532 2:3.3351371 3:19.425484 4:4.1552715 5:3.577919 6:-1.6804085 7:5.5621758 8:-2.3617425 9:4.7857103 10:-3.4728372 11:3.0028653 12:-1.2814425 13:4.371919 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:326.35867 2:9.814093 3:23.395561 4:3.7739544 5:2.027384 6:-2.0938451 7:6.972876 8:-4.294179 9:4.267649 10:-2.290692 11:4.355779 12:-1.7145265 13:4.9401445 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:322.53915 2:23.068075 3:21.927732 4:-0.47528896 5:2.5033839 6:-3.375928 7:10.101518 8:-5.243907 9:3.7080138 10:-5.1058664 11:6.9975033 12:-3.3526692 13:6.2536864 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:325.99243 2:26.192875 3:23.066086 4:-2.8347342 5:4.026141 6:-3.6653068 7:9.223851 8:-4.4818907 9:2.925057 10:-6.3870554 11:7.1592836 12:-3.934275 13:6.995962 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:328.14618 2:27.815092 3:23.20793 4:-2.7190747 5:5.2971 6:-3.4133632 7:8.019421 8:-5.600717 9:3.1716223 10:-7.4212523 11:6.65798 12:-5.1688166 13:6.9140205 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:332.00552 2:25.41326 3:23.66918 4:-0.18735369 5:4.658036 6:-4.2566032 7:7.6664557 8:-5.9314394 9:2.92616 10:-7.973662 11:5.1721864 12:-3.9425275 13:6.609837 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
