2 1:286.02365 2:-1.6383011 3:9.556475 4:-0.47558802 5:1.4206901 6:-1.9229004 7:3.2757223 8:-2.0872738 9:2.996728 10:-2.26625 11:1.4177467 12:-2.4920447 13:0.92933685 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:286.95282 2:0.14590603 3:10.265594 4:0.92449075 5:0.93560004 6:-3.0053556 7:1.8108853 8:-3.1005237 9:2.2521183 10:-3.0224426 11:2.583955 12:-1.4812806 13:0.5291591 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:284.73993 2:-2.6874712 3:8.122493 4:-1.2245201 5:0.07995866 6:-2.9395602 7:2.9331164 8:-0.9022283 9:3.7066293 10:-3.90823 11:1.6177207 12:0.8985355 13:1.720998 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:288.8737 2:-2.236968 3:8.281613 4:-1.2099277 5:-0.2732806 6:-1.2107981 7:5.9388356 8:-1.0028023 9:3.42629 10:-2.6279395 11:0.56596255 12:-0.9727606 13:1.6571695 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:292.8231 2:0.26464054 3:8.610525 4:-2.6107318 5:0.422397 6:-2.165531 7:4.699357 8:-2.9372003 9:2.1651676 10:-4.069962 11:-0.6006972 12:-1.9555813 13:1.402948 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:289.45044 2:-1.4853699 3:6.812946 4:-2.2712476 5:-0.056826267 6:-2.9366176 7:4.0006504 8:-3.0308216 9:1.9520265 10:-3.8433585 11:0.5957748 12:-1.9312251 13:1.0707102 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:300.06693 2:-2.0716026 3:8.144366 4:-3.3500912 5:0.3926362 6:0.04144826 7:6.0092664 8:-1.9487975 9:2.2760222 10:-4.275939 11:-0.65061677 12:-2.333734 13:2.0461907 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:297.94742 2:-2.0917919 3:5.549191 4:-3.2867515 5:0.46261 6:0.96304345 7:4.054172 8:-2.5013359 9:2.2771676 10:-3.7608767 11:-0.12816001 12:-1.5139098 13:3.960822 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:296.19174 2:-3.3507504 3:5.0250444 4:-4.841356 5:-2.2725594 6:-0.64419913 7:4.602976 8:-1.8718933 9:1.2546927 10:-5.0530343 11:-0.64991194 12:-2.420659 13:1.6455501 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:291.23355 2:-3.7536283 3:4.1467857 4:-4.7778277 5:-1.102298 6:-0.60048664 7:6.3568506 8:-0.60781246 9:1.6863889 10:-4.6458426 11:-0.66685367 12:-2.4010386 13:1.4004067 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
