2 1:261.63922 2:-7.271632 3:4.5866323 4:-0.9513571 5:-1.2883786 6:-6.9052963 7:1.3647008 8:-2.2878873 9:1.1624509 10:-0.095534876 11:3.9644368 12:-3.8865108 13:1.3488529 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:263.2811 2:-7.9795885 3:5.307401 4:1.1520634 5:-0.4674 6:-7.9122453 7:1.6533635 8:-1.7453603 9:1.7350051 10:-1.1743145 11:2.4646513 12:-4.5491548 13:1.2851701 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:262.29523 2:-8.775099 3:4.4652348 4:0.23449177 5:0.44108266 6:-5.644871 7:2.4221005 8:-0.19605953 9:3.4125755 10:-0.78582084 11:3.446665 12:-2.6527774 13:1.8413825 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:283.01053 2:3.3631997 3:8.153389 4:-0.93203735 5:2.0874832 6:-6.2676153 7:1.9429904 8:-2.6135166 9:3.3450449 10:-0.38300338 11:4.2825704 12:-2.2499049 13:2.7703323 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:271.65173 2:-0.97636676 3:9.969406 4:2.6809857 5:2.887353 6:-6.588751 7:2.5478463 8:-1.5923401 9:2.3927612 10:1.000515 11:4.71851 12:-3.1648407 13:1.96373 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:276.08984 2:-1.4670206 3:8.161592 4:1.9003145 5:3.0160608 6:-4.98454 7:3.4738762 8:-1.1411889 9:2.4126663 10:-0.8985592 11:2.984851 12:-2.5475736 13:2.6090043 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:263.60452 2:-6.836829 3:6.5375905 4:2.8220234 5:2.5885813 6:-5.975047 7:2.0687091 8:-1.632964 9:2.7158577 10:0.051225476 11:3.2265186 12:-2.3828557 13:1.971648 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:263.6964 2:-9.382855 3:3.5374026 4:0.29721305 5:1.9254131 6:-4.1892467 7:3.2566588 8:-1.0699837 9:1.6439905 10:-0.765674 11:2.692396 12:-2.9636214 13:1.6843773 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:260.89035 2:-8.629931 3:5.0170293 4:1.5726072 5:1.4778272 6:-6.794236 7:1.7312331 8:-1.0178626 9:2.7697504 10:0.689126 11:3.1214588 12:-3.5115902 13:1.4553132 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:262.2712 2:-9.610536 3:2.5046797 4:0.5767847 5:2.0627854 6:-6.152264 7:3.6547165 8:0.2309645 9:2.8678887 10:0.6534308 11:3.1739984 12:-3.8449714 13:1.6902225 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:258.6938 2:-9.57972 3:4.290297 4:1.8297479 5:2.72411 6:-5.9994073 7:2.6504898 8:-0.14260067 9:3.0045238 10:-0.60025847 11:2.7363935 12:-2.0138328 13:2.3182101 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:261.1607 2:-7.168602 3:6.1356306 4:2.4196823 5:2.9395149 6:-3.5970368 7:4.178983 8:-0.19356135 9:2.771646 10:-1.1877931 11:1.7465333 12:-2.1174345 13:2.5757554 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:259.3682 2:-8.749016 3:4.650508 4:-0.2869082 5:0.82209396 6:-5.2819657 7:2.6713252 8:-1.7054603 9:1.4136484 10:-0.47838634 11:3.245355 12:-3.3623812 13:1.3508533 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:259.88284 2:-12.983236 3:2.478711 4:-0.038840123 5:-0.57401335 6:-6.0930824 7:0.43095532 8:-1.8804722 9:2.4361076 10:1.2790867 11:4.2543178 12:-1.8846874 13:1.2508241 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:260.9994 2:-10.886707 3:3.4135077 4:-1.2607172 5:-1.3555588 6:-6.6772056 7:2.7123756 8:-0.1962369 9:2.1719954 10:0.11156741 11:3.2468085 12:-2.2553158 13:1.5114288 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
