1 1:266.5692 2:-4.7774425 3:8.467915 4:-0.39452788 5:1.1506088 6:-2.785121 7:2.8085022 8:-2.120219 9:1.9112262 10:-1.336506 11:1.9662462 12:-2.0920823 13:2.4841025 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:263.39966 2:-4.7483277 3:6.2648616 4:-0.38568118 5:1.0618442 6:-0.99911815 7:5.015347 8:-1.2798975 9:2.6065438 10:-0.9979169 11:2.3068533 12:-2.3823314 13:2.812485 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:268.02228 2:-3.3109162 3:8.086986 4:-1.0984905 5:2.4253278 6:-1.5760385 7:2.3321989 8:-1.6147276 9:2.7159855 10:-0.96868515 11:2.6322024 12:-2.0386672 13:3.3018222 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:268.39423 2:-3.96744 3:7.7277317 4:-0.54871637 5:2.6621785 6:-1.3338788 7:2.2313643 8:-1.4252255 9:3.257293 10:-1.4502172 11:1.5390608 12:-2.0471258 13:1.1597152 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:265.27356 2:-5.7966166 3:7.866395 4:-0.34592307 5:2.3962567 6:-1.6185421 7:2.5089798 8:-0.9021032 9:3.8050148 10:-0.34991235 11:2.8230667 12:-2.395855 13:0.90576625 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:264.30264 2:-4.852217 3:7.8181148 4:-1.9003278 5:1.4551929 6:-2.1437392 7:1.3320582 8:-2.947177 9:2.5730891 10:0.26355296 11:2.4792733 12:-1.0174559 13:2.8404648 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:264.6899 2:-4.5158215 3:6.962408 4:-0.62793326 5:1.5878217 6:-1.8183566 7:2.7513525 8:-1.870421 9:2.43178 10:-2.1063974 11:1.3053272 12:-2.5066433 13:1.6026458 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:271.68182 2:-1.8769244 3:8.65517 4:-1.6769748 5:3.234393 6:-0.46663544 7:2.7841547 8:-2.3301597 9:2.9842644 10:-2.1820736 11:1.1466058 12:-2.4938362 13:1.3913594 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:282.19705 2:2.6383932 3:10.354765 4:-5.847427 5:-2.7272942 6:-4.5554795 7:1.7542254 8:0.7758211 9:7.266318 10:-0.45644468 11:3.2264256 12:-1.0787846 13:3.3688245 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:264.83896 2:-3.2480812 3:9.299975 4:-2.3152268 5:1.1607465 6:-1.4951987 7:2.6130722 8:-0.098649226 9:4.528955 10:-0.34616768 11:3.1962097 12:-1.7603271 13:2.3111067 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
