2 1:164.83148 2:-5.1343207 3:0.6666374 4:-3.2987106 5:3.465246 6:1.4358436 7:0.74099404 8:-4.887355 9:2.60988 10:0.6084297 11:2.8664975 12:-1.5326054 13:3.141938 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:164.83148 2:-5.1343207 3:0.6666374 4:-3.2987106 5:3.465246 6:1.4358436 7:0.74099404 8:-4.887355 9:2.60988 10:0.6084297 11:2.8664975 12:-1.5326054 13:3.141938 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:171.13857 2:0.6174452 3:2.573169 4:-5.610002 5:5.508313 6:2.170191 7:0.8949461 8:-3.5170107 9:2.7157109 10:-2.1175005 11:3.373493 12:-2.4409106 13:2.1911786 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:171.13857 2:0.6174452 3:2.573169 4:-5.610002 5:5.508313 6:2.170191 7:0.8949461 8:-3.5170107 9:2.7157109 10:-2.1175005 11:3.373493 12:-2.4409106 13:2.1911786 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:167.1932 2:1.8424817 3:2.2193606 4:-4.8920445 5:4.5438957 6:-2.34342 7:0.7067336 8:-5.00585 9:2.3489857 10:0.78203785 11:4.1297174 12:-1.9613926 13:1.8515601 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:167.1932 2:1.8424817 3:2.2193606 4:-4.8920445 5:4.5438957 6:-2.34342 7:0.7067336 8:-5.00585 9:2.3489857 10:0.78203785 11:4.1297174 12:-1.9613926 13:1.8515601 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:167.30087 2:1.292013 3:7.398292 4:-0.40243277 5:3.8184273 6:-1.2288976 7:2.6170313 8:-4.1793175 9:1.3048196 10:-2.8956137 11:1.2891184 12:-2.7880864 13:3.7455559 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:167.30087 2:1.292013 3:7.398292 4:-0.40243277 5:3.8184273 6:-1.2288976 7:2.6170313 8:-4.1793175 9:1.3048196 10:-2.8956137 11:1.2891184 12:-2.7880864 13:3.7455559 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:170.27213 2:-0.3440149 3:9.473791 4:-1.9413784 5:3.5725048 6:2.1383133 7:3.940777 8:-2.646965 9:-0.13811292 10:-2.9414241 11:1.0549955 12:-4.0892467 13:2.4931238 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:170.27213 2:-0.3440149 3:9.473791 4:-1.9413784 5:3.5725048 6:2.1383133 7:3.940777 8:-2.646965 9:-0.13811292 10:-2.9414241 11:1.0549955 12:-4.0892467 13:2.4931238 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:171.86015 2:3.4480343 3:5.714323 4:-2.8064668 5:4.3275757 6:0.026953498 7:3.2478406 8:-6.0781116 9:-0.41325197 10:-3.2170618 11:2.9482648 12:-3.1893811 13:1.9702739 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
