2 1:205.52495 2:-2.4014866 3:2.1060908 4:1.3406639 5:5.8952093 6:-0.32262218 7:-1.0269417 8:-4.890504 9:1.2503554 10:-2.9835434 11:3.75033 12:0.9413776 13:2.447336 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:207.174 2:-0.2736249 3:3.6549034 4:-3.6303465 5:0.30687037 6:-5.7380304 7:-3.0697887 8:-3.3649302 9:3.8711808 10:-2.3625546 11:1.0724322 12:-4.351872 13:3.666668 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:207.174 2:-0.2736249 3:3.6549034 4:-3.6303465 5:0.30687037 6:-5.7380304 7:-3.0697887 8:-3.3649302 9:3.8711808 10:-2.3625546 11:1.0724322 12:-4.351872 13:3.666668 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:216.48793 2:0.55824596 3:7.709448 4:2.4080472 5:6.065776 6:-3.1613877 7:1.7613946 8:-1.678428 9:2.2440648 10:-1.2617115 11:-0.03694761 12:-3.5485013 13:3.0629656 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:216.48793 2:0.55824596 3:7.709448 4:2.4080472 5:6.065776 6:-3.1613877 7:1.7613946 8:-1.678428 9:2.2440648 10:-1.2617115 11:-0.03694761 12:-3.5485013 13:3.0629656 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:203.53496 2:-4.110337 3:4.7133837 4:0.85474205 5:2.4941514 6:-5.208183 7:0.653194 8:-1.2751615 9:-0.21256374 10:-0.9142823 11:1.575962 12:-3.190404 13:2.2818003 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:203.53496 2:-4.110337 3:4.7133837 4:0.85474205 5:2.4941514 6:-5.208183 7:0.653194 8:-1.2751615 9:-0.21256374 10:-0.9142823 11:1.575962 12:-3.190404 13:2.2818003 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:200.71593 2:-0.749894 3:4.274844 4:0.5332471 5:8.598765 6:-0.14848828 7:4.886297 8:1.7891121 9:0.85585624 10:-2.4145665 11:0.7981548 12:-2.7687767 13:1.9896524 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:200.71593 2:-0.749894 3:4.274844 4:0.5332471 5:8.598765 6:-0.14848828 7:4.886297 8:1.7891121 9:0.85585624 10:-2.4145665 11:0.7981548 12:-2.7687767 13:1.9896524 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:208.02264 2:0.83617896 3:7.097888 4:3.07929 5:6.8694715 6:-1.4976572 7:0.6393273 8:-1.9085279 9:-2.41478 10:-3.9072766 11:4.2494283 12:-3.1176844 13:3.3173118 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
